Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,145,255,235.835,23.443,5320,28,207,133.710,45.039,5320,28,207,133.710,45.039
G2,5320,132,255,238.200,25.329,5320,132,243,205.777,17.861,5320,166,247,214.405,18.110
G3,5320,133,255,239.906,19.902,5320,77,254,209.172,36.894,5320,77,255,212.160,38.189
G4,5320,10,181,65.055,40.251,5320,10,179,65.028,40.183,5320,70,255,185.885,48.780
G5,5320,0,65,13.213,16.539,5320,0,65,13.213,16.539,5320,63,255,199.395,48.104
G6,5320,0,40,10.541,11.812,5320,0,40,10.541,11.812,5320,84,242,176.897,33.909
G7,5320,9,149,59.345,31.914,5320,9,148,59.245,31.787,5320,50,219,131.474,37.606
G8,5320,35,255,183.068,72.589,5320,35,211,127.200,41.236,5320,50,216,136.963,37.135
G9,5320,52,255,180.716,63.510,5320,26,220,109.364,46.742,5320,26,227,110.247,48.256
G10,5320,142,255,239.035,21.106,5320,119,219,191.847,14.838,5320,119,219,191.847,14.838
G11,5320,158,255,239.139,15.800,5320,158,249,213.575,14.831,5320,180,255,218.078,17.788
G12,5320,27,232,133.038,46.610,5320,27,231,132.897,46.395,5320,160,255,222.874,17.129
G13,5320,0,141,23.285,34.344,5320,0,141,23.285,34.344,5320,154,255,225.519,27.490
G14,5320,0,179,112.983,51.291,5320,0,179,112.983,51.291,5320,120,255,217.297,34.257
G15,5320,35,241,159.272,48.315,5320,35,236,158.083,47.477,5320,124,255,220.257,28.993
G16,5320,110,255,205.448,37.065,5320,61,199,139.696,35.880,5320,61,199,139.886,36.036
G17,5320,45,255,208.271,45.963,5320,15,193,107.979,33.898,5320,15,193,107.979,33.898
G18,5320,49,244,169.389,37.864,5320,49,231,165.589,35.549,5320,90,255,188.470,33.474
G19,5320,137,255,219.366,29.956,5320,117,239,183.666,23.997,5320,117,255,184.870,26.346
G20,5320,205,255,243.921,9.718,5320,157,217,183.711,10.971,5320,157,217,183.713,10.972
G21,5320,112,255,223.852,40.109,5320,112,244,197.704,32.819,5320,121,255,216.487,25.993
G22,5320,71,255,193.785,47.277,5320,71,245,184.022,42.594,5320,130,255,224.685,25.598
G23,5320,120,255,204.852,37.733,5320,120,253,196.966,30.470,5320,157,254,217.744,16.922
G24,5320,165,255,228.350,22.982,5320,159,252,201.883,23.618,5320,159,255,208.041,25.558
G25,5320,51,255,224.839,29.910,5320,40,215,183.515,24.892,5320,40,215,183.515,24.892
G26,5320,51,255,171.280,49.332,5320,40,195,107.847,38.431,5320,40,195,107.847,38.431
G27,5320,41,209,127.824,24.069,5320,41,209,127.824,24.069,5320,71,255,237.817,27.802
G28,5320,92,255,200.729,41.075,5320,67,246,184.925,38.068,5320,67,255,211.905,45.318
G29,5320,61,255,210.243,54.706,5320,27,182,112.260,39.573,5320,27,182,112.260,39.573
G30,5320,210,255,245.624,11.716,5320,54,180,105.725,31.857,5320,54,180,105.725,31.857
G31,5320,212,255,246.868,9.420,5320,0,224,93.748,59.413,5320,0,224,93.748,59.413
G32,5320,85,255,210.841,46.199,5320,0,240,103.839,65.512,5320,0,240,103.839,65.512
G33,5320,46,255,207.260,45.705,5320,0,240,97.551,61.977,5320,0,240,97.551,61.977
G34,5320,39,255,173.383,56.116,5320,17,209,114.871,46.526,5320,17,209,115.189,46.730
G35,5320,59,255,194.511,61.922,5320,42,231,158.767,59.810,5320,42,231,158.767,59.810
G36,5320,42,151,113.319,20.893,5320,42,151,113.319,20.893,5320,121,255,231.999,23.519
G37,5320,67,255,167.815,59.133,5320,67,245,153.994,46.866,5320,118,255,207.260,34.357
G38,5320,62,255,189.856,44.080,5320,0,213,86.557,61.825,5320,0,213,86.557,61.825
