Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,239.220,15.950,5320,47,190,123.427,39.222,5320,47,190,123.427,39.222
G2,5320,197,255,246.331,13.796,5320,131,223,182.254,16.727,5320,131,223,182.288,16.783
G3,5320,168,255,243.519,14.221,5320,80,238,189.782,29.633,5320,80,238,189.790,29.639
G4,5320,28,245,116.334,63.252,5320,28,221,114.032,60.003,5320,49,232,162.864,49.488
G5,5320,0,120,61.909,25.628,5320,0,120,61.909,25.628,5320,76,255,189.751,37.084
G6,5320,0,151,63.393,48.103,5320,0,151,63.393,48.103,5320,77,255,231.919,36.150
G7,5320,42,236,120.010,43.537,5320,42,222,115.324,43.521,5320,50,254,142.477,55.418
G8,5320,45,255,190.114,54.947,5320,32,196,100.059,25.058,5320,32,203,100.217,25.404
G9,5320,53,255,185.869,62.476,5320,22,185,83.300,37.338,5320,22,185,83.300,37.338
G10,5320,152,255,239.622,20.088,5320,128,213,192.536,13.425,5320,128,213,192.536,13.425
G11,5320,193,255,244.418,13.383,5320,145,253,217.989,23.906,5320,145,255,219.297,25.054
G12,5320,123,247,184.857,24.659,5320,123,247,184.677,24.596,5320,209,255,237.910,9.244
G13,5320,0,182,106.029,44.453,5320,0,182,106.029,44.453,5320,126,255,225.011,25.230
G14,5320,0,234,68.443,75.392,5320,0,227,68.260,75.025,5320,119,255,205.320,35.237
G15,5320,30,255,207.001,60.703,5320,30,250,189.775,53.411,5320,97,255,209.628,28.827
G16,5320,157,255,214.075,29.611,5320,79,203,131.500,30.963,5320,79,203,131.500,30.963
G17,5320,49,255,207.095,51.521,5320,12,174,89.503,31.661,5320,12,174,89.503,31.661
G18,5320,59,227,163.378,38.084,5320,59,222,159.557,35.767,5320,97,255,185.061,40.743
G19,5320,156,255,218.022,26.872,5320,139,238,196.027,22.135,5320,139,255,198.978,26.059
G20,5320,218,255,246.374,9.008,5320,196,245,218.312,9.976,5320,196,245,218.322,9.988
G21,5320,135,255,230.033,25.821,5320,135,254,227.957,24.261,5320,169,255,243.889,13.180
G22,5320,117,255,197.691,27.510,5320,117,245,197.172,26.630,5320,164,255,238.896,21.114
G23,5320,172,255,238.480,14.273,5320,67,249,201.062,40.975,5320,67,255,206.677,44.508
G24,5320,202,255,238.415,15.230,5320,80,238,182.699,20.528,5320,80,240,182.776,20.692
G25,5320,60,255,230.591,30.114,5320,41,203,167.219,27.005,5320,41,203,167.219,27.005
G26,5320,56,255,169.253,49.903,5320,39,182,90.551,37.027,5320,39,182,90.551,37.027
G27,5320,61,194,114.972,25.487,5320,61,194,114.972,25.487,5320,114,255,241.258,23.546
G28,5320,99,250,187.802,43.320,5320,95,243,184.028,41.253,5320,95,255,222.757,36.961
G29,5320,59,255,206.729,52.856,5320,49,228,165.364,42.638,5320,49,228,165.364,42.638
G30,5320,0,255,155.653,91.087,5320,0,253,145.003,81.435,5320,86,255,198.429,37.587
G31,5320,0,255,66.501,57.971,5320,0,237,64.665,54.610,5320,107,255,220.594,31.082
G32,5320,89,255,205.253,29.776,5320,0,220,52.691,60.040,5320,0,225,57.375,68.134
G33,5320,46,255,213.743,45.441,5320,0,155,46.041,50.656,5320,0,155,46.041,50.656
G34,5320,35,255,172.517,59.906,5320,17,194,103.050,43.093,5320,17,196,103.272,43.281
G35,5320,63,255,197.040,62.818,5320,38,222,152.368,60.286,5320,38,222,152.368,60.286
G36,5320,0,137,90.937,33.480,5320,0,137,90.937,33.480,5320,74,255,228.367,31.432
G37,5320,60,255,156.123,66.041,5320,60,248,152.178,61.913,5320,112,255,216.616,32.131
G38,5320,62,255,201.129,45.517,5320,51,245,165.981,41.775,5320,51,245,165.984,41.772
G39,5320,0,255,135.482,100.464,5320,0,200,109.167,79.091,5320,4,255,172.796,50.424
G40,5320,14,254,162.291,82.551,5320,14,193,111.187,56.778,5320,46,236,133.129,43.682
G41,5320,61,204,125.171,23.852,5320,0,103,12.354,21.333,5320,0,108,12.394,21.464
G42,5320,41,255,189.027,40.097,5320,0,199,69.153,65.885,5320,0,200,69.154,65.886
G43,5320,44,251,178.447,57.094,5320,44,243,171.971,54.944,5320,54,255,193.298,53.333
G44,5320,23,255,152.703,53.697,5320,23,219,132.840,47.845,5320,31,219,141.867,48.730
G45,5320,0,255,79.769,80.249,5320,0,239,76.198,73.516,5320,38,240,138.631,49.155
G46,5320,62,255,183.170,54.943,5320,62,253,158.782,51.039,5320,90,254,176.816,43.323
G47,5320,178,255,238.950,16.890,5320,80,231,164.235,33.191,5320,80,231,164.235,33.191
G48,5320,177,255,232.901,16.253,5320,41,187,129.045,31.287,5320,41,187,129.045,31.287
G49,5320,83,255,211.908,43.270,5320,53,173,124.359,27.481,5320,53,173,124.359,27.481
G50,5320,53,255,160.630,48.161,5320,0,85,17.774,23.921,5320,0,85,17.774,23.921
