Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,239.004,15.908,5320,51,191,129.572,40.329,5320,51,191,129.572,40.329
G2,5320,181,255,249.173,10.402,5320,142,225,191.333,15.166,5320,142,225,191.417,15.313
G3,5320,158,255,242.654,15.397,5320,78,236,192.229,28.551,5320,78,236,192.238,28.554
G4,5320,41,238,139.812,48.503,5320,41,218,138.760,46.935,5320,61,222,166.914,43.205
G5,5320,4,189,100.166,42.675,5320,4,189,100.166,42.675,5320,72,255,200.223,47.060
G6,5320,0,170,96.212,50.426,5320,0,170,96.092,50.416,5320,68,255,215.628,46.635
G7,5320,38,249,139.223,51.339,5320,32,245,129.289,49.684,5320,32,255,141.762,51.308
G8,5320,51,255,194.611,53.927,5320,32,198,104.696,23.026,5320,32,200,104.720,23.064
G9,5320,49,255,188.151,62.173,5320,23,196,92.042,40.654,5320,23,196,92.073,40.703
G10,5320,136,255,240.109,19.939,5320,129,235,204.189,15.564,5320,129,235,204.196,15.574
G11,5320,191,255,239.614,13.472,5320,181,251,218.676,16.036,5320,181,255,228.830,22.944
G12,5320,71,228,150.055,38.466,5320,71,228,150.054,38.465,5320,206,255,245.540,13.200
G13,5320,0,128,55.698,25.282,5320,0,128,55.698,25.282,5320,118,255,188.002,29.423
G14,5320,0,164,31.298,33.243,5320,0,164,31.298,33.243,5320,105,255,194.731,29.458
G15,5320,44,251,201.474,49.792,5320,44,250,199.394,48.695,5320,102,255,222.606,30.316
G16,5320,144,255,212.455,31.752,5320,93,244,156.542,40.014,5320,93,250,157.741,41.317
G17,5320,55,255,205.637,52.258,5320,18,224,106.423,41.022,5320,18,224,106.423,41.022
G18,5320,46,233,162.946,37.066,5320,46,231,162.666,36.767,5320,94,255,201.784,34.698
G19,5320,155,255,213.842,27.081,5320,155,235,202.408,19.658,5320,157,255,211.060,24.001
G20,5320,182,255,223.498,17.855,5320,182,238,216.072,12.194,5320,186,255,231.694,15.777
G21,5320,0,197,100.413,54.653,5320,0,197,100.413,54.653,5320,118,255,231.414,30.498
G22,5320,0,79,33.982,26.557,5320,0,79,33.982,26.557,5320,169,255,238.261,15.962
G23,5320,32,245,133.874,58.456,5320,32,241,133.868,58.445,5320,93,250,205.152,32.260
G24,5320,46,254,157.043,44.284,5320,46,246,155.312,42.649,5320,54,253,180.480,43.522
G25,5320,56,255,192.714,32.196,5320,51,250,189.901,31.456,5320,51,255,217.623,36.494
G26,5320,54,255,173.813,47.842,5320,41,231,109.548,45.852,5320,41,231,109.559,45.871
G27,5320,21,171,94.803,22.132,5320,21,171,94.803,22.132,5320,56,255,237.511,27.065
G28,5320,77,217,161.536,39.099,5320,77,217,161.536,39.099,5320,113,255,225.661,31.786
G29,5320,51,239,176.732,49.453,5320,51,239,176.726,49.447,5320,67,255,211.158,52.936
G30,5320,0,179,84.139,44.389,5320,0,179,84.139,44.389,5320,125,255,239.105,24.808
G31,5320,0,107,22.173,28.416,5320,0,107,22.173,28.416,5320,150,255,214.868,23.670
G32,5320,32,255,160.593,72.542,5320,32,250,155.330,66.574,5320,170,255,221.329,18.915
G33,5320,47,255,189.395,66.170,5320,34,245,150.593,51.485,5320,34,249,152.710,50.762
G34,5320,47,254,151.667,52.375,5320,35,219,134.691,45.441,5320,35,231,141.136,50.562
G35,5320,61,255,194.022,59.322,5320,41,236,160.939,63.599,5320,41,236,160.939,63.599
G36,5320,0,124,80.060,30.163,5320,0,124,80.060,30.163,5320,85,255,228.535,33.611
G37,5320,44,213,126.376,56.653,5320,44,213,126.376,56.653,5320,106,255,224.978,31.476
G38,5320,0,212,129.662,54.573,5320,0,212,129.662,54.573,5320,46,255,185.231,46.012
G39,5320,0,115,75.697,30.620,5320,0,115,75.697,30.620,5320,90,255,236.133,26.892
G40,5320,42,199,120.704,29.097,5320,42,199,120.704,29.097,5320,72,255,209.283,35.257
G41,5320,87,255,210.283,36.780,5320,87,249,206.639,33.680,5320,203,255,234.548,13.630
G42,5320,111,255,196.611,33.397,5320,105,244,179.295,33.776,5320,105,252,182.624,36.771
G43,5320,28,221,157.503,50.964,5320,28,221,155.558,50.630,5320,45,255,197.953,58.764
G44,5320,21,255,148.018,60.346,5320,21,229,131.169,53.644,5320,35,229,137.745,50.425
G45,5320,0,255,76.084,77.362,5320,0,253,75.470,76.042,5320,52,255,152.175,55.256
G46,5320,34,247,158.430,50.920,5320,34,246,154.147,48.376,5320,76,255,199.378,42.513
G47,5320,0,250,192.382,63.184,5320,0,248,185.361,59.843,5320,49,255,218.868,39.214
G48,5320,0,253,87.546,86.987,5320,0,226,78.270,75.189,5320,50,255,176.478,48.490
G49,5320,39,255,202.672,53.533,5320,39,251,193.415,46.965,5320,69,255,206.034,34.150
G50,5320,118,248,206.351,31.810,5320,118,247,205.893,31.343,5320,125,255,224.672,34.707
G51,5320,56,253,205.816,37.911,5320,47,252,192.566,44.902,5320,47,255,195.724,47.402
G52,5320,31,239,137.670,39.273,5320,31,218,135.147,37.166,5320,63,255,176.748,46.102
G53,5320,18,194,108.806,46.497,5320,18,194,108.806,46.497,5320,35,255,158.584,57.867
G54,5320,58,255,216.035,36.318,5320,58,253,202.297,30.752,5320,126,254,220.565,23.307
G55,5320,96,255,182.758,37.960,5320,35,219,112.888,42.333,5320,35,219,112.888,42.333
G56,5320,52,255,200.879,48.335,5320,0,202,88.196,61.704,5320,0,202,88.209,61.724
G57,5320,101,255,215.827,31.427,5320,0,192,61.881,61.648,5320,0,192,61.995,61.836
G58,5320,177,255,248.224,9.165,5320,132,245,203.363,24.709,5320,132,248,203.758,25.065
G59,5320,38,255,182.269,47.657,5320,38,253,178.292,47.078,5320,38,255,180.631,46.966
G60,5320,37,250,192.818,45.238,5320,33,229,168.927,39.357,5320,33,229,168.927,39.357
G61,5320,104,255,225.779,28.409,5320,93,243,201.939,23.906,5320,93,255,208.761,28.566
G62,5320,58,236,182.656,35.191,5320,0,228,126.788,75.279,5320,0,255,148.890,95.148
G63,5320,185,255,234.977,17.191,5320,74,234,170.503,38.221,5320,74,255,175.972,45.358
G64,5320,43,249,161.191,54.230,5320,0,171,26.137,39.650,5320,0,171,26.137,39.650
G65,5320,93,255,208.769,44.381,5320,0,128,13.252,27.744,5320,0,128,13.252,27.744
