Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,172,255,238.522,16.317,5320,38,155,97.243,32.460,5320,38,155,97.243,32.460
G2,5320,201,255,249.639,8.973,5320,116,195,144.694,17.172,5320,116,195,144.694,17.172
G3,5320,159,255,243.130,14.329,5320,66,215,171.316,27.164,5320,66,215,171.316,27.164
G4,5320,27,255,170.905,79.255,5320,27,249,152.729,65.474,5320,48,249,178.439,44.161
G5,5320,33,165,83.713,23.326,5320,33,165,83.713,23.326,5320,93,245,180.901,33.919
G6,5320,68,178,125.856,21.918,5320,67,178,125.814,21.956,5320,67,255,228.810,37.645
G7,5320,56,235,131.448,42.778,5320,46,226,123.627,44.250,5320,46,254,138.752,54.503
G8,5320,47,255,189.066,55.572,5320,27,196,99.480,24.429,5320,27,207,99.860,25.241
G9,5320,52,255,187.975,61.786,5320,23,188,88.454,38.647,5320,23,188,88.454,38.647
G10,5320,132,255,239.820,21.003,5320,105,198,153.158,13.805,5320,105,198,153.158,13.805
G11,5320,216,255,249.619,8.395,5320,122,208,160.082,19.106,5320,122,208,160.082,19.106
G12,5320,169,255,247.080,12.053,5320,130,248,203.563,28.752,5320,130,249,204.632,29.227
G13,5320,101,255,187.237,43.294,5320,101,239,180.399,35.312,5320,173,240,215.093,13.689
G14,5320,89,157,115.610,16.352,5320,89,157,115.610,16.352,5320,164,255,224.874,21.590
G15,5320,90,255,196.784,52.782,5320,90,251,188.185,47.821,5320,133,252,206.318,27.440
G16,5320,158,255,212.524,25.886,5320,78,215,144.388,41.619,5320,78,215,144.389,41.619
G17,5320,60,255,204.736,51.095,5320,19,204,99.889,36.921,5320,19,204,99.889,36.921
G18,5320,48,247,184.679,38.404,5320,48,247,177.989,35.017,5320,77,255,198.521,29.566
G19,5320,149,255,222.503,27.925,5320,100,254,153.602,31.430,5320,100,255,154.004,32.570
G20,5320,221,255,249.811,7.890,5320,115,152,130.320,7.028,5320,115,152,130.320,7.028
G21,5320,59,255,228.419,34.840,5320,31,186,114.416,28.679,5320,31,186,114.416,28.679
G22,5320,44,255,164.283,56.289,5320,35,219,109.267,44.941,5320,35,219,114.073,49.079
G23,5320,30,151,99.142,19.150,5320,30,138,97.118,18.791,5320,44,255,211.677,52.318
G24,5320,89,235,190.964,35.224,5320,89,235,190.258,34.756,5320,180,255,232.266,19.521
G25,5320,59,255,225.315,29.447,5320,53,253,210.764,30.912,5320,53,255,215.160,33.819
G26,5320,57,255,171.493,49.637,5320,48,207,110.581,40.000,5320,48,207,110.581,40.000
G27,5320,27,221,131.104,26.597,5320,27,221,131.104,26.597,5320,54,255,233.417,29.518
G28,5320,111,255,202.727,37.644,5320,73,254,179.534,37.731,5320,73,255,204.840,47.891
G29,5320,61,255,204.127,54.380,5320,27,157,92.833,24.820,5320,27,157,92.833,24.820
G30,5320,120,255,220.324,30.237,5320,53,126,97.035,12.393,5320,53,126,97.035,12.393
G31,5320,104,255,221.147,35.930,5320,60,121,87.763,12.788,5320,60,121,87.763,12.788
G32,5320,4,188,104.405,45.532,5320,4,188,99.912,46.355,5320,38,255,193.678,63.374
G33,5320,5,247,127.475,72.338,5320,5,247,123.117,72.998,5320,29,255,224.348,50.896
G34,5320,45,248,162.391,52.189,5320,32,220,143.323,51.012,5320,32,238,144.169,51.972
G35,5320,64,255,191.588,61.712,5320,50,238,165.064,62.193,5320,50,238,165.064,62.193
G36,5320,0,152,113.563,38.405,5320,0,152,113.563,38.405,5320,17,255,229.560,31.991
G37,5320,73,255,168.815,53.985,5320,73,244,161.207,45.484,5320,114,255,216.881,31.785
G38,5320,44,255,180.679,54.107,5320,17,219,123.826,56.362,5320,17,219,124.497,56.163
G39,5320,46,255,191.617,44.972,5320,17,235,149.680,57.110,5320,17,254,157.515,62.400
G40,5320,97,255,221.645,33.453,5320,47,111,94.179,9.618,5320,47,111,94.179,9.618
G41,5320,5,255,161.953,91.130,5320,5,145,75.160,34.423,5320,24,227,108.000,41.108
G42,5320,4,255,140.251,79.219,5320,4,192,84.809,51.900,5320,18,250,124.713,55.175
G43,5320,34,251,176.936,56.906,5320,34,247,170.501,54.125,5320,49,255,190.752,53.290
G44,5320,28,255,156.898,51.287,5320,28,234,145.070,46.844,5320,38,234,155.195,46.528
G45,5320,0,255,79.183,77.157,5320,0,243,76.483,71.842,5320,41,255,164.421,48.969
G46,5320,66,255,186.073,54.051,5320,66,252,162.727,48.223,5320,87,254,182.364,45.060
G47,5320,36,255,220.292,47.016,5320,0,233,152.121,55.366,5320,0,233,152.121,55.366
G48,5320,33,255,176.355,53.579,5320,0,144,64.498,46.988,5320,0,144,64.498,46.988
G49,5320,44,255,193.441,52.754,5320,0,141,73.397,35.759,5320,0,141,73.397,35.759
G50,5320,86,255,192.243,40.407,5320,0,79,12.113,18.546,5320,0,79,12.113,18.546
G51,5320,75,255,200.411,37.359,5320,0,153,23.137,38.060,5320,0,153,23.137,38.060
G52,5320,27,242,165.036,47.234,5320,27,239,139.203,46.727,5320,50,255,157.702,53.104
G53,5320,19,209,125.141,54.405,5320,19,209,125.141,54.405,5320,30,255,168.381,64.266
G54,5320,106,255,217.545,31.322,5320,106,241,192.830,27.579,5320,124,252,204.804,27.510
G55,5320,83,255,179.926,40.560,5320,15,176,78.713,39.391,5320,15,176,78.713,39.391
G56,5320,38,255,200.772,41.216,5320,0,151,58.245,42.385,5320,0,151,58.245,42.385
G57,5320,75,255,217.245,35.288,5320,0,129,34.338,35.678,5320,0,129,34.338,35.678
G58,5320,70,255,229.579,26.355,5320,0,127,20.203,28.700,5320,0,127,20.203,28.700
G59,5320,54,255,222.083,38.185,5320,0,86,5.207,16.224,5320,0,86,5.207,16.224
G60,5320,66,253,187.523,44.068,5320,0,150,69.175,52.158,5320,0,150,69.175,52.158
G61,5320,130,255,229.777,28.940,5320,80,240,168.315,37.158,5320,80,255,170.124,40.447
G62,5320,46,244,191.323,35.715,5320,0,237,128.239,78.283,5320,0,255,141.320,91.103
G63,5320,187,255,238.352,15.035,5320,51,252,156.591,48.812,5320,51,255,159.478,52.902
G64,5320,40,244,161.524,50.134,5320,0,157,19.006,30.966,5320,0,157,19.006,30.966
G65,5320,78,255,209.646,37.401,5320,0,119,10.082,25.226,5320,0,119,10.082,25.226
G66,5320,171,255,244.858,15.398,5320,0,192,91.642,61.145,5320,0,192,91.642,61.145
G67,5320,57,255,217.439,35.550,5320,0,188,85.816,58.961,5320,0,188,85.816,58.961
G68,5320,172,255,226.302,17.382,5320,85,186,155.540,18.008,5320,85,186,155.540,18.008
G69,5320,97,255,201.398,40.814,5320,32,183,118.221,42.382,5320,32,183,118.221,42.382
G70,5320,29,255,169.421,61.014,5320,0,115,11.924,19.408,5320,0,115,11.924,19.408
G71,5320,120,253,184.908,35.617,5320,120,251,182.439,33.528,5320,142,255,209.267,26.334
G72,5320,71,255,199.192,38.982,5320,0,240,79.974,83.424,5320,0,243,80.185,83.787
G73,5320,54,255,210.536,41.026,5320,0,45,0.109,1.605,5320,0,45,0.109,1.605
