Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,176,255,239.172,15.888,5320,59,232,149.968,46.553,5320,59,232,149.968,46.553
G2,5320,112,255,233.520,30.984,5320,112,250,214.090,23.660,5320,168,255,227.318,16.107
G3,5320,146,255,237.108,17.688,5320,79,247,212.835,28.020,5320,79,255,218.787,30.539
G4,5320,14,159,61.565,33.277,5320,14,159,61.565,33.277,5320,61,255,179.545,51.039
G5,5320,0,68,21.750,18.057,5320,0,68,21.750,18.057,5320,57,255,199.621,45.096
G6,5320,0,66,9.595,17.389,5320,0,66,9.595,17.389,5320,96,255,221.646,35.780
G7,5320,0,148,53.474,35.845,5320,0,148,53.469,35.841,5320,54,255,159.058,56.570
G8,5320,38,255,172.855,71.842,5320,38,207,135.027,41.814,5320,47,208,147.302,33.796
G9,5320,52,255,186.801,63.450,5320,26,198,115.680,38.719,5320,26,203,116.619,39.851
G10,5320,140,255,240.370,19.361,5320,127,251,220.083,21.253,5320,127,254,220.179,21.376
G11,5320,118,255,214.568,31.030,5320,118,248,210.938,27.843,5320,186,255,239.650,11.570
G12,5320,0,159,64.792,41.346,5320,0,159,64.792,41.346,5320,126,255,220.179,24.901
G13,5320,0,18,0.108,1.021,5320,0,18,0.108,1.021,5320,129,255,228.273,27.257
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,111,255,223.712,38.826
G15,5320,0,168,58.928,59.918,5320,0,168,58.928,59.918,5320,161,255,220.955,22.134
G16,5320,98,255,177.434,41.863,5320,89,239,152.722,31.460,5320,89,255,168.870,37.091
G17,5320,41,255,208.628,50.402,5320,14,248,142.739,49.664,5320,14,255,143.412,50.967
G18,5320,55,235,163.959,35.519,5320,55,228,160.718,33.168,5320,88,255,189.305,40.864
G19,5320,143,254,200.145,28.360,5320,143,254,196.140,27.017,5320,163,255,215.647,29.183
G20,5320,120,244,206.594,20.394,5320,120,244,206.594,20.394,5320,195,255,245.943,13.894
