Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,239.754,15.694,5320,46,174,116.296,38.061,5320,46,174,116.296,38.061
G2,5320,180,255,245.297,15.999,5320,132,217,175.535,17.859,5320,132,217,176.013,18.455
G3,5320,152,255,243.124,15.392,5320,71,236,188.540,30.118,5320,71,236,188.553,30.127
G4,5320,33,232,107.948,49.927,5320,33,210,106.286,46.975,5320,58,217,156.552,35.055
G5,5320,16,133,69.073,28.332,5320,16,133,69.073,28.332,5320,61,255,185.580,41.681
G6,5320,22,142,81.756,33.849,5320,22,142,81.756,33.849,5320,68,255,217.409,39.819
G7,5320,43,245,129.743,50.331,5320,38,233,126.579,49.649,5320,39,244,145.517,51.680
G8,5320,41,255,191.937,56.458,5320,27,185,103.857,24.582,5320,27,210,105.053,27.016
G9,5320,49,255,186.164,62.266,5320,22,190,87.377,38.666,5320,22,190,87.397,38.701
G10,5320,143,255,240.223,20.578,5320,121,214,182.199,13.805,5320,121,214,182.199,13.805
G11,5320,179,255,243.956,15.888,5320,134,251,203.813,30.760,5320,134,252,203.994,30.997
G12,5320,132,254,201.753,31.300,5320,132,253,201.384,30.895,5320,166,255,230.445,23.009
G13,5320,35,156,77.358,29.200,5320,35,156,77.358,29.200,5320,102,251,173.641,31.359
G14,5320,22,214,68.895,35.140,5320,22,211,68.789,34.793,5320,89,255,220.402,37.221
G15,5320,39,255,219.244,51.106,5320,39,250,197.538,44.523,5320,113,253,210.518,26.816
G16,5320,143,255,214.215,31.046,5320,80,199,130.966,29.680,5320,80,199,130.966,29.680
G17,5320,44,255,207.166,51.981,5320,12,180,94.377,32.040,5320,12,180,94.377,32.040
G18,5320,51,249,173.255,34.459,5320,51,220,168.246,32.001,5320,100,255,190.980,35.847
G19,5320,142,255,218.693,29.196,5320,114,241,185.406,25.510,5320,114,255,187.482,29.071
G20,5320,218,255,249.779,7.849,5320,178,236,201.518,11.492,5320,178,237,201.518,11.494
G21,5320,158,255,241.128,21.316,5320,158,253,228.743,16.759,5320,205,255,238.170,10.594
G22,5320,29,255,132.463,71.965,5320,29,239,126.026,64.154,5320,64,246,168.975,45.211
G23,5320,37,255,136.445,41.734,5320,37,200,119.123,27.239,5320,67,255,177.617,58.337
G24,5320,71,255,240.392,16.812,5320,69,211,160.872,24.344,5320,96,214,161.023,24.297
G25,5320,54,255,229.374,29.379,5320,37,202,166.928,26.548,5320,37,202,166.928,26.548
G26,5320,49,255,172.443,49.278,5320,35,181,99.200,34.915,5320,35,181,99.200,34.915
G27,5320,19,201,117.588,27.638,5320,19,201,117.588,27.638,5320,31,255,237.721,27.710
G28,5320,100,244,191.049,41.733,5320,89,243,183.685,39.146,5320,89,255,219.795,39.801
G29,5320,74,255,203.132,55.556,5320,54,202,146.479,40.785,5320,54,202,146.479,40.785
G30,5320,144,255,242.749,17.300,5320,112,249,205.960,22.246,5320,112,255,206.211,22.698
G31,5320,133,255,221.386,26.456,5320,86,245,161.015,26.423,5320,86,251,161.104,26.653
G32,5320,74,255,180.647,41.180,5320,0,149,63.032,35.745,5320,0,149,63.032,35.745
G33,5320,48,255,224.861,42.386,5320,0,143,46.941,44.090,5320,0,143,46.941,44.090
G34,5320,33,255,170.999,56.308,5320,10,206,101.710,47.642,5320,10,206,102.011,47.860
G35,5320,65,255,192.463,62.592,5320,46,231,155.908,60.641,5320,46,231,155.908,60.641
G36,5320,0,145,95.158,33.645,5320,0,145,95.158,33.645,5320,77,255,227.050,29.107
G37,5320,57,255,155.934,66.064,5320,57,246,149.693,60.029,5320,109,255,215.336,31.823
G38,5320,73,255,197.759,45.802,5320,50,238,135.781,44.162,5320,50,238,135.781,44.162
G39,5320,112,255,180.958,39.951,5320,81,251,140.547,46.268,5320,81,255,140.930,47.094
G40,5320,112,255,224.430,35.839,5320,100,245,174.798,24.315,5320,100,252,174.954,24.652
G41,5320,72,255,228.162,24.520,5320,0,177,105.781,34.509,5320,0,177,105.781,34.509
G42,5320,43,255,184.614,43.912,5320,0,211,105.348,62.565,5320,0,211,105.348,62.565
G43,5320,30,243,170.076,59.545,5320,30,239,166.088,58.025,5320,56,255,194.392,58.144
G44,5320,22,255,149.364,58.829,5320,22,227,133.894,53.185,5320,33,227,142.001,50.419
G45,5320,0,255,82.552,81.274,5320,0,241,79.740,76.060,5320,40,255,148.192,55.435
G46,5320,55,255,180.161,58.418,5320,55,241,147.332,47.652,5320,83,249,166.722,43.144
G47,5320,220,255,244.894,10.247,5320,74,209,135.702,36.838,5320,74,209,135.702,36.838
G48,5320,213,255,247.234,8.755,5320,61,166,95.948,23.992,5320,61,166,95.948,23.992
G49,5320,153,255,223.602,29.606,5320,102,197,152.389,25.707,5320,102,197,152.389,25.707
G50,5320,167,255,238.813,18.320,5320,63,165,116.111,21.551,5320,63,165,116.111,21.551
G51,5320,62,255,216.042,40.830,5320,20,199,88.161,40.670,5320,20,199,88.161,40.670
G52,5320,24,237,152.088,46.821,5320,24,222,139.699,43.689,5320,51,255,166.324,50.721
G53,5320,23,205,120.034,47.360,5320,23,205,120.034,47.360,5320,41,255,166.244,53.417
G54,5320,78,255,224.061,30.323,5320,78,239,197.322,25.923,5320,137,252,207.389,25.777
G55,5320,100,255,184.132,38.045,5320,17,178,76.566,39.149,5320,17,178,76.566,39.149
G56,5320,108,255,215.346,36.200,5320,17,132,64.697,28.966,5320,17,132,64.697,28.966
G57,5320,147,255,212.073,23.004,5320,57,203,109.427,35.473,5320,57,203,109.427,35.473
G58,5320,158,255,213.254,31.934,5320,106,212,157.533,34.417,5320,106,212,157.533,34.417
G59,5320,45,255,188.661,42.972,5320,15,203,114.746,50.481,5320,15,203,114.746,50.481
G60,5320,34,255,193.963,45.922,5320,13,182,116.833,52.944,5320,13,182,116.833,52.944
G61,5320,104,255,229.559,25.921,5320,70,242,189.332,27.542,5320,70,255,192.806,32.383
G62,5320,58,243,187.805,35.733,5320,0,240,131.199,80.244,5320,0,255,149.468,96.690
G63,5320,191,255,240.398,15.379,5320,56,253,154.046,46.672,5320,56,255,154.911,48.254
G64,5320,140,255,217.098,28.119,5320,33,155,72.145,23.025,5320,33,155,72.145,23.025
G65,5320,168,255,239.516,17.679,5320,49,243,177.714,45.416,5320,49,243,177.714,45.416
G66,5320,218,255,241.126,9.853,5320,149,238,183.612,18.522,5320,149,238,183.612,18.522
G67,5320,108,255,211.213,31.483,5320,87,212,159.769,24.503,5320,87,212,159.769,24.503
G68,5320,176,255,225.502,17.825,5320,141,213,186.197,14.405,5320,141,213,186.197,14.405
G69,5320,99,255,201.310,40.552,5320,32,198,127.061,49.089,5320,32,198,127.061,49.089
G70,5320,34,255,167.695,57.557,5320,0,115,12.027,19.315,5320,0,115,12.027,19.315
G71,5320,157,255,212.825,26.332,5320,132,249,178.561,20.155,5320,132,255,181.177,22.941
G72,5320,166,255,230.979,19.863,5320,48,238,156.887,45.225,5320,48,239,156.983,45.389
G73,5320,115,255,229.721,32.285,5320,86,253,195.335,38.299,5320,86,254,199.868,39.670
G74,5320,56,255,186.615,46.178,5320,54,248,175.231,38.560,5320,54,255,186.259,43.238
G75,5320,78,250,199.686,39.183,5320,58,247,184.787,48.495,5320,58,255,190.549,53.173
G76,5320,140,255,199.837,32.400,5320,136,240,184.181,28.235,5320,136,254,186.539,30.210
G77,5320,57,255,206.203,36.764,5320,31,227,145.306,46.437,5320,31,227,145.306,46.437
G78,5320,27,255,198.821,34.079,5320,27,243,194.163,32.868,5320,43,255,223.821,27.085
G79,5320,148,255,220.437,23.818,5320,139,234,205.907,18.792,5320,139,255,208.709,19.954
G80,5320,89,255,193.961,34.654,5320,89,250,192.761,33.049,5320,108,255,223.993,24.011
G81,5320,79,218,161.654,27.339,5320,79,218,161.654,27.339,5320,138,255,237.657,24.415
G82,5320,75,231,177.195,42.554,5320,75,231,177.195,42.554,5320,120,255,232.545,30.756
G83,5320,101,252,185.999,35.213,5320,101,243,184.806,33.836,5320,132,255,227.437,24.281
G84,5320,41,255,192.738,33.462,5320,18,255,124.166,50.562,5320,18,255,124.293,50.815
G85,5320,65,215,146.293,19.520,5320,65,215,146.293,19.520,5320,105,255,226.928,21.685
G86,5320,136,252,204.530,32.314,5320,136,248,202.966,30.626,5320,210,255,242.166,10.960
G87,5320,154,255,216.135,30.384,5320,154,252,210.888,25.714,5320,170,255,228.113,21.281
G88,5320,124,200,170.369,11.057,5320,124,200,170.369,11.057,5320,179,255,237.458,18.783
G89,5320,102,177,141.867,19.862,5320,102,177,141.867,19.862,5320,226,255,251.769,5.059
G90,5320,84,239,125.201,35.019,5320,84,237,125.195,35.002,5320,202,255,241.069,14.341
G91,5320,26,255,173.903,42.322,5320,11,255,163.963,46.022,5320,11,255,179.052,52.885
G92,5320,27,255,142.648,60.934,5320,27,235,119.969,46.079,5320,38,235,130.506,46.961
G93,5320,88,255,194.466,47.442,5320,88,240,165.422,31.229,5320,96,254,192.132,31.578
G94,5320,60,211,147.487,31.630,5320,60,211,147.486,31.629,5320,68,255,192.412,44.832
G95,5320,49,219,150.302,38.769,5320,49,219,150.302,38.769,5320,74,255,191.885,39.976
G96,5320,109,255,220.346,33.421,5320,108,245,204.108,29.571,5320,108,253,211.376,28.240
G97,5320,37,249,178.608,49.231,5320,37,242,175.453,47.083,5320,85,255,229.380,27.003
G98,5320,70,233,180.789,25.173,5320,70,233,180.690,25.111,5320,107,255,234.493,23.445
G99,5320,14,233,132.625,54.293,5320,13,232,115.934,60.628,5320,15,255,134.096,76.877
G100,5320,28,230,146.839,40.747,5320,28,230,146.839,40.747,5320,37,255,192.261,44.101
