Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,172,255,241.394,14.813,5320,44,173,119.915,34.004,5320,44,173,119.915,34.004
G2,5320,201,255,249.184,9.813,5320,142,234,180.200,20.659,5320,142,240,180.534,21.311
G3,5320,140,255,240.846,16.238,5320,63,249,194.630,33.474,5320,63,249,195.050,33.867
G4,5320,75,255,193.273,35.045,5320,75,244,191.004,32.357,5320,108,255,233.513,27.378
G5,5320,15,180,115.107,47.103,5320,15,180,115.107,47.103,5320,43,255,182.481,59.726
G6,5320,45,140,111.263,19.471,5320,45,140,111.261,19.472,5320,88,255,225.492,34.297
G7,5320,50,225,124.555,41.618,5320,41,225,118.120,42.979,5320,41,251,137.929,57.481
G8,5320,48,255,179.565,58.453,5320,39,208,99.898,28.176,5320,39,214,100.191,28.698
G9,5320,49,255,195.699,60.417,5320,19,183,86.175,34.367,5320,19,183,86.176,34.367
G10,5320,154,255,239.235,20.554,5320,116,190,169.709,10.795,5320,116,190,169.709,10.795
G11,5320,194,255,247.370,11.103,5320,142,248,198.038,25.781,5320,142,255,198.607,26.753
G12,5320,164,255,211.337,23.377,5320,164,252,209.210,21.029,5320,183,255,241.166,16.064
G13,5320,36,252,170.616,54.884,5320,36,246,169.326,53.600,5320,72,255,216.956,45.012
G14,5320,40,241,132.170,57.179,5320,40,241,132.144,57.135,5320,82,255,198.311,44.614
G15,5320,75,255,185.597,54.874,5320,75,251,179.211,51.252,5320,145,255,207.479,30.510
G16,5320,112,255,202.629,35.186,5320,50,222,129.402,43.084,5320,50,222,129.414,43.103
G17,5320,40,255,209.291,49.411,5320,9,184,93.899,33.811,5320,9,184,93.899,33.811
G18,5320,73,233,174.564,32.597,5320,73,230,165.267,32.047,5320,99,255,180.929,39.450
G19,5320,157,255,218.757,29.157,5320,116,253,164.275,29.351,5320,116,255,164.953,31.074
G20,5320,217,255,249.740,8.078,5320,125,202,159.283,15.663,5320,125,202,159.283,15.663
G21,5320,203,255,243.856,14.737,5320,139,247,193.119,24.355,5320,139,254,193.371,24.758
G22,5320,136,255,236.934,20.263,5320,99,246,186.452,27.284,5320,99,254,186.570,27.519
G23,5320,172,255,218.352,20.644,5320,170,252,210.881,24.113,5320,170,255,217.717,29.676
G24,5320,155,254,220.607,23.167,5320,115,248,198.194,30.632,5320,115,255,200.317,33.424
G25,5320,60,255,227.261,31.019,5320,47,223,186.211,28.804,5320,47,223,186.211,28.804
G26,5320,56,255,171.361,48.675,5320,41,186,99.745,37.153,5320,41,186,99.745,37.153
G27,5320,45,217,134.683,26.668,5320,45,217,134.683,26.668,5320,74,255,237.547,26.653
G28,5320,101,252,202.168,39.290,5320,67,250,178.739,37.771,5320,67,255,205.976,47.727
G29,5320,63,255,198.934,52.888,5320,28,153,86.988,31.621,5320,28,153,86.988,31.621
G30,5320,57,255,189.730,35.235,5320,39,168,123.048,22.851,5320,39,168,123.048,22.851
G31,5320,60,255,193.562,41.759,5320,41,240,155.723,41.242,5320,41,240,155.783,41.325
G32,5320,199,255,247.454,12.067,5320,179,250,220.612,16.251,5320,179,250,220.646,16.273
G33,5320,32,255,183.880,40.677,5320,23,206,109.018,39.107,5320,23,206,109.018,39.107
G34,5320,32,255,171.041,61.904,5320,18,191,112.465,43.697,5320,18,191,112.580,43.718
G35,5320,62,255,193.592,64.075,5320,42,221,152.386,59.006,5320,42,221,152.386,59.006
G36,5320,72,152,115.150,17.865,5320,72,152,115.150,17.865,5320,176,255,230.435,19.379
G37,5320,67,255,163.314,59.440,5320,67,245,153.128,49.479,5320,112,255,210.299,33.559
G38,5320,36,255,205.008,36.699,5320,0,218,116.025,51.155,5320,0,218,116.025,51.155
G39,5320,38,255,215.397,34.202,5320,0,171,71.936,58.971,5320,0,171,71.936,58.971
G40,5320,79,255,203.674,48.712,5320,27,218,130.576,25.354,5320,27,221,130.641,25.477
G41,5320,92,255,211.286,29.799,5320,89,221,180.336,20.223,5320,89,223,180.471,20.154
G42,5320,43,255,185.306,39.058,5320,30,233,152.115,36.097,5320,30,235,152.143,36.144
G43,5320,29,244,177.226,49.723,5320,29,244,171.992,50.184,5320,43,255,193.725,53.536
G44,5320,32,255,165.362,56.199,5320,32,211,141.159,49.042,5320,43,211,145.368,48.909
G45,5320,28,255,112.686,55.872,5320,28,238,108.973,48.167,5320,63,255,182.306,51.613
G46,5320,68,255,188.204,53.776,5320,68,240,151.836,42.376,5320,95,250,168.447,37.215
G47,5320,44,255,220.042,46.054,5320,0,207,115.759,60.301,5320,0,207,115.759,60.301
G48,5320,12,255,193.125,54.636,5320,0,72,14.042,20.217,5320,0,72,14.042,20.217
G49,5320,55,255,214.557,46.705,5320,21,163,96.832,29.935,5320,21,163,96.832,29.935
G50,5320,39,255,167.320,58.460,5320,24,196,122.220,45.375,5320,24,196,122.220,45.375
G51,5320,86,255,203.277,41.906,5320,59,197,148.646,31.503,5320,59,197,148.646,31.503
G52,5320,30,244,154.979,44.843,5320,30,228,143.813,44.673,5320,50,255,168.569,53.517
G53,5320,19,207,123.977,51.505,5320,19,207,123.977,51.505,5320,30,255,165.461,62.896
G54,5320,113,255,218.942,33.224,5320,111,237,187.462,30.544,5320,111,245,197.537,30.983
G55,5320,87,255,181.390,39.635,5320,10,159,70.370,36.817,5320,10,159,70.370,36.817
G56,5320,57,255,208.990,46.007,5320,0,134,44.917,36.727,5320,0,134,44.917,36.727
G57,5320,99,255,228.723,29.586,5320,0,97,51.817,25.741,5320,0,97,51.817,25.741
G58,5320,79,255,203.568,48.187,5320,41,170,122.398,37.624,5320,41,170,122.398,37.624
G59,5320,110,255,220.225,32.486,5320,68,155,126.833,19.936,5320,68,155,126.833,19.936
G60,5320,86,255,206.564,39.623,5320,59,160,123.570,22.862,5320,59,160,123.570,22.862
G61,5320,102,255,230.606,26.533,5320,71,236,179.657,30.127,5320,71,255,181.838,33.956
G62,5320,62,246,190.855,36.341,5320,0,237,132.217,79.344,5320,0,255,146.944,92.844
G63,5320,164,255,235.571,18.102,5320,38,244,149.731,49.100,5320,38,255,152.373,53.035
G64,5320,41,254,161.795,54.467,5320,0,160,15.391,28.629,5320,0,160,15.391,28.629
G65,5320,102,255,223.710,29.585,5320,0,117,30.656,37.987,5320,0,117,30.656,37.987
G66,5320,107,255,235.998,24.722,5320,0,158,72.194,46.144,5320,0,158,72.194,46.144
G67,5320,108,255,212.654,32.787,5320,0,162,68.704,65.891,5320,0,162,68.704,65.891
G68,5320,186,255,224.494,16.842,5320,109,184,153.440,13.523,5320,109,184,153.440,13.523
G69,5320,96,255,202.592,40.140,5320,23,181,118.231,44.197,5320,23,181,118.231,44.197
G70,5320,24,255,169.997,60.904,5320,0,118,11.009,19.308,5320,0,118,11.009,19.308
G71,5320,116,247,175.442,35.525,5320,116,245,173.852,34.119,5320,142,255,205.928,29.484
G72,5320,67,255,203.004,35.054,5320,0,251,103.694,81.546,5320,0,252,104.236,82.318
G73,5320,54,255,192.278,46.667,5320,0,124,15.107,18.941,5320,0,124,15.107,18.941
G74,5320,42,255,197.263,40.255,5320,0,143,87.474,37.730,5320,0,143,87.474,37.730
G75,5320,97,255,190.562,32.499,5320,0,244,104.055,59.146,5320,0,244,104.056,59.148
G76,5320,142,255,201.401,31.584,5320,110,242,159.627,34.408,5320,110,244,159.759,34.664
G77,5320,58,255,206.703,37.090,5320,30,218,139.095,43.531,5320,30,218,139.095,43.531
G78,5320,9,206,117.318,25.115,5320,9,205,117.164,25.184,5320,16,255,231.571,23.739
G79,5320,61,213,156.925,32.532,5320,61,208,149.679,34.612,5320,75,255,195.689,43.672
G80,5320,54,200,150.246,28.790,5320,13,200,137.665,38.915,5320,13,255,183.341,60.241
G81,5320,74,241,174.516,35.317,5320,70,238,170.506,37.865,5320,70,255,215.414,45.725
G82,5320,73,255,192.099,51.515,5320,73,249,189.044,48.919,5320,128,255,231.443,23.999
G83,5320,89,254,196.368,37.803,5320,89,247,194.214,36.627,5320,131,255,226.101,25.184
G84,5320,10,255,189.351,36.138,5320,2,255,118.484,49.399,5320,2,255,118.581,49.617
G85,5320,56,131,98.960,10.832,5320,56,131,98.960,10.832,5320,112,255,228.900,24.058
G86,5320,86,254,158.877,38.663,5320,86,252,158.823,38.554,5320,115,255,244.383,15.093
G87,5320,78,255,205.414,32.754,5320,78,252,203.079,31.048,5320,103,255,230.396,25.116
