Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,168,255,234.404,16.460,5320,82,238,175.362,33.184,5320,82,243,175.676,33.570
G2,5320,55,255,229.095,39.256,5320,55,242,206.524,30.804,5320,55,247,207.337,30.500
G3,5320,88,255,233.723,25.391,5320,63,229,181.309,32.401,5320,63,229,181.309,32.400
G4,5320,28,215,111.149,44.155,5320,28,209,110.718,43.324,5320,48,255,156.199,58.503
G5,5320,0,231,166.848,57.288,5320,0,224,159.811,53.189,5320,124,255,224.236,28.328
G6,5320,46,220,156.049,33.096,5320,29,220,105.523,45.700,5320,29,255,109.611,53.497
G7,5320,43,255,185.429,42.107,5320,22,156,86.881,30.567,5320,22,156,86.881,30.567
G8,5320,38,255,226.884,44.239,5320,25,115,60.403,13.850,5320,25,115,60.403,13.850
G9,5320,51,255,180.612,47.318,5320,25,236,120.056,55.913,5320,25,236,122.033,58.399
G10,5320,114,255,201.445,28.862,5320,114,245,200.834,28.118,5320,128,255,231.137,23.289
G11,5320,122,247,184.303,24.608,5320,122,243,184.048,24.189,5320,151,255,221.861,18.850
G12,5320,8,255,170.582,67.194,5320,8,251,170.370,66.964,5320,43,255,190.916,65.573
G13,5320,0,232,27.011,52.540,5320,0,230,26.994,52.474,5320,33,255,209.877,43.450
G14,5320,8,255,170.044,72.880,5320,8,240,148.525,52.965,5320,87,255,190.346,28.527
G15,5320,154,255,220.685,28.920,5320,37,194,122.381,40.568,5320,37,194,122.381,40.568
G16,5320,193,255,239.177,14.557,5320,32,143,73.819,26.905,5320,32,143,73.819,26.905
G17,5320,36,255,174.051,49.644,5320,12,155,71.965,27.552,5320,12,155,71.965,27.552
G18,5320,13,147,77.391,24.269,5320,13,147,77.391,24.269,5320,59,255,198.557,44.212
G19,5320,41,255,146.244,57.486,5320,41,251,145.302,56.067,5320,53,254,188.666,48.983
G20,5320,47,255,175.220,59.805,5320,11,250,155.952,50.606,5320,11,255,172.160,48.590
G21,5320,110,255,238.707,25.672,5320,9,252,165.306,66.867,5320,9,255,168.163,69.521
G22,5320,0,255,171.209,66.311,5320,0,233,112.069,62.358,5320,0,236,131.778,63.258
G23,5320,73,255,212.275,45.286,5320,34,219,119.691,45.636,5320,34,225,125.128,51.643
G24,5320,185,255,242.268,15.401,5320,43,149,112.321,22.812,5320,43,149,112.321,22.812
G25,5320,49,255,223.331,39.657,5320,24,149,114.483,26.936,5320,24,149,114.483,26.936
G26,5320,62,255,173.504,38.082,5320,27,123,60.116,18.353,5320,27,123,60.116,18.353
G27,5320,0,200,133.716,37.813,5320,0,200,133.716,37.813,5320,110,255,239.272,23.932
G28,5320,74,255,198.012,40.496,5320,74,242,181.837,30.039,5320,113,255,212.984,31.288
G29,5320,101,255,212.520,32.532,5320,0,197,54.347,59.592,5320,0,197,54.347,59.592
G30,5320,143,255,246.495,12.034,5320,0,60,5.908,12.564,5320,0,60,5.908,12.564
G31,5320,43,255,197.738,50.524,5320,0,75,4.258,10.473,5320,0,75,4.258,10.473
G32,5320,58,255,198.966,38.564,5320,0,67,7.233,13.750,5320,0,67,7.233,13.750
G33,5320,45,255,180.445,60.979,5320,0,147,33.549,31.670,5320,0,147,33.549,31.670
G34,5320,61,255,199.689,51.805,5320,3,148,83.143,41.773,5320,3,148,83.143,41.773
G35,5320,67,255,173.811,55.597,5320,26,144,88.483,33.695,5320,26,144,88.483,33.695
G36,5320,0,216,49.734,70.759,5320,0,216,49.734,70.759,5320,89,255,215.533,43.405
G37,5320,91,255,207.771,32.065,5320,47,234,165.165,44.747,5320,47,255,181.160,56.313
G38,5320,84,255,226.903,41.757,5320,0,149,25.636,37.465,5320,0,149,25.636,37.465
G39,5320,105,255,213.053,35.072,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G40,5320,81,255,206.317,37.224,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G41,5320,66,255,159.241,37.976,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G42,5320,98,255,220.596,28.457,5320,0,153,68.794,54.761,5320,0,153,68.794,54.761
G43,5320,61,255,195.806,45.312,5320,31,121,92.267,18.019,5320,31,121,92.267,18.019
G44,5320,39,255,164.967,55.267,5320,14,138,74.912,25.429,5320,14,138,74.912,25.429
G45,5320,0,255,156.399,85.825,5320,0,202,122.436,59.585,5320,37,233,157.586,39.245
G46,5320,91,255,232.736,24.792,5320,0,198,75.964,59.553,5320,0,202,76.821,60.571
G47,5320,206,255,243.305,12.851,5320,0,39,1.054,4.336,5320,0,39,1.054,4.336
G48,5320,189,255,245.024,14.012,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G49,5320,67,255,161.087,52.160,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G50,5320,64,255,203.555,45.633,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
