Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,190,255,234.039,15.719,5320,112,247,196.033,30.409,5320,112,255,201.026,34.170
G2,5320,37,255,214.654,46.554,5320,37,247,210.669,43.809,5320,46,255,225.616,39.582
G3,5320,37,255,234.956,24.868,5320,37,246,199.238,33.636,5320,46,250,200.727,34.000
G4,5320,25,193,86.628,28.361,5320,25,190,86.594,28.293,5320,44,253,147.015,48.284
G5,5320,63,209,135.789,37.220,5320,63,208,135.695,37.088,5320,170,255,227.664,21.016
G6,5320,52,191,146.102,27.158,5320,42,189,133.360,33.948,5320,42,241,150.072,50.478
G7,5320,47,255,175.636,46.520,5320,28,237,133.244,48.066,5320,28,237,133.338,48.139
G8,5320,44,255,226.122,44.632,5320,27,116,91.190,13.759,5320,27,116,91.190,13.759
G9,5320,47,255,180.369,51.014,5320,30,247,137.081,58.369,5320,30,255,139.109,61.167
G10,5320,67,238,161.663,35.337,5320,67,238,161.658,35.332,5320,128,255,231.562,21.472
G11,5320,106,215,151.694,22.127,5320,106,215,151.694,22.127,5320,138,255,224.776,21.580
G12,5320,18,184,128.644,46.113,5320,18,184,128.644,46.113,5320,44,255,198.622,65.853
G13,5320,14,147,79.599,21.177,5320,14,147,79.599,21.177,5320,34,255,206.533,48.384
G14,5320,44,245,124.065,55.898,5320,44,240,123.704,55.200,5320,73,255,211.381,39.004
G15,5320,142,255,218.233,28.083,5320,77,251,172.638,50.374,5320,77,253,174.064,51.856
G16,5320,139,255,232.412,23.846,5320,78,192,109.201,23.092,5320,78,192,109.201,23.092
G17,5320,61,255,172.708,52.970,5320,26,178,92.119,35.583,5320,26,179,92.137,35.621
G18,5320,4,79,32.185,18.721,5320,4,79,32.185,18.721,5320,60,255,200.754,42.981
G19,5320,16,234,102.012,50.225,5320,16,234,102.012,50.225,5320,54,255,173.631,47.910
G20,5320,31,242,128.862,52.915,5320,31,236,128.614,52.468,5320,53,255,182.792,51.881
G21,5320,112,228,185.533,22.342,5320,112,228,185.286,22.148,5320,133,255,244.648,17.462
G22,5320,30,230,143.235,46.658,5320,30,230,143.192,46.612,5320,40,255,206.517,57.531
G23,5320,61,255,180.492,52.588,5320,61,244,176.883,48.358,5320,102,255,232.883,20.591
G24,5320,198,255,236.675,13.503,5320,152,234,194.988,15.671,5320,152,234,194.988,15.671
G25,5320,55,255,224.336,39.354,5320,37,207,164.346,35.068,5320,37,207,164.346,35.068
G26,5320,61,255,176.089,37.194,5320,34,157,78.475,23.577,5320,34,157,78.475,23.577
G27,5320,0,162,101.551,30.908,5320,0,162,101.551,30.908,5320,95,255,240.350,23.548
G28,5320,58,255,164.368,50.045,5320,58,249,162.422,47.523,5320,120,255,219.778,28.866
G29,5320,79,255,181.733,50.146,5320,0,233,105.232,80.681,5320,0,245,106.036,81.712
G30,5320,111,255,217.852,30.814,5320,0,227,88.579,75.962,5320,0,227,88.964,76.578
G31,5320,39,255,193.358,64.663,5320,22,230,142.748,53.065,5320,22,230,143.691,52.131
G32,5320,78,255,219.981,44.081,5320,0,239,120.408,68.389,5320,0,247,121.445,69.546
