Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,167,255,225.635,24.317,5320,108,248,199.001,29.081,5320,108,255,209.144,31.714
G2,5320,29,251,185.216,53.350,5320,29,248,185.056,53.174,5320,47,255,221.113,48.896
G3,5320,26,255,226.982,31.628,5320,26,251,206.610,35.441,5320,43,255,213.933,34.242
G4,5320,5,140,48.798,25.894,5320,5,140,48.798,25.894,5320,45,247,150.952,52.202
G5,5320,1,154,66.890,47.115,5320,1,154,66.890,47.115,5320,150,255,230.587,22.231
G6,5320,16,191,109.307,34.632,5320,16,191,109.155,34.724,5320,60,255,157.419,46.429
G7,5320,47,255,175.888,44.959,5320,43,229,159.235,45.877,5320,43,255,167.492,52.490
G8,5320,51,255,227.093,44.161,5320,41,156,120.258,20.525,5320,41,156,120.298,20.445
G9,5320,59,254,176.815,46.550,5320,34,249,142.043,53.939,5320,34,255,146.905,59.745
G10,5320,106,237,160.161,22.676,5320,106,234,160.154,22.655,5320,146,255,230.499,22.873
G11,5320,60,189,122.014,24.040,5320,60,189,122.014,24.040,5320,97,255,211.639,32.590
G12,5320,0,127,78.639,35.508,5320,0,127,78.639,35.508,5320,36,252,183.432,64.199
G13,5320,0,113,6.363,18.773,5320,0,113,6.363,18.773,5320,60,255,211.049,42.044
G14,5320,0,179,59.074,60.188,5320,0,179,59.074,60.188,5320,73,255,208.034,40.031
G15,5320,135,239,193.385,18.984,5320,99,220,179.519,27.617,5320,99,255,207.587,44.227
G16,5320,169,255,234.870,19.748,5320,111,240,161.107,29.510,5320,111,255,162.346,32.088
G17,5320,61,255,168.917,51.591,5320,26,209,99.843,37.879,5320,26,209,99.848,37.889
G18,5320,19,135,80.306,21.839,5320,19,135,80.306,21.839,5320,54,255,203.743,33.320
G19,5320,28,166,101.778,30.925,5320,28,166,101.778,30.925,5320,55,255,179.765,44.971
G20,5320,26,169,104.630,33.419,5320,26,169,104.630,33.419,5320,54,255,198.033,44.551
G21,5320,0,133,107.166,18.745,5320,0,133,107.166,18.745,5320,66,255,240.834,23.073
G22,5320,0,132,31.755,42.248,5320,0,132,31.755,42.248,5320,45,255,205.609,44.772
G23,5320,0,147,28.177,39.251,5320,0,147,28.177,39.251,5320,132,255,230.024,23.529
G24,5320,81,180,119.277,21.472,5320,81,179,119.261,21.439,5320,175,255,236.002,18.188
G25,5320,49,255,180.680,43.309,5320,49,247,175.439,39.446,5320,54,255,215.155,43.375
G26,5320,63,255,175.694,37.609,5320,49,211,103.985,29.527,5320,49,211,103.988,29.529
G27,5320,0,110,84.024,19.303,5320,0,110,84.024,19.303,5320,93,255,241.604,22.409
G28,5320,47,191,123.768,35.004,5320,47,191,123.768,35.004,5320,105,255,230.948,26.188
G29,5320,64,206,146.375,36.185,5320,64,206,146.375,36.185,5320,77,255,183.204,47.528
G30,5320,0,232,132.452,69.559,5320,0,232,132.451,69.557,5320,48,255,208.808,49.114
G31,5320,0,195,40.449,52.230,5320,0,195,40.449,52.230,5320,79,255,157.283,50.149
G32,5320,0,158,59.351,49.641,5320,0,158,59.351,49.641,5320,130,255,220.554,26.706
G33,5320,32,206,119.511,24.299,5320,32,206,119.511,24.299,5320,42,255,222.172,50.368
G34,5320,31,255,157.006,60.272,5320,31,247,156.581,59.695,5320,50,255,197.177,52.861
G35,5320,69,255,171.681,53.593,5320,47,245,137.276,57.751,5320,47,251,137.688,58.465
