Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,145,255,225.843,26.434,5320,127,250,201.121,26.442,5320,127,255,214.800,27.621
G2,5320,51,254,186.071,50.841,5320,51,250,185.905,50.658,5320,61,255,215.680,46.734
G3,5320,48,255,230.171,31.050,5320,48,249,202.430,37.746,5320,58,255,207.038,37.929
G4,5320,50,203,110.303,33.779,5320,50,202,110.278,33.715,5320,68,230,139.140,35.676
G5,5320,69,223,156.021,44.034,5320,69,223,155.420,43.690,5320,80,245,188.542,37.880
G6,5320,47,207,150.028,23.467,5320,47,200,135.514,29.233,5320,50,243,147.820,43.245
G7,5320,46,255,178.681,44.500,5320,35,243,143.951,46.956,5320,35,244,144.031,47.005
G8,5320,46,255,225.849,45.231,5320,31,133,107.899,16.397,5320,31,133,107.899,16.397
G9,5320,50,255,175.804,47.705,5320,35,251,137.998,54.741,5320,35,255,141.467,59.103
G10,5320,70,219,136.687,21.059,5320,70,219,136.687,21.059,5320,136,255,229.641,22.266
G11,5320,32,177,97.555,27.050,5320,32,177,97.555,27.050,5320,72,255,198.423,41.334
G12,5320,0,131,74.937,30.542,5320,0,131,74.937,30.542,5320,42,255,174.168,60.203
G13,5320,0,100,35.971,26.544,5320,0,100,35.971,26.544,5320,55,255,192.726,48.782
G14,5320,3,196,84.453,50.763,5320,3,196,84.449,50.757,5320,58,255,200.468,44.910
G15,5320,131,233,195.569,22.781,5320,72,231,176.343,41.343,5320,72,255,195.754,54.664
G16,5320,132,255,234.981,23.178,5320,85,242,152.089,31.374,5320,85,255,152.870,33.093
G17,5320,57,255,181.319,51.756,5320,24,201,103.247,36.368,5320,24,201,103.247,36.368
G18,5320,14,111,46.376,16.791,5320,14,111,46.376,16.791,5320,59,255,202.896,40.966
G19,5320,19,146,88.231,35.332,5320,19,146,88.231,35.332,5320,57,255,188.130,48.981
G20,5320,24,155,100.328,28.495,5320,24,155,100.328,28.495,5320,68,255,221.545,35.283
G21,5320,0,132,85.911,35.637,5320,0,132,85.911,35.637,5320,36,255,221.402,40.138
G22,5320,0,102,7.039,20.205,5320,0,102,7.039,20.205,5320,44,255,207.162,43.325
G23,5320,0,149,21.101,36.475,5320,0,149,21.101,36.475,5320,219,255,242.384,10.152
G24,5320,76,190,142.455,20.885,5320,76,190,142.435,20.848,5320,193,255,237.377,12.166
G25,5320,50,255,193.739,38.271,5320,49,242,186.184,34.959,5320,49,255,214.371,41.222
G26,5320,62,255,175.275,38.585,5320,46,203,102.161,30.210,5320,46,203,102.161,30.210
G27,5320,0,82,55.810,15.820,5320,0,82,55.810,15.820,5320,112,255,239.190,24.757
G28,5320,33,168,100.976,42.338,5320,33,168,100.976,42.338,5320,113,255,227.824,29.336
G29,5320,26,177,113.433,45.676,5320,26,177,113.433,45.676,5320,69,255,186.270,51.215
G30,5320,0,66,11.003,16.816,5320,0,66,11.003,16.816,5320,68,255,185.983,39.163
G31,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,90,255,221.512,34.319
G32,5320,0,195,7.651,29.372,5320,0,175,7.403,28.052,5320,56,255,200.870,53.711
G33,5320,0,245,132.163,46.309,5320,0,226,129.457,43.347,5320,45,255,191.464,59.935
G34,5320,54,255,188.543,59.393,5320,54,237,175.251,49.258,5320,58,240,186.456,46.804
G35,5320,68,255,172.898,54.706,5320,45,222,130.727,49.082,5320,45,222,130.727,49.082
G36,5320,0,83,17.943,28.563,5320,0,83,17.943,28.563,5320,66,255,221.720,40.236
G37,5320,39,226,118.325,56.863,5320,39,226,118.322,56.858,5320,95,255,222.261,30.815
G38,5320,5,229,144.012,66.698,5320,5,225,143.495,66.148,5320,52,255,183.035,57.251
G39,5320,0,45,3.497,7.970,5320,0,45,3.497,7.970,5320,66,255,201.477,56.943
G40,5320,0,253,117.014,87.107,5320,0,211,103.642,76.628,5320,33,247,172.951,43.879
G41,5320,0,255,177.668,68.311,5320,0,165,76.350,48.576,5320,11,255,90.129,50.101
G42,5320,130,255,230.260,24.362,5320,14,229,129.415,54.036,5320,14,229,129.415,54.036
G43,5320,65,255,193.626,47.596,5320,58,203,148.611,34.199,5320,58,203,148.611,34.199
G44,5320,55,255,163.198,55.157,5320,28,196,117.447,40.041,5320,28,196,117.447,40.041
G45,5320,0,255,126.798,90.959,5320,0,250,125.249,88.909,5320,31,255,197.030,53.016
G46,5320,39,255,212.448,46.970,5320,39,243,188.502,47.510,5320,84,255,212.766,38.875
G47,5320,7,255,220.210,60.804,5320,7,227,148.569,49.523,5320,49,227,154.948,39.382
G48,5320,4,255,120.585,86.043,5320,0,181,64.258,39.620,5320,0,255,141.434,71.147
G49,5320,19,255,185.663,33.832,5320,0,207,122.831,45.234,5320,0,208,124.692,47.027
G50,5320,51,255,187.242,53.641,5320,6,111,57.689,19.565,5320,6,111,57.689,19.565
G51,5320,56,255,197.091,53.143,5320,0,107,27.880,27.974,5320,0,107,27.880,27.974
G52,5320,125,255,217.140,27.854,5320,12,183,94.712,44.050,5320,12,183,94.712,44.050
G53,5320,55,234,187.683,33.444,5320,35,155,98.008,18.672,5320,35,155,98.008,18.672
G54,5320,140,255,230.838,27.714,5320,83,252,187.172,38.656,5320,83,255,188.840,39.837
G55,5320,60,255,194.761,50.034,5320,9,226,99.495,48.884,5320,9,226,99.495,48.884
G56,5320,62,255,187.009,61.148,5320,0,89,24.465,26.960,5320,0,89,24.465,26.960
G57,5320,86,255,197.928,46.366,5320,0,107,21.351,31.318,5320,0,107,21.351,31.318
G58,5320,127,255,208.094,33.076,5320,0,128,86.857,27.862,5320,0,128,86.857,27.862
G59,5320,166,255,224.921,18.942,5320,29,133,98.605,23.767,5320,29,133,98.605,23.767
G60,5320,55,255,182.623,51.986,5320,0,138,49.697,42.760,5320,0,138,49.697,42.760
G61,5320,44,255,191.191,60.125,5320,1,162,94.240,51.038,5320,1,162,94.240,51.038
G62,5320,39,255,189.732,60.175,5320,25,247,165.555,68.451,5320,25,247,166.244,69.110
G63,5320,80,255,228.234,31.380,5320,65,249,179.830,43.674,5320,65,255,182.987,45.985
G64,5320,158,255,231.006,18.038,5320,6,240,125.527,64.047,5320,6,243,125.891,64.558
G65,5320,200,255,249.601,7.789,5320,10,234,144.425,52.208,5320,10,239,144.508,52.337
G66,5320,175,255,234.153,23.153,5320,99,201,149.842,26.297,5320,99,201,149.842,26.297
G67,5320,74,255,219.375,33.268,5320,53,248,177.291,49.958,5320,53,248,177.291,49.958
G68,5320,91,255,224.020,21.935,5320,80,235,175.085,43.901,5320,80,238,175.527,44.391
G69,5320,155,255,223.484,20.015,5320,115,222,161.358,28.185,5320,115,222,161.358,28.185
G70,5320,46,255,192.573,49.047,5320,37,234,174.183,44.792,5320,37,236,177.899,47.192
G71,5320,25,255,158.334,48.864,5320,25,249,157.150,48.391,5320,34,255,192.041,45.676
G72,5320,44,249,156.705,50.220,5320,44,248,156.084,49.392,5320,90,255,227.734,27.036
G73,5320,149,254,209.872,29.253,5320,0,253,157.023,81.170,5320,0,255,161.877,85.079
G74,5320,135,255,235.900,21.156,5320,0,198,59.807,60.774,5320,0,198,59.807,60.774
G75,5320,105,255,185.468,37.797,5320,55,231,158.363,44.181,5320,55,242,165.683,51.558
G76,5320,83,229,178.551,28.997,5320,83,229,177.883,29.191,5320,85,243,199.763,27.335
G77,5320,80,255,221.368,30.914,5320,80,252,214.916,27.856,5320,90,255,223.974,23.688
G78,5320,28,188,123.000,23.874,5320,28,188,123.000,23.874,5320,55,250,199.061,25.769
G79,5320,99,255,180.400,38.074,5320,99,249,179.599,37.317,5320,126,255,225.236,27.925
G80,5320,156,255,227.442,21.314,5320,44,253,184.509,42.589,5320,44,255,186.209,44.706
G81,5320,55,255,197.852,52.103,5320,9,238,126.797,61.881,5320,9,253,133.733,64.948
G82,5320,45,181,123.803,28.389,5320,45,181,122.753,29.472,5320,57,255,217.617,46.577
G83,5320,0,188,41.356,51.301,5320,0,188,41.356,51.301,5320,81,255,220.717,31.894
G84,5320,0,218,105.009,50.626,5320,0,212,98.921,44.388,5320,49,255,160.414,55.355
G85,5320,90,248,149.909,43.390,5320,90,248,149.894,43.377,5320,117,255,217.883,31.848
G86,5320,95,255,200.826,40.143,5320,95,253,198.139,38.007,5320,117,255,222.053,25.248
G87,5320,123,255,236.013,24.915,5320,89,254,193.833,34.248,5320,89,254,193.907,34.350
G88,5320,41,250,157.547,48.071,5320,41,226,153.944,43.500,5320,80,255,216.451,35.867
G89,5320,1,160,60.845,29.923,5320,1,160,60.845,29.923,5320,88,255,227.411,33.258
G90,5320,0,208,33.022,30.495,5320,0,208,33.022,30.495,5320,56,255,194.548,42.517
G91,5320,12,210,88.262,26.899,5320,12,210,88.258,26.901,5320,38,255,191.823,58.447
G92,5320,27,251,167.718,62.769,5320,27,219,129.630,47.685,5320,29,221,132.866,47.789
G93,5320,86,255,215.768,45.705,5320,68,229,153.165,33.705,5320,68,229,153.294,33.815
G94,5320,109,255,217.803,36.403,5320,109,253,210.731,36.632,5320,116,255,215.920,35.180
G95,5320,53,255,163.264,61.166,5320,53,251,161.653,59.296,5320,82,255,178.254,52.599
G96,5320,49,213,123.745,34.972,5320,49,213,123.745,34.971,5320,124,255,234.758,27.780
G97,5320,0,255,166.835,86.312,5320,0,247,157.060,77.550,5320,82,255,209.659,30.679
G98,5320,0,204,138.113,45.320,5320,0,204,138.057,45.388,5320,31,255,207.602,50.069
G99,5320,21,210,136.203,33.963,5320,21,210,134.735,33.604,5320,36,255,193.361,45.020
G100,5320,41,234,170.402,38.606,5320,39,234,168.026,37.516,5320,39,255,205.970,40.304
