Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,227.889,20.912,5320,103,251,197.461,29.562,5320,103,255,206.674,33.842
G2,5320,33,255,187.522,58.688,5320,33,253,187.350,58.514,5320,47,255,217.181,54.056
G3,5320,34,255,230.262,28.800,5320,34,250,204.681,37.808,5320,50,255,209.216,38.065
G4,5320,0,202,54.649,47.347,5320,0,196,54.609,47.228,5320,38,255,153.645,57.181
G5,5320,0,217,94.700,75.892,5320,0,216,93.240,74.292,5320,125,255,220.944,25.915
G6,5320,10,218,139.767,36.682,5320,10,185,113.608,36.174,5320,36,255,134.231,55.500
G7,5320,49,255,184.337,47.701,5320,22,197,113.158,38.403,5320,22,197,113.161,38.408
G8,5320,49,255,226.110,44.343,5320,38,126,81.074,12.501,5320,38,126,81.074,12.501
G9,5320,64,255,177.014,48.423,5320,29,234,124.937,57.645,5320,29,247,126.304,59.475
G10,5320,97,237,157.503,24.220,5320,97,233,157.491,24.182,5320,137,255,233.169,23.507
G11,5320,45,194,118.795,27.089,5320,45,194,118.795,27.089,5320,75,253,204.756,35.870
G12,5320,0,170,95.169,46.323,5320,0,170,95.169,46.323,5320,34,255,188.573,62.555
G13,5320,0,152,11.228,28.901,5320,0,152,11.228,28.901,5320,49,255,190.815,46.567
G14,5320,0,255,117.681,96.017,5320,0,254,116.368,94.283,5320,101,255,213.294,34.635
G15,5320,149,255,218.519,29.624,5320,65,246,162.696,53.806,5320,65,248,162.823,53.963
G16,5320,184,255,240.191,13.867,5320,67,183,105.924,26.360,5320,67,183,105.924,26.360
G17,5320,55,255,175.002,49.326,5320,20,167,78.820,29.565,5320,20,167,78.820,29.565
G18,5320,20,137,78.144,22.463,5320,20,137,78.144,22.463,5320,68,255,205.422,34.242
G19,5320,29,183,106.611,34.947,5320,29,183,106.611,34.947,5320,58,255,187.595,42.885
G20,5320,33,195,123.105,39.402,5320,33,195,123.088,39.403,5320,67,255,207.507,42.972
G21,5320,27,195,147.639,22.144,5320,27,181,146.679,22.506,5320,30,255,225.800,42.392
G22,5320,21,238,149.364,51.128,5320,21,230,129.704,46.315,5320,44,255,171.850,50.838
G23,5320,77,255,222.551,29.522,5320,0,253,125.601,73.301,5320,0,255,134.825,81.150
G24,5320,184,255,241.317,15.715,5320,135,223,180.310,16.314,5320,135,223,180.310,16.314
G25,5320,49,255,224.557,41.498,5320,32,202,150.668,35.481,5320,32,202,150.668,35.481
G26,5320,64,255,173.811,39.846,5320,31,146,67.975,22.195,5320,31,146,67.975,22.195
G27,5320,0,106,80.436,19.597,5320,0,106,80.436,19.597,5320,106,255,240.646,24.092
G28,5320,43,207,123.428,43.059,5320,43,207,123.428,43.059,5320,117,255,225.782,28.888
G29,5320,78,243,173.497,43.717,5320,28,240,152.372,63.694,5320,28,255,164.741,73.021
G30,5320,60,255,200.594,39.660,5320,13,164,79.999,40.828,5320,13,180,80.780,42.145
G31,5320,69,255,220.640,38.111,5320,13,181,114.562,45.768,5320,13,181,114.562,45.768
G32,5320,43,255,156.073,52.367,5320,0,162,74.080,48.175,5320,0,162,74.080,48.175
G33,5320,38,251,194.450,47.019,5320,0,214,83.290,51.796,5320,0,214,83.290,51.796
G34,5320,53,255,200.736,54.530,5320,6,186,120.693,55.239,5320,6,186,120.693,55.239
G35,5320,62,255,173.410,55.217,5320,29,183,99.634,45.726,5320,29,183,99.634,45.726
G36,5320,0,114,29.574,41.749,5320,0,114,29.574,41.749,5320,87,255,220.903,42.541
G37,5320,55,252,139.806,55.848,5320,55,247,138.862,54.529,5320,112,255,221.907,30.278
G38,5320,56,255,188.181,55.084,5320,17,250,152.844,70.455,5320,17,255,155.302,72.990
G39,5320,86,255,197.292,51.679,5320,14,75,41.398,16.852,5320,14,75,41.398,16.852
G40,5320,49,255,182.997,40.107,5320,10,203,92.463,61.545,5320,10,203,92.463,61.545
G41,5320,49,255,196.561,44.756,5320,31,203,132.243,31.234,5320,31,203,132.243,31.234
