Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,167,255,228.449,22.556,5320,123,250,203.533,26.595,5320,123,255,215.212,29.974
G2,5320,38,254,187.331,52.565,5320,38,251,187.139,52.359,5320,50,255,217.475,46.813
G3,5320,38,255,229.795,31.130,5320,38,252,205.074,37.796,5320,50,255,210.174,37.423
G4,5320,27,175,108.646,38.862,5320,27,175,108.564,38.778,5320,49,255,181.762,60.953
G5,5320,66,227,135.062,46.465,5320,66,220,134.388,45.431,5320,132,255,238.647,20.608
G6,5320,80,236,169.442,39.810,5320,80,228,162.485,41.442,5320,86,255,201.360,50.525
G7,5320,45,228,145.576,39.924,5320,44,213,85.334,31.025,5320,44,213,89.066,36.940
G8,5320,49,255,226.553,42.811,5320,38,132,90.042,12.276,5320,38,135,90.105,12.327
G9,5320,49,255,176.852,48.235,5320,35,242,135.234,55.437,5320,35,255,141.767,63.539
G10,5320,83,221,138.858,28.301,5320,83,220,138.857,28.299,5320,139,255,230.784,25.942
G11,5320,39,180,102.594,28.914,5320,39,180,102.594,28.914,5320,69,255,201.369,38.181
G12,5320,16,126,84.966,29.009,5320,16,126,84.966,29.009,5320,40,255,185.607,64.054
G13,5320,18,110,73.683,22.549,5320,18,110,73.683,22.549,5320,46,251,179.422,48.451
G14,5320,63,193,113.306,32.950,5320,63,192,113.195,32.728,5320,145,255,227.851,25.823
G15,5320,113,251,202.354,31.106,5320,64,247,179.703,40.819,5320,64,255,191.695,45.646
G16,5320,166,255,228.123,28.671,5320,84,192,126.538,24.499,5320,84,192,126.538,24.499
G17,5320,54,255,181.455,48.922,5320,25,180,95.683,32.216,5320,25,180,95.690,32.234
G18,5320,12,108,55.281,18.587,5320,12,108,55.281,18.587,5320,58,255,205.302,35.156
G19,5320,20,137,85.870,27.595,5320,20,137,85.870,27.595,5320,48,255,185.730,44.298
G20,5320,23,137,84.561,26.960,5320,23,137,84.561,26.960,5320,56,255,209.171,44.155
G21,5320,0,125,72.161,36.426,5320,0,125,72.161,36.426,5320,31,255,219.765,41.792
G22,5320,0,88,25.415,29.064,5320,0,88,25.415,29.064,5320,46,255,230.234,38.430
G23,5320,0,187,71.744,29.638,5320,0,187,71.744,29.638,5320,101,255,194.317,29.997
G24,5320,59,230,150.942,46.053,5320,44,229,132.957,42.840,5320,44,255,143.151,49.772
G25,5320,49,255,212.768,46.111,5320,38,198,158.444,34.997,5320,38,198,158.446,34.996
G26,5320,73,255,173.077,39.214,5320,44,178,93.119,24.449,5320,44,178,93.119,24.449
G27,5320,0,79,54.468,13.672,5320,0,79,54.468,13.672,5320,103,255,242.300,21.480
G28,5320,28,146,88.711,34.509,5320,28,146,88.711,34.509,5320,119,255,228.781,27.093
G29,5320,42,155,107.228,33.119,5320,42,155,107.228,33.119,5320,72,255,190.468,48.383
G30,5320,0,123,26.224,32.615,5320,0,123,26.224,32.615,5320,64,255,192.442,35.196
G31,5320,0,57,0.323,3.126,5320,0,57,0.323,3.126,5320,95,255,226.276,32.441
G32,5320,0,189,102.588,48.581,5320,0,189,102.588,48.581,5320,123,255,211.121,26.846
G33,5320,56,185,142.800,35.995,5320,41,185,142.626,36.344,5320,41,255,191.583,59.140
G34,5320,52,255,203.211,42.338,5320,39,250,198.720,44.976,5320,39,255,210.409,46.624
G35,5320,65,255,169.102,53.303,5320,44,247,134.195,55.806,5320,44,247,134.196,55.808
G36,5320,0,76,13.658,24.965,5320,0,76,13.658,24.965,5320,89,255,216.606,42.139
G37,5320,9,178,95.973,43.951,5320,9,178,95.973,43.951,5320,108,255,220.084,29.830
G38,5320,7,176,116.609,47.050,5320,7,176,116.609,47.050,5320,58,255,190.904,56.714
G39,5320,0,59,5.676,11.305,5320,0,59,5.676,11.305,5320,76,255,184.968,55.825
G40,5320,0,209,95.723,79.098,5320,0,209,95.723,79.098,5320,49,255,212.615,45.792
G41,5320,69,230,202.170,29.562,5320,69,230,202.170,29.562,5320,177,255,243.133,15.282
G42,5320,85,243,207.704,21.685,5320,85,243,207.660,21.646,5320,99,255,235.251,18.171
G43,5320,65,254,191.988,43.022,5320,65,246,189.109,40.902,5320,73,255,199.270,39.945
G44,5320,46,254,161.223,50.125,5320,27,229,134.728,48.187,5320,27,231,134.882,48.428
G45,5320,0,255,117.953,90.118,5320,0,252,116.690,88.380,5320,37,255,193.018,54.696
G46,5320,19,255,177.670,46.479,5320,19,249,175.798,44.616,5320,129,255,234.334,20.185
G47,5320,14,255,180.899,57.605,5320,14,253,179.211,55.772,5320,61,255,229.762,36.865
G48,5320,0,229,35.328,49.625,5320,0,229,35.327,49.622,5320,120,255,199.847,36.293
G49,5320,0,237,132.605,87.177,5320,0,237,132.605,87.177,5320,82,255,225.212,38.424
G50,5320,37,240,181.627,51.797,5320,37,238,181.496,51.703,5320,54,255,213.700,47.647
G51,5320,59,255,170.528,44.704,5320,59,252,167.321,40.163,5320,93,255,208.829,31.669
G52,5320,116,255,221.564,29.610,5320,84,248,190.770,39.569,5320,84,252,191.515,40.335
G53,5320,43,234,183.225,36.318,5320,40,218,138.750,29.284,5320,40,221,139.022,29.281
G54,5320,139,255,236.173,21.681,5320,21,250,144.395,64.652,5320,21,252,145.885,66.141
G55,5320,83,255,201.486,46.482,5320,26,243,130.089,50.661,5320,26,243,130.292,50.965
G56,5320,82,255,234.912,34.469,5320,55,250,194.779,43.279,5320,55,254,195.064,43.615
G57,5320,18,255,185.612,61.591,5320,18,251,183.466,59.543,5320,67,255,214.026,37.573
G58,5320,5,254,199.068,53.680,5320,5,248,192.446,53.029,5320,62,255,215.691,39.656
G59,5320,44,255,231.389,31.768,5320,44,253,190.111,56.133,5320,55,255,191.664,56.495
G60,5320,40,250,156.827,45.589,5320,34,211,141.681,39.629,5320,34,214,144.851,37.624
G61,5320,43,255,190.408,60.179,5320,32,206,149.562,49.490,5320,32,206,149.562,49.490
G62,5320,45,245,179.965,56.562,5320,43,245,173.582,60.052,5320,43,255,183.889,66.270
G63,5320,107,255,229.415,31.862,5320,18,251,165.986,56.867,5320,18,252,166.042,56.944
G64,5320,77,255,162.021,50.043,5320,57,246,140.564,48.835,5320,57,252,141.209,49.624
G65,5320,125,255,214.965,28.257,5320,111,243,202.544,28.797,5320,111,255,207.464,31.864
G66,5320,145,255,227.171,21.234,5320,0,247,100.222,63.686,5320,0,248,100.242,63.731
G67,5320,51,255,232.881,33.151,5320,0,246,38.574,43.576,5320,0,247,38.574,43.579
G68,5320,157,255,218.157,23.054,5320,18,247,205.154,25.380,5320,18,248,206.470,25.976
G69,5320,146,255,223.060,22.951,5320,131,232,184.103,23.988,5320,131,232,184.103,23.988
G70,5320,28,255,200.498,47.330,5320,22,244,188.014,47.099,5320,22,245,191.314,48.746
G71,5320,23,255,171.348,52.769,5320,23,250,170.015,51.376,5320,61,255,213.908,41.352
G72,5320,38,244,135.790,40.984,5320,38,241,134.905,39.917,5320,91,255,212.135,35.081
G73,5320,105,255,191.238,34.598,5320,99,241,171.633,33.105,5320,99,255,181.317,37.888
G74,5320,158,255,222.244,23.887,5320,0,248,134.883,68.540,5320,0,255,141.481,75.950
G75,5320,44,253,173.832,46.952,5320,0,236,90.357,88.144,5320,0,253,96.981,97.200
G76,5320,71,251,192.549,35.189,5320,13,249,188.648,38.175,5320,13,255,206.526,36.203
G77,5320,79,255,220.615,27.735,5320,79,252,216.523,25.839,5320,80,255,226.836,22.449
G78,5320,16,184,98.508,30.493,5320,16,184,98.508,30.493,5320,49,255,189.791,36.590
G79,5320,63,188,122.399,27.589,5320,63,188,122.399,27.589,5320,154,255,227.340,29.611
G80,5320,78,212,151.342,29.303,5320,78,212,151.342,29.303,5320,158,255,234.348,22.325
G81,5320,39,188,115.071,30.010,5320,39,188,114.777,29.536,5320,89,255,212.021,42.688
G82,5320,2,210,134.664,39.843,5320,2,210,134.594,39.793,5320,128,255,232.115,21.222
G83,5320,0,193,68.426,43.061,5320,0,193,68.426,43.061,5320,94,255,222.041,32.019
G84,5320,24,230,115.682,45.694,5320,24,208,106.116,37.563,5320,48,255,165.756,59.475
G85,5320,77,234,139.494,43.302,5320,77,234,139.478,43.294,5320,123,255,218.403,30.185
G86,5320,95,249,176.795,34.000,5320,95,247,176.673,33.818,5320,132,255,224.517,25.141
G87,5320,113,255,215.331,34.287,5320,113,246,203.336,29.758,5320,117,255,224.870,26.661
G88,5320,28,220,117.839,46.474,5320,28,220,117.725,46.449,5320,70,255,220.665,29.529
G89,5320,0,164,73.616,35.967,5320,0,164,73.430,35.733,5320,75,255,215.622,35.960
G90,5320,0,211,61.227,39.254,5320,0,211,61.227,39.254,5320,52,247,183.832,36.993
G91,5320,25,213,96.151,30.173,5320,25,213,96.087,30.240,5320,47,255,187.996,61.438
G92,5320,27,249,165.955,62.417,5320,27,238,134.229,46.442,5320,28,239,139.848,45.113
G93,5320,139,255,205.726,29.689,5320,113,238,170.128,31.822,5320,113,238,170.239,31.899
G94,5320,40,255,163.285,47.783,5320,40,243,159.530,46.234,5320,52,255,181.022,47.931
G95,5320,46,198,122.237,36.599,5320,46,198,121.596,36.877,5320,55,234,157.086,47.292
G96,5320,52,212,110.572,33.720,5320,52,211,110.556,33.681,5320,128,255,238.043,25.571
G97,5320,30,255,177.744,62.425,5320,18,208,113.049,44.375,5320,18,235,136.032,54.108
G98,5320,48,208,164.079,30.382,5320,33,208,161.066,33.193,5320,33,255,203.581,46.051
G99,5320,37,221,144.722,34.237,5320,27,217,141.808,33.787,5320,27,255,190.842,42.379
G100,5320,43,236,164.538,41.827,5320,39,231,162.022,40.919,5320,39,255,202.047,43.506
