Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,160,255,241.531,16.499,5320,76,239,187.150,36.141,5320,76,239,187.152,36.143
G2,5320,74,255,225.897,40.998,5320,74,241,205.551,31.004,5320,94,243,210.079,26.073
G3,5320,78,255,236.341,26.734,5320,64,241,197.461,28.466,5320,64,241,198.105,27.785
G4,5320,39,191,92.413,27.974,5320,39,191,92.413,27.974,5320,75,224,146.054,34.700
G5,5320,0,134,59.721,40.830,5320,0,134,59.721,40.830,5320,61,249,151.189,46.157
G6,5320,0,226,117.031,67.980,5320,0,224,108.092,60.262,5320,61,252,187.292,32.880
G7,5320,22,241,152.687,48.432,5320,0,213,62.255,48.056,5320,0,213,62.255,48.056
G8,5320,43,255,212.145,46.874,5320,0,136,5.501,11.498,5320,0,136,5.501,11.498
G9,5320,59,255,189.656,46.772,5320,0,198,91.335,67.413,5320,0,198,91.543,67.641
G10,5320,61,255,210.395,53.681,5320,61,251,209.324,53.032,5320,115,255,232.883,27.383
G11,5320,140,255,210.551,24.457,5320,140,251,209.432,22.970,5320,207,255,243.404,8.770
G12,5320,133,210,173.349,14.634,5320,133,210,173.349,14.634,5320,185,255,230.304,14.311
G13,5320,23,225,145.136,40.831,5320,23,207,143.042,40.177,5320,29,255,195.882,54.340
G14,5320,137,255,232.279,23.128,5320,129,253,208.196,27.719,5320,129,255,220.534,32.493
G15,5320,197,255,247.027,11.781,5320,14,193,114.876,37.192,5320,14,193,114.876,37.192
G16,5320,149,255,217.398,27.915,5320,0,93,26.113,24.118,5320,0,93,26.113,24.118
G17,5320,61,255,177.400,44.235,5320,0,175,48.138,36.108,5320,0,183,48.242,36.447
G18,5320,0,238,75.026,62.591,5320,0,238,75.026,62.591,5320,50,255,191.302,40.030
G19,5320,38,235,153.933,46.582,5320,38,235,153.933,46.582,5320,49,255,184.742,47.758
G20,5320,54,190,130.044,31.524,5320,54,190,130.044,31.524,5320,75,255,207.679,50.546
G21,5320,94,179,150.226,12.348,5320,94,179,150.226,12.348,5320,136,255,239.632,22.795
G22,5320,49,255,180.723,45.399,5320,0,241,153.345,53.210,5320,0,255,178.992,60.240
G23,5320,46,255,203.235,41.738,5320,40,253,197.801,45.129,5320,40,255,205.986,49.504
G24,5320,189,255,243.214,12.978,5320,96,232,193.141,25.249,5320,96,232,193.409,25.436
G25,5320,61,255,228.355,35.167,5320,26,185,97.990,37.362,5320,26,185,97.990,37.362
G26,5320,54,255,172.401,41.815,5320,22,109,45.618,14.499,5320,22,109,45.618,14.499
G27,5320,0,236,123.660,59.830,5320,0,236,123.660,59.830,5320,87,255,235.040,28.109
G28,5320,124,233,185.111,22.730,5320,124,233,185.111,22.730,5320,184,255,241.720,13.084
G29,5320,64,174,114.972,22.931,5320,64,174,114.972,22.931,5320,101,255,200.541,33.525
G30,5320,61,201,130.518,33.872,5320,61,201,130.518,33.872,5320,99,255,198.098,36.668
G31,5320,150,255,206.966,16.224,5320,150,247,206.191,15.090,5320,187,255,236.878,17.947
G32,5320,46,255,199.441,43.255,5320,32,239,164.613,40.954,5320,32,239,166.801,41.423
G33,5320,59,255,225.294,38.213,5320,38,225,187.142,29.699,5320,38,255,200.859,31.096
G34,5320,55,255,198.688,47.504,5320,30,183,113.430,31.013,5320,30,183,113.430,31.013
G35,5320,57,255,185.738,59.889,5320,0,135,65.750,31.955,5320,0,135,65.750,31.955
G36,5320,0,115,34.286,29.181,5320,0,115,34.286,29.181,5320,100,255,217.019,34.422
G37,5320,31,212,126.541,61.519,5320,31,212,126.541,61.519,5320,122,255,221.295,29.923
G38,5320,105,228,190.920,31.326,5320,105,228,190.919,31.325,5320,151,255,233.547,26.767
G39,5320,141,246,207.769,21.690,5320,141,245,207.456,21.814,5320,152,255,233.351,24.129
G40,5320,0,218,124.201,68.745,5320,0,204,123.879,68.399,5320,35,253,181.019,33.540
G41,5320,0,255,80.170,96.061,5320,0,222,66.115,78.437,5320,33,255,178.706,44.983
G42,5320,43,255,183.496,58.995,5320,30,202,99.903,38.175,5320,30,255,105.965,46.644
G43,5320,58,255,191.140,32.520,5320,0,106,61.815,24.911,5320,0,106,61.815,24.911
G44,5320,38,255,163.228,50.872,5320,0,156,51.718,42.381,5320,0,156,51.786,42.412
G45,5320,7,146,75.920,46.871,5320,7,146,75.920,46.871,5320,46,255,175.174,54.152
G46,5320,59,210,144.949,34.492,5320,59,210,144.949,34.492,5320,141,255,225.774,20.004
G47,5320,146,255,215.262,26.786,5320,142,234,197.909,22.352,5320,142,255,210.958,29.075
G48,5320,168,255,236.331,22.050,5320,123,234,170.038,19.907,5320,123,241,170.200,20.323
G49,5320,0,255,197.042,59.851,5320,0,227,174.948,47.352,5320,81,227,193.359,21.471
G50,5320,0,255,146.868,78.086,5320,0,246,143.577,74.284,5320,44,255,195.056,48.782
G51,5320,182,255,237.288,15.460,5320,103,248,166.366,35.183,5320,103,255,167.780,37.789
G52,5320,55,255,203.945,46.122,5320,13,194,70.689,37.898,5320,13,217,71.855,40.776
G53,5320,38,223,189.251,39.492,5320,27,223,184.879,47.437,5320,27,255,215.817,60.576
G54,5320,0,146,93.734,46.942,5320,0,146,93.734,46.942,5320,80,255,215.731,37.901
G55,5320,0,248,148.943,66.282,5320,0,244,148.783,66.069,5320,133,255,228.945,23.069
G56,5320,48,255,241.846,23.383,5320,42,247,209.503,30.519,5320,42,255,216.759,36.245
G57,5320,35,255,197.990,53.648,5320,25,202,135.439,35.580,5320,25,202,135.510,35.664
G58,5320,168,255,215.909,19.784,5320,168,249,209.065,14.927,5320,178,255,224.848,17.522
G59,5320,57,255,214.326,23.342,5320,57,243,209.742,19.395,5320,61,255,238.798,24.382
G60,5320,44,248,175.062,46.322,5320,28,246,154.269,46.055,5320,28,255,157.223,49.141
G61,5320,35,255,199.812,53.770,5320,14,251,174.321,63.610,5320,14,251,176.049,63.983
G62,5320,182,255,218.252,13.153,5320,182,253,218.164,12.950,5320,213,255,252.259,6.202
G63,5320,1,255,112.213,64.757,5320,1,242,111.052,63.079,5320,56,255,186.563,38.140
