Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,199,255,245.835,9.667,5320,103,248,193.248,33.835,5320,103,251,193.392,34.049
G2,5320,158,255,215.188,30.780,5320,158,254,212.672,28.299,5320,163,255,231.207,20.492
G3,5320,143,255,226.474,25.895,5320,136,248,213.357,22.646,5320,136,255,233.219,21.948
G4,5320,69,197,139.726,32.203,5320,69,197,139.726,32.203,5320,145,255,214.213,30.188
G5,5320,0,125,45.952,38.537,5320,0,125,45.952,38.537,5320,16,255,166.213,43.586
G6,5320,0,112,16.928,27.090,5320,0,112,16.928,27.090,5320,46,255,218.808,31.736
G7,5320,22,227,117.594,37.250,5320,22,226,112.911,37.376,5320,54,242,171.445,53.185
G8,5320,52,255,203.392,50.460,5320,45,164,123.261,16.764,5320,45,173,124.942,16.652
G9,5320,63,255,178.197,54.071,5320,39,223,119.950,48.754,5320,39,230,121.218,50.556
G10,5320,79,254,197.943,48.904,5320,79,254,197.341,48.415,5320,83,255,208.142,48.736
G11,5320,142,247,202.831,16.467,5320,142,246,202.824,16.449,5320,166,255,238.566,18.275
G12,5320,0,203,97.379,67.377,5320,0,203,97.379,67.377,5320,9,255,176.075,54.704
G13,5320,0,100,17.123,26.772,5320,0,100,17.123,26.772,5320,66,255,226.093,31.003
G14,5320,0,194,74.942,57.789,5320,0,194,74.942,57.789,5320,63,255,199.280,31.961
G15,5320,115,233,194.501,22.775,5320,68,231,187.496,30.923,5320,68,255,219.292,38.503
G16,5320,165,255,229.281,22.963,5320,84,247,167.578,38.146,5320,84,255,170.149,42.326
G17,5320,51,255,186.625,51.703,5320,31,232,119.220,37.373,5320,31,232,119.837,38.100
G18,5320,0,206,135.132,58.262,5320,0,206,135.130,58.264,5320,46,255,185.168,46.491
G19,5320,102,206,155.386,25.116,5320,102,206,155.386,25.116,5320,106,255,198.005,29.012
G20,5320,112,227,186.369,22.443,5320,109,227,185.902,22.676,5320,110,243,198.663,22.392
G21,5320,7,226,161.655,43.659,5320,7,226,161.548,43.705,5320,51,254,200.645,44.835
G22,5320,15,153,89.670,25.988,5320,15,153,89.670,25.988,5320,54,243,168.304,37.121
G23,5320,93,169,141.124,17.495,5320,93,169,141.124,17.495,5320,168,255,231.380,22.294
