Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,191,255,240.719,12.061,5320,96,237,181.295,30.706,5320,96,237,181.295,30.706
G2,5320,167,255,223.123,28.201,5320,159,249,211.714,20.639,5320,159,255,224.269,19.360
G3,5320,181,255,233.846,20.708,5320,149,248,217.925,19.492,5320,149,255,233.360,22.245
G4,5320,68,212,149.876,37.234,5320,68,212,149.876,37.234,5320,115,255,212.233,40.430
G5,5320,0,133,43.180,41.008,5320,0,133,43.180,41.008,5320,33,255,164.068,51.460
G6,5320,0,153,35.535,41.141,5320,0,153,35.535,41.141,5320,52,255,220.128,31.240
G7,5320,32,238,134.675,36.983,5320,32,230,127.017,38.798,5320,48,244,166.830,53.743
G8,5320,39,255,213.595,47.163,5320,35,163,111.167,14.634,5320,35,164,111.437,14.821
G9,5320,56,255,179.312,52.993,5320,32,244,125.762,53.641,5320,32,244,127.606,55.976
G10,5320,83,255,205.573,49.186,5320,82,249,196.573,46.327,5320,82,250,197.219,45.826
G11,5320,158,255,220.120,18.600,5320,158,251,218.579,17.199,5320,179,255,238.359,17.983
G12,5320,7,217,123.779,60.440,5320,7,217,123.779,60.440,5320,21,255,175.892,56.379
G13,5320,0,142,32.069,37.355,5320,0,142,32.069,37.355,5320,57,255,206.077,33.753
G14,5320,0,226,86.937,74.795,5320,0,226,86.937,74.795,5320,21,255,206.334,34.509
G15,5320,156,255,215.692,24.960,5320,77,252,202.035,40.138,5320,77,255,211.108,42.250
G16,5320,160,255,230.920,23.874,5320,86,241,150.323,38.605,5320,86,245,150.342,38.649
G17,5320,57,255,181.351,54.528,5320,35,205,111.760,35.118,5320,35,205,112.400,35.931
G18,5320,0,218,146.654,62.543,5320,0,218,146.464,62.617,5320,47,255,186.692,44.243
G19,5320,83,227,174.363,26.258,5320,83,227,174.332,26.275,5320,88,255,199.635,31.147
G20,5320,91,255,199.384,39.122,5320,86,250,194.893,36.683,5320,86,251,202.155,35.394
G21,5320,25,255,194.993,47.894,5320,25,249,192.997,45.926,5320,51,255,214.666,37.070
G22,5320,15,255,119.502,57.575,5320,15,246,119.086,56.754,5320,47,249,147.669,49.139
G23,5320,7,218,140.736,49.941,5320,7,216,140.733,49.937,5320,21,255,199.895,56.384
G24,5320,179,255,227.681,14.758,5320,179,250,225.677,12.880,5320,204,255,245.190,10.954
G25,5320,97,255,231.823,24.612,5320,80,251,212.410,31.657,5320,80,255,213.465,32.659
G26,5320,55,255,168.749,46.058,5320,42,205,101.535,37.181,5320,42,205,101.535,37.181
