Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,168,255,241.102,16.045,5320,57,197,148.797,33.122,5320,57,197,148.797,33.122
G2,5320,159,255,235.447,23.893,5320,123,250,191.105,25.123,5320,123,255,194.356,30.141
G3,5320,142,255,239.406,16.102,5320,70,253,206.219,33.949,5320,70,255,212.433,38.860
G4,5320,6,231,167.271,37.642,5320,6,231,167.270,37.642,5320,51,255,239.292,28.961
G5,5320,0,139,19.959,37.849,5320,0,139,19.959,37.849,5320,34,255,157.523,56.763
G6,5320,0,88,7.034,11.350,5320,0,88,7.034,11.350,5320,60,255,186.870,42.476
G7,5320,0,237,90.033,65.918,5320,0,207,83.708,55.413,5320,43,224,168.816,39.751
G8,5320,42,255,231.459,36.385,5320,42,170,134.728,17.767,5320,57,170,135.245,16.302
G9,5320,30,255,169.943,54.098,5320,30,205,115.714,38.423,5320,32,218,119.448,40.135
G10,5320,85,255,210.489,44.425,5320,66,210,167.438,32.196,5320,66,210,167.499,32.180
G11,5320,154,255,220.298,22.216,5320,127,247,206.943,23.036,5320,127,255,219.639,28.335
G12,5320,8,222,134.173,67.299,5320,8,222,134.173,67.298,5320,38,255,187.737,64.923
G13,5320,0,231,66.327,64.507,5320,0,231,66.299,64.441,5320,78,255,231.645,39.135
G14,5320,2,229,111.288,74.999,5320,2,226,111.184,74.864,5320,133,255,226.263,32.339
G15,5320,103,245,219.470,17.304,5320,103,244,211.458,24.419,5320,138,255,229.476,30.801
G16,5320,173,255,231.156,20.567,5320,128,251,174.217,35.133,5320,128,253,174.528,35.694
G17,5320,52,255,183.612,47.901,5320,25,226,127.149,41.901,5320,25,226,127.236,41.936
G18,5320,41,253,190.436,43.669,5320,32,252,184.501,45.034,5320,32,255,210.695,43.590
G19,5320,101,239,183.176,28.610,5320,96,237,181.138,28.671,5320,96,255,210.026,35.938
G20,5320,99,241,180.269,28.940,5320,99,240,180.221,28.869,5320,116,255,199.121,29.703
G21,5320,85,246,189.830,35.983,5320,85,246,189.803,35.947,5320,132,255,214.170,25.950
G22,5320,52,255,168.046,56.749,5320,52,238,157.030,49.420,5320,59,255,171.706,52.085
G23,5320,146,255,220.674,22.349,5320,144,246,212.593,17.004,5320,147,255,229.756,21.796
G24,5320,203,241,223.631,6.834,5320,203,241,223.631,6.834,5320,233,255,252.417,5.000
G25,5320,59,255,224.137,33.887,5320,55,253,216.606,35.215,5320,55,255,222.282,37.814
G26,5320,62,255,181.146,51.653,5320,45,226,137.210,45.397,5320,45,226,137.210,45.397
G27,5320,14,207,130.216,31.753,5320,14,207,130.216,31.753,5320,86,255,220.408,27.352
G28,5320,109,239,181.396,29.482,5320,109,236,181.337,29.386,5320,153,255,218.861,25.212
G29,5320,91,237,172.906,35.439,5320,91,236,172.540,35.304,5320,96,255,191.271,42.751
G30,5320,128,250,206.032,32.953,5320,128,243,202.577,31.005,5320,141,255,215.560,34.160
G31,5320,52,254,165.960,66.654,5320,52,231,150.144,54.998,5320,59,231,153.822,51.660
G32,5320,59,220,148.216,41.747,5320,59,219,147.450,41.988,5320,64,246,166.580,44.612
G33,5320,165,255,234.975,17.509,5320,130,246,209.832,26.009,5320,130,255,218.393,31.793
G34,5320,68,247,204.206,29.469,5320,66,229,185.324,30.235,5320,67,232,187.293,31.262
G35,5320,64,255,198.431,51.223,5320,42,237,165.994,62.849,5320,42,237,165.994,62.849
G36,5320,42,244,165.317,37.440,5320,42,244,165.317,37.440,5320,73,255,224.426,37.692
