Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,160,255,245.640,17.665,5320,0,177,75.979,48.254,5320,0,177,75.979,48.254
G2,5320,36,255,144.049,54.773,5320,36,211,113.252,32.966,5320,51,250,136.639,34.555
G3,5320,17,255,121.403,57.831,5320,17,192,106.707,43.848,5320,31,211,127.028,37.175
G4,5320,0,90,36.599,21.456,5320,0,90,36.599,21.456,5320,32,238,180.219,38.237
G5,5320,0,70,20.433,21.744,5320,0,70,20.433,21.744,5320,160,255,235.080,20.359
G6,5320,0,152,70.690,29.943,5320,0,152,70.690,29.943,5320,68,255,156.293,44.700
G7,5320,10,255,145.512,53.875,5320,10,213,136.804,40.367,5320,14,255,177.992,41.940
G8,5320,29,255,171.308,73.609,5320,29,203,132.572,44.027,5320,54,203,139.832,36.476
G9,5320,24,163,92.912,31.040,5320,24,163,92.912,31.040,5320,64,255,211.659,44.858
G10,5320,75,255,194.161,54.451,5320,62,233,155.860,34.278,5320,62,233,161.799,31.844
G11,5320,46,215,135.244,42.038,5320,46,215,132.907,40.659,5320,100,255,232.438,33.673
G12,5320,0,89,29.395,26.910,5320,0,89,29.395,26.910,5320,58,255,206.637,39.552
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,56,255,208.865,58.149
G14,5320,0,105,10.126,19.604,5320,0,105,10.126,19.604,5320,84,255,214.176,39.666
G15,5320,19,255,169.014,71.108,5320,19,235,155.227,58.963,5320,62,255,211.559,42.363
G16,5320,51,255,234.640,34.852,5320,51,228,182.132,25.303,5320,57,228,182.224,24.892
G17,5320,28,246,110.181,48.821,5320,28,233,108.002,45.045,5320,49,255,169.200,60.353
G18,5320,0,138,65.526,29.898,5320,0,138,65.526,29.898,5320,84,247,208.215,23.787
G19,5320,0,160,117.803,29.278,5320,0,160,117.742,29.288,5320,67,255,192.233,46.779
G20,5320,0,94,18.264,24.996,5320,0,94,18.269,24.996,5320,46,255,184.470,58.742
G21,5320,0,44,1.967,5.484,5320,0,44,1.967,5.484,5320,85,255,216.025,40.913
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,64,255,183.501,54.456
G23,5320,0,16,0.023,0.451,5320,0,16,0.023,0.451,5320,59,255,217.329,50.875
G24,5320,0,219,67.596,69.076,5320,0,219,67.448,68.778,5320,194,255,249.417,8.726
G25,5320,42,255,195.490,46.375,5320,42,254,192.558,44.371,5320,49,255,222.284,34.907
G26,5320,68,255,173.957,41.774,5320,67,253,164.644,40.807,5320,67,253,165.754,39.914
G27,5320,32,119,90.494,14.246,5320,32,119,90.494,14.246,5320,124,255,249.932,12.008
G28,5320,0,132,75.627,27.599,5320,0,132,75.627,27.599,5320,65,255,213.717,40.409
G29,5320,0,79,8.627,17.680,5320,0,79,8.627,17.680,5320,56,255,188.922,56.253
G30,5320,0,7,0.048,0.429,5320,0,7,0.048,0.429,5320,87,255,206.605,41.822
G31,5320,0,177,43.417,58.263,5320,0,177,43.417,58.263,5320,126,255,208.798,36.700
G32,5320,0,184,44.420,55.909,5320,0,184,44.420,55.909,5320,53,255,185.984,57.089
G33,5320,0,146,64.808,41.172,5320,0,146,64.728,41.159,5320,41,255,225.458,47.072
G34,5320,39,255,168.458,68.987,5320,39,253,157.578,59.120,5320,50,254,187.131,43.849
G35,5320,61,255,159.133,57.190,5320,61,243,150.458,52.248,5320,64,255,153.709,53.368
G36,5320,0,136,67.050,51.309,5320,0,136,67.050,51.309,5320,31,255,233.354,27.733
G37,5320,76,255,145.006,47.803,5320,76,235,140.740,41.409,5320,139,255,217.689,20.262
G38,5320,9,255,159.740,54.574,5320,9,240,154.104,48.690,5320,139,255,235.327,23.241
G39,5320,0,178,63.838,56.126,5320,0,178,63.824,56.102,5320,126,255,183.560,33.491
G40,5320,0,245,152.162,75.698,5320,0,241,149.808,73.756,5320,149,255,221.774,23.829
G41,5320,21,255,105.916,63.244,5320,21,194,98.075,52.866,5320,58,250,150.569,32.669
G42,5320,20,246,150.063,68.232,5320,20,245,148.307,68.245,5320,40,255,177.558,67.999
G43,5320,61,255,171.128,59.913,5320,42,192,120.241,39.423,5320,42,192,120.276,39.423
G44,5320,52,255,160.630,57.459,5320,38,241,128.480,51.246,5320,38,255,129.518,52.754
G45,5320,0,242,139.385,67.501,5320,0,232,138.965,67.022,5320,42,253,185.734,51.196
G46,5320,93,255,232.931,23.291,5320,76,238,159.800,39.499,5320,76,241,164.682,43.472
