Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,190,255,247.087,9.620,5320,0,178,77.929,41.198,5320,0,178,77.929,41.198
G2,5320,53,255,185.624,53.976,5320,52,190,124.281,27.577,5320,53,232,129.835,37.070
G3,5320,29,254,135.817,50.867,5320,29,174,110.178,33.642,5320,35,207,116.721,33.796
G4,5320,5,255,157.950,65.905,5320,5,240,137.829,55.944,5320,41,255,156.070,45.800
G5,5320,0,255,111.348,73.993,5320,0,242,104.903,65.873,5320,58,255,186.566,44.382
G6,5320,0,181,84.877,29.595,5320,0,181,84.877,29.595,5320,76,250,149.011,38.217
G7,5320,36,255,164.611,54.413,5320,36,232,156.983,44.855,5320,45,255,185.960,45.358
G8,5320,20,255,151.886,74.686,5320,20,213,130.099,53.022,5320,45,213,143.124,41.768
G9,5320,6,141,53.996,40.158,5320,6,141,53.996,40.158,5320,64,255,211.745,40.103
G10,5320,49,255,185.207,58.542,5320,31,218,140.718,33.475,5320,31,218,152.302,34.058
G11,5320,15,225,122.639,41.222,5320,15,189,115.330,37.483,5320,58,250,195.611,44.943
G12,5320,0,131,30.944,30.013,5320,0,131,30.944,30.013,5320,65,251,193.318,44.008
G13,5320,0,10,0.085,0.489,5320,0,10,0.085,0.489,5320,60,236,162.775,45.620
G14,5320,0,125,12.150,22.377,5320,0,125,12.150,22.377,5320,65,255,178.897,46.036
G15,5320,0,255,150.642,78.182,5320,0,249,146.421,73.544,5320,49,255,227.485,38.963
G16,5320,38,255,220.062,47.071,5320,38,251,204.215,41.791,5320,67,255,209.630,40.516
G17,5320,10,224,69.367,56.299,5320,10,224,69.353,56.279,5320,55,255,167.658,59.344
G18,5320,3,118,44.747,28.226,5320,3,118,44.747,28.226,5320,85,239,208.584,21.802
G19,5320,0,176,90.034,38.940,5320,0,176,90.027,38.937,5320,85,255,206.259,36.438
G20,5320,0,65,7.700,14.063,5320,0,65,7.700,14.063,5320,58,255,194.920,42.960
G21,5320,0,19,0.945,3.045,5320,0,19,0.945,3.045,5320,56,255,206.815,45.755
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,52,255,199.247,43.614
G23,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,156,255,223.404,23.949
G24,5320,0,176,24.904,44.790,5320,0,176,24.904,44.790,5320,213,255,250.643,7.603
G25,5320,5,222,130.442,53.895,5320,5,222,130.442,53.895,5320,55,255,218.402,37.468
G26,5320,50,221,147.646,32.793,5320,50,221,147.638,32.786,5320,64,255,172.039,38.011
G27,5320,0,68,41.530,9.303,5320,0,68,41.530,9.303,5320,123,255,249.999,11.923
G28,5320,0,42,14.570,12.443,5320,0,42,14.570,12.443,5320,65,255,210.867,35.679
G29,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,52,255,176.829,52.341
G30,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,164,255,230.997,18.947
G31,5320,0,7,0.067,0.492,5320,0,7,0.067,0.492,5320,83,255,192.912,39.285
G32,5320,0,47,3.759,9.172,5320,0,47,3.759,9.172,5320,87,226,172.697,33.770
G33,5320,0,85,12.714,17.362,5320,0,85,12.714,17.362,5320,40,255,211.079,48.310
G34,5320,0,255,122.115,87.739,5320,0,248,120.901,86.219,5320,54,255,198.811,48.619
G35,5320,47,255,140.221,53.891,5320,47,251,139.488,52.864,5320,57,255,160.657,55.928
G36,5320,0,86,22.300,21.372,5320,0,80,22.279,21.332,5320,38,255,231.167,29.284
G37,5320,0,42,23.048,9.351,5320,0,42,23.048,9.351,5320,124,255,208.072,31.871
G38,5320,0,26,3.257,6.282,5320,0,26,3.257,6.282,5320,88,255,220.442,42.615
G39,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,139,255,232.617,28.204
G40,5320,0,13,0.487,1.927,5320,0,13,0.487,1.927,5320,97,255,219.398,31.334
G41,5320,0,62,12.287,18.983,5320,0,62,12.287,18.983,5320,135,255,229.309,26.057
G42,5320,0,208,112.366,65.054,5320,0,208,112.303,65.017,5320,32,255,176.317,64.055
G43,5320,60,255,174.680,62.781,5320,48,239,151.147,53.491,5320,48,239,152.010,53.295
G44,5320,42,255,144.497,54.414,5320,42,236,127.730,48.063,5320,47,249,140.015,54.227
G45,5320,0,126,59.608,35.850,5320,0,126,59.608,35.850,5320,43,255,189.773,57.824
G46,5320,11,54,25.774,10.475,5320,11,54,25.774,10.475,5320,136,255,233.615,18.233
G47,5320,0,24,3.975,5.715,5320,0,24,3.975,5.715,5320,167,255,232.746,19.672
G48,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,93,255,237.307,14.229
G49,5320,0,54,0.911,5.387,5320,0,54,0.911,5.387,5320,44,255,195.229,47.990
G50,5320,0,253,24.505,51.968,5320,0,218,23.762,49.433,5320,51,255,190.134,56.005
G51,5320,0,255,192.529,55.976,5320,0,217,154.244,37.401,5320,68,255,173.916,34.838
G52,5320,77,255,224.146,32.175,5320,63,198,159.889,22.155,5320,63,198,159.889,22.154
G53,5320,81,255,200.804,37.602,5320,74,203,141.077,34.083,5320,74,203,141.079,34.079
G54,5320,33,149,88.399,29.133,5320,33,149,88.399,29.133,5320,77,255,219.111,29.844
G55,5320,22,98,58.672,13.618,5320,22,98,58.672,13.618,5320,143,255,231.305,28.055
G56,5320,0,61,23.904,19.200,5320,0,61,23.904,19.200,5320,178,255,235.216,20.631
G57,5320,0,31,0.366,2.583,5320,0,31,0.366,2.583,5320,86,255,216.744,33.856
G58,5320,0,214,99.896,65.651,5320,0,214,99.896,65.651,5320,82,255,215.759,46.086
G59,5320,53,255,219.852,40.137,5320,53,240,198.417,32.731,5320,80,255,210.095,29.427
G60,5320,36,255,190.037,54.067,5320,23,234,137.516,42.709,5320,23,234,137.637,42.714
G61,5320,53,255,187.372,52.877,5320,36,235,156.708,58.711,5320,36,235,156.790,58.776
G62,5320,55,224,149.021,38.233,5320,43,218,142.207,46.180,5320,43,255,177.113,69.636
G63,5320,32,131,91.564,18.016,5320,32,131,91.564,18.016,5320,73,255,219.980,39.217
G64,5320,2,98,38.563,29.889,5320,2,98,38.563,29.889,5320,124,255,210.471,37.851
G65,5320,0,23,8.558,6.983,5320,0,23,8.558,6.983,5320,109,255,227.969,33.393
G66,5320,0,163,33.776,31.584,5320,0,163,33.776,31.584,5320,180,255,234.844,16.887
G67,5320,34,209,112.488,30.217,5320,34,209,112.446,30.150,5320,70,255,215.627,37.236
G68,5320,115,250,187.579,37.769,5320,115,247,186.199,36.079,5320,151,255,218.403,21.767
G69,5320,126,255,227.535,18.923,5320,112,251,213.353,18.864,5320,112,252,214.137,19.649
G70,5320,15,255,173.402,54.250,5320,15,251,167.039,54.588,5320,36,255,192.977,57.759
G71,5320,19,227,69.503,48.434,5320,19,210,68.724,46.496,5320,63,255,189.498,46.222
G72,5320,0,93,20.965,22.824,5320,0,93,20.965,22.824,5320,208,255,246.000,12.417
G73,5320,0,8,0.410,1.115,5320,0,8,0.410,1.115,5320,199,255,240.784,12.367
G74,5320,0,34,0.609,3.051,5320,0,34,0.609,3.051,5320,72,255,203.922,34.069
G75,5320,0,112,42.369,23.787,5320,0,112,42.369,23.787,5320,58,255,186.192,40.965
G76,5320,50,210,114.775,25.789,5320,50,210,114.775,25.789,5320,134,247,198.852,21.535
G77,5320,120,255,218.762,25.975,5320,107,254,215.863,27.119,5320,107,255,228.862,27.952
G78,5320,0,66,33.110,15.765,5320,0,66,33.110,15.765,5320,117,255,204.067,25.934
G79,5320,0,17,0.883,2.127,5320,0,17,0.883,2.127,5320,145,255,231.864,26.248
G80,5320,0,18,0.627,2.301,5320,0,18,0.627,2.301,5320,183,255,231.243,18.211
G81,5320,0,23,1.279,3.273,5320,0,23,1.279,3.273,5320,108,255,213.337,26.999
G82,5320,0,90,40.823,25.352,5320,0,90,40.823,25.352,5320,121,255,218.859,30.415
G83,5320,0,193,44.466,42.410,5320,0,193,44.466,42.410,5320,138,255,218.256,31.400
G84,5320,58,218,163.066,35.798,5320,58,218,154.776,32.203,5320,65,255,191.705,39.584
G85,5320,0,88,41.542,22.415,5320,0,88,41.542,22.415,5320,82,255,204.333,34.621
G86,5320,0,49,4.430,7.647,5320,0,49,4.430,7.647,5320,96,255,194.415,40.276
G87,5320,0,76,25.927,17.255,5320,0,76,25.927,17.255,5320,135,255,234.129,26.607
G88,5320,0,56,3.917,9.484,5320,0,56,3.917,9.484,5320,78,255,227.513,27.832
G89,5320,0,44,3.072,8.754,5320,0,44,3.072,8.754,5320,98,255,204.433,36.058
G90,5320,0,53,3.261,7.912,5320,0,53,3.261,7.912,5320,208,255,241.811,9.592
G91,5320,14,202,121.620,42.594,5320,14,196,120.939,41.662,5320,49,255,208.597,49.264
G92,5320,105,223,162.358,30.570,5320,105,221,162.214,30.338,5320,133,255,197.559,32.116
G93,5320,84,210,138.581,21.511,5320,84,210,138.581,21.511,5320,117,255,226.998,24.368
G94,5320,63,178,113.554,19.299,5320,63,178,113.554,19.299,5320,96,248,178.648,30.130
G95,5320,66,190,127.343,35.676,5320,66,190,127.343,35.676,5320,82,255,172.066,50.655
G96,5320,3,255,113.187,46.729,5320,3,208,111.783,43.624,5320,121,255,233.348,24.932
G97,5320,64,157,104.537,16.745,5320,64,157,104.537,16.745,5320,125,255,222.566,24.874
G98,5320,21,230,155.974,39.709,5320,21,229,144.314,36.425,5320,31,255,217.891,46.400
G99,5320,12,240,138.100,62.472,5320,0,240,106.440,76.996,5320,0,244,134.058,79.425
G100,5320,14,220,85.983,47.714,5320,14,220,85.936,47.724,5320,35,255,175.442,61.847
