Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,249.515,7.399,5320,0,174,81.921,42.852,5320,0,174,81.921,42.852
G2,5320,42,255,169.260,62.096,5320,42,203,120.785,28.050,5320,59,203,131.833,26.229
G3,5320,26,226,130.161,49.624,5320,26,178,110.764,35.486,5320,37,204,123.860,34.721
G4,5320,5,158,99.020,36.000,5320,5,158,99.020,36.000,5320,34,254,166.475,54.373
G5,5320,0,239,82.987,64.878,5320,0,200,68.765,47.397,5320,12,254,162.740,61.961
G6,5320,0,211,117.245,46.737,5320,0,178,112.739,42.467,5320,62,255,177.853,57.105
G7,5320,43,255,171.322,56.377,5320,43,181,134.945,33.210,5320,52,229,146.154,35.078
G8,5320,28,255,173.111,70.853,5320,28,181,128.065,36.464,5320,49,202,134.833,31.703
G9,5320,22,161,75.870,42.524,5320,22,161,75.870,42.524,5320,64,255,197.632,50.028
G10,5320,53,255,184.872,58.428,5320,38,201,143.060,32.232,5320,38,217,154.019,30.845
G11,5320,58,220,127.487,36.935,5320,55,200,122.213,34.973,5320,55,249,189.308,37.925
G12,5320,0,96,22.658,27.113,5320,0,96,22.658,27.113,5320,48,250,144.922,52.388
G13,5320,0,100,6.189,16.860,5320,0,100,6.189,16.860,5320,49,255,184.356,45.138
G14,5320,0,188,39.522,54.575,5320,0,181,39.447,54.385,5320,174,255,233.375,19.291
G15,5320,26,255,184.935,41.293,5320,26,228,171.429,35.265,5320,129,255,212.433,38.129
G16,5320,58,255,230.657,37.810,5320,58,250,188.557,32.369,5320,68,250,188.824,31.998
G17,5320,27,251,97.107,54.066,5320,27,244,95.867,51.996,5320,49,255,165.748,54.190
G18,5320,0,107,32.594,24.686,5320,0,107,32.594,24.686,5320,86,243,202.549,24.439
G19,5320,0,173,95.994,36.497,5320,0,173,95.994,36.497,5320,102,255,208.731,38.709
G20,5320,0,88,18.622,25.713,5320,0,88,18.622,25.713,5320,109,255,222.491,31.766
G21,5320,0,61,3.490,10.128,5320,0,61,3.490,10.128,5320,35,255,184.208,49.523
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,94,255,213.341,38.028
G23,5320,0,22,0.386,1.461,5320,0,22,0.386,1.461,5320,104,255,215.732,30.949
G24,5320,0,220,91.244,70.541,5320,0,220,91.163,70.409,5320,193,255,247.482,10.943
G25,5320,45,255,193.466,41.343,5320,45,253,192.584,40.578,5320,53,255,221.933,37.581
G26,5320,55,253,169.733,37.434,5320,55,252,165.421,37.894,5320,58,255,168.677,36.895
G27,5320,0,69,33.587,12.809,5320,0,69,33.587,12.809,5320,131,255,249.268,13.842
G28,5320,0,55,8.493,8.367,5320,0,55,8.493,8.367,5320,85,255,219.672,33.379
G29,5320,0,1,3.759E-4,0.019,5320,0,1,3.759E-4,0.019,5320,97,255,239.638,22.943
G30,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,113,255,209.339,40.642
G31,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,78,255,199.434,48.121
G32,5320,0,10,0.673,1.560,5320,0,10,0.673,1.560,5320,178,255,225.172,19.300
G33,5320,0,129,53.733,42.264,5320,0,129,53.680,42.238,5320,38,255,219.300,47.993
G34,5320,34,255,165.660,68.316,5320,34,251,156.716,59.761,5320,42,255,188.055,47.733
G35,5320,61,255,162.090,55.758,5320,61,245,154.601,51.167,5320,65,255,159.427,53.523
G36,5320,0,69,25.202,23.883,5320,0,69,25.193,23.871,5320,31,255,231.732,30.518
G37,5320,1,82,37.942,19.999,5320,1,82,37.942,19.999,5320,141,255,221.460,22.628
G38,5320,0,82,30.573,24.121,5320,0,82,30.573,24.121,5320,149,255,228.061,25.199
G39,5320,0,115,21.287,21.867,5320,0,115,21.287,21.867,5320,169,255,236.894,17.477
G40,5320,0,173,36.640,50.257,5320,0,173,36.640,50.257,5320,61,255,182.010,62.134
G41,5320,0,108,1.426,8.982,5320,0,108,1.426,8.982,5320,47,255,189.149,46.956
G42,5320,0,231,128.026,78.227,5320,0,231,127.261,77.914,5320,39,255,188.760,66.065
G43,5320,66,255,173.374,61.795,5320,46,199,125.086,42.076,5320,46,199,125.098,42.071
G44,5320,48,255,147.745,57.971,5320,37,225,118.699,46.130,5320,37,255,121.883,49.599
G45,5320,0,127,72.934,37.234,5320,0,127,72.934,37.234,5320,49,255,186.405,57.242
G46,5320,29,110,85.689,13.791,5320,29,110,85.689,13.791,5320,133,255,232.640,19.852
G47,5320,37,161,96.758,24.050,5320,37,161,96.758,24.050,5320,205,255,246.221,10.467
G48,5320,39,191,124.905,41.904,5320,39,191,124.905,41.904,5320,195,255,242.711,13.185
G49,5320,125,255,222.775,29.767,5320,110,249,201.820,29.175,5320,110,255,229.527,33.977
G50,5320,0,255,160.654,93.532,5320,0,202,72.142,48.944,5320,34,244,121.029,61.090
G51,5320,0,254,192.114,42.555,5320,0,233,136.049,45.843,5320,37,255,143.004,48.723
G52,5320,97,255,223.136,34.714,5320,69,173,143.007,20.589,5320,69,173,143.007,20.589
G53,5320,98,255,210.440,35.095,5320,60,194,133.845,30.346,5320,60,194,133.845,30.346
G54,5320,37,162,110.587,24.008,5320,37,162,110.587,24.008,5320,71,255,216.979,32.557
G55,5320,50,138,108.883,18.376,5320,50,138,108.883,18.376,5320,96,255,221.877,37.623
G56,5320,55,183,130.333,24.917,5320,55,183,130.333,24.917,5320,95,255,220.033,36.678
G57,5320,85,207,184.403,18.332,5320,85,207,184.403,18.332,5320,115,255,234.698,24.491
G58,5320,78,245,196.378,28.913,5320,78,218,172.573,30.497,5320,105,255,187.405,36.985
G59,5320,58,235,193.095,26.816,5320,41,220,98.451,31.764,5320,41,237,98.729,32.672
G60,5320,39,252,178.102,54.302,5320,24,214,109.013,41.766,5320,24,214,109.017,41.768
G61,5320,53,255,185.075,54.292,5320,33,213,140.350,53.634,5320,33,213,140.350,53.634
G62,5320,44,226,156.018,44.544,5320,27,226,143.518,53.529,5320,27,255,167.785,72.055
G63,5320,53,152,122.829,21.597,5320,53,152,122.829,21.597,5320,94,255,222.266,38.374
G64,5320,37,169,93.706,32.435,5320,37,169,93.706,32.435,5320,64,255,157.574,61.974
G65,5320,25,194,109.214,40.006,5320,25,194,109.214,40.006,5320,43,252,159.915,50.208
G66,5320,81,221,155.467,26.634,5320,81,221,155.467,26.634,5320,118,255,234.604,25.854
G67,5320,77,239,173.019,30.245,5320,73,239,172.032,30.298,5320,74,255,220.180,35.458
G68,5320,153,254,204.433,30.031,5320,143,252,196.866,24.757,5320,144,255,211.994,22.372
G69,5320,151,255,225.448,19.317,5320,134,244,195.807,20.031,5320,134,244,195.820,20.055
G70,5320,19,255,178.579,48.302,5320,19,248,169.227,48.455,5320,31,255,184.187,53.987
G71,5320,1,237,81.692,54.636,5320,1,228,79.339,50.060,5320,26,255,189.468,46.711
G72,5320,0,127,49.428,45.423,5320,0,127,49.428,45.423,5320,134,255,225.336,27.152
G73,5320,0,136,77.328,46.466,5320,0,136,77.328,46.466,5320,133,255,214.257,32.665
G74,5320,0,157,93.753,37.666,5320,0,157,93.753,37.666,5320,130,255,201.409,34.768
G75,5320,82,175,130.024,22.207,5320,82,175,130.024,22.207,5320,118,255,197.452,26.014
G76,5320,80,227,147.449,22.041,5320,80,223,147.415,21.950,5320,130,248,200.880,23.182
G77,5320,123,255,224.772,24.735,5320,107,252,219.081,25.671,5320,107,255,225.798,26.379
G78,5320,0,71,22.351,19.595,5320,0,71,22.351,19.595,5320,101,255,207.365,25.979
G79,5320,0,11,0.031,0.451,5320,0,11,0.031,0.451,5320,154,255,224.293,27.341
G80,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,153,255,224.599,25.522
G81,5320,0,84,11.748,17.706,5320,0,84,11.748,17.706,5320,180,255,228.576,19.288
