Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,187,255,248.191,8.526,5320,0,149,70.212,36.825,5320,0,149,70.212,36.825
G2,5320,59,255,191.495,62.498,5320,59,211,129.792,37.105,5320,73,212,139.252,36.381
G3,5320,26,255,132.591,53.155,5320,26,188,108.929,35.871,5320,35,207,120.234,35.485
G4,5320,0,128,68.077,31.836,5320,0,128,68.077,31.836,5320,40,255,150.461,55.876
G5,5320,0,129,65.496,39.328,5320,0,129,65.496,39.328,5320,119,255,223.187,23.065
G6,5320,5,236,110.354,36.498,5320,5,236,110.305,36.443,5320,79,255,153.698,43.763
G7,5320,44,255,174.699,49.575,5320,44,242,159.659,40.249,5320,53,255,164.775,42.971
G8,5320,30,255,174.452,70.418,5320,30,186,129.930,36.774,5320,47,218,136.545,35.063
G9,5320,13,183,71.052,52.431,5320,13,183,71.052,52.431,5320,55,255,198.457,52.888
G10,5320,44,255,183.438,60.174,5320,27,198,126.521,33.003,5320,27,207,132.607,34.457
G11,5320,27,231,135.649,57.361,5320,27,225,121.669,44.332,5320,54,255,167.320,43.999
G12,5320,0,110,17.267,24.861,5320,0,110,17.267,24.861,5320,27,236,143.696,43.372
G13,5320,0,4,0.020,0.221,5320,0,4,0.020,0.221,5320,27,255,228.259,39.952
G14,5320,0,120,22.029,31.039,5320,0,120,22.028,31.038,5320,100,255,218.680,33.921
G15,5320,37,255,179.853,59.031,5320,37,240,160.686,44.898,5320,61,255,203.500,47.722
G16,5320,58,255,234.761,38.893,5320,58,235,174.315,28.717,5320,61,235,174.404,28.395
G17,5320,26,254,95.777,51.647,5320,26,238,93.365,48.120,5320,55,255,156.867,52.985
G18,5320,22,147,74.991,27.395,5320,22,147,74.984,27.388,5320,82,250,207.692,25.213
G19,5320,0,177,108.043,39.594,5320,0,176,107.857,39.415,5320,102,255,207.195,35.771
G20,5320,0,81,10.978,19.706,5320,0,81,10.978,19.706,5320,84,255,204.678,30.323
G21,5320,0,22,0.129,1.000,5320,0,22,0.129,1.000,5320,108,255,218.587,39.886
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,35,255,175.450,60.182
G23,5320,0,33,0.291,2.066,5320,0,33,0.291,2.066,5320,144,255,231.945,24.689
G24,5320,0,230,74.985,73.273,5320,0,230,74.678,72.726,5320,177,255,246.995,11.399
G25,5320,48,255,193.855,49.548,5320,48,252,189.965,46.902,5320,54,255,216.916,38.874
G26,5320,58,255,170.489,38.825,5320,58,251,164.108,38.198,5320,60,251,165.941,36.941
G27,5320,35,115,87.309,12.198,5320,35,115,87.309,12.198,5320,125,255,248.873,14.987
G28,5320,0,94,54.942,32.446,5320,0,94,54.942,32.446,5320,70,255,216.526,33.971
G29,5320,0,1,3.759E-4,0.019,5320,0,1,3.759E-4,0.019,5320,74,255,228.951,27.693
G30,5320,0,11,0.179,0.939,5320,0,11,0.179,0.939,5320,75,255,199.962,57.253
G31,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,48,255,157.964,53.903
G32,5320,0,2,7.519E-4,0.034,5320,0,2,7.519E-4,0.034,5320,108,255,228.214,30.073
G33,5320,0,120,46.418,37.861,5320,0,120,46.354,37.807,5320,39,255,214.441,47.838
G34,5320,35,255,162.323,71.931,5320,35,251,152.477,62.808,5320,46,255,186.110,47.521
G35,5320,62,255,159.109,55.214,5320,61,239,151.593,50.548,5320,63,255,156.605,52.937
G36,5320,0,129,64.801,40.790,5320,0,129,64.774,40.758,5320,45,255,230.820,30.636
G37,5320,0,176,98.632,34.363,5320,0,176,98.632,34.363,5320,150,255,217.814,28.982
G38,5320,0,179,82.383,49.387,5320,0,179,82.383,49.387,5320,150,255,230.731,21.013
G39,5320,0,172,84.936,41.019,5320,0,172,84.936,41.019,5320,138,255,226.582,26.373
G40,5320,0,221,71.833,56.879,5320,0,221,71.833,56.879,5320,51,255,165.778,47.270
G41,5320,0,249,97.094,80.581,5320,0,248,96.699,80.124,5320,60,255,200.319,58.092
G42,5320,5,249,146.820,73.223,5320,5,246,145.370,72.823,5320,48,255,176.498,64.116
G43,5320,62,255,172.845,61.871,5320,41,194,120.848,41.634,5320,41,194,120.851,41.632
G44,5320,41,255,155.248,54.670,5320,40,226,122.750,47.198,5320,41,254,125.298,50.882
G45,5320,0,163,105.982,41.293,5320,0,163,105.982,41.293,5320,34,252,189.795,48.044
G46,5320,82,218,168.905,26.302,5320,82,218,168.905,26.302,5320,163,255,237.264,15.899
G47,5320,133,252,193.199,25.031,5320,133,250,193.136,24.891,5320,221,255,249.827,7.558
G48,5320,102,255,195.091,45.844,5320,102,249,188.064,40.102,5320,183,255,231.032,18.141
G49,5320,69,255,168.003,51.899,5320,38,235,139.261,56.319,5320,38,255,148.459,61.697
G50,5320,86,255,197.274,41.514,5320,39,245,119.470,59.215,5320,39,255,120.430,60.957
G51,5320,84,255,210.304,38.803,5320,23,246,97.228,60.602,5320,23,255,97.702,61.531
G52,5320,96,255,223.067,35.584,5320,55,153,117.483,21.053,5320,55,153,117.483,21.053
G53,5320,74,255,210.166,37.418,5320,57,196,122.854,35.123,5320,57,196,122.854,35.123
G54,5320,54,202,158.460,27.698,5320,54,202,158.460,27.698,5320,69,255,215.207,39.076
G55,5320,83,222,186.330,29.223,5320,83,222,186.318,29.248,5320,87,255,218.533,36.164
G56,5320,82,255,220.004,29.807,5320,56,254,190.366,48.970,5320,56,255,197.068,53.797
G57,5320,44,255,218.660,39.008,5320,0,241,124.322,62.748,5320,0,244,124.339,62.778
G58,5320,147,255,238.608,21.223,5320,27,196,114.529,41.774,5320,27,196,114.529,41.774
G59,5320,102,255,217.578,26.585,5320,12,118,52.006,23.972,5320,12,118,52.006,23.972
G60,5320,40,255,189.130,54.813,5320,0,183,48.704,49.788,5320,0,183,48.704,49.788
G61,5320,56,255,189.005,55.253,5320,23,195,121.108,54.035,5320,23,195,121.108,54.035
G62,5320,46,239,159.094,48.245,5320,27,239,143.185,60.156,5320,27,255,161.925,75.345
G63,5320,83,255,194.587,46.155,5320,83,253,192.111,43.693,5320,104,255,218.941,36.384
G64,5320,32,255,168.523,60.492,5320,22,248,130.353,55.817,5320,22,249,130.379,55.854
G65,5320,27,255,154.408,65.457,5320,0,182,101.732,50.638,5320,0,197,102.013,50.869
G66,5320,94,228,163.478,28.052,5320,51,195,112.155,30.056,5320,51,219,113.565,32.643
G67,5320,60,255,203.228,32.701,5320,40,226,121.383,31.928,5320,40,235,121.764,32.797
G68,5320,164,255,218.054,23.395,5320,96,243,187.218,31.709,5320,96,243,189.816,33.709
G69,5320,132,255,224.191,19.611,5320,112,234,177.817,20.635,5320,112,234,177.818,20.638
G70,5320,34,255,184.588,52.571,5320,34,246,172.277,51.862,5320,38,255,184.235,57.413
G71,5320,44,253,129.412,44.409,5320,44,253,129.385,44.364,5320,61,255,189.572,45.651
G72,5320,120,255,196.819,31.664,5320,97,252,181.956,28.056,5320,97,255,217.952,39.793
G73,5320,95,255,161.672,40.953,5320,95,217,149.687,21.813,5320,121,255,207.909,34.959
G74,5320,35,203,111.512,42.584,5320,35,199,110.044,40.588,5320,104,254,195.797,35.319
G75,5320,30,224,150.819,44.109,5320,30,211,143.947,37.831,5320,82,234,173.329,31.733
G76,5320,104,233,167.226,24.760,5320,104,222,167.046,24.414,5320,144,251,198.704,21.684
G77,5320,125,255,229.496,24.998,5320,108,251,218.322,25.474,5320,108,255,220.722,25.860
G78,5320,36,145,93.435,20.859,5320,36,145,93.435,20.859,5320,117,255,201.997,25.294
G79,5320,24,162,71.035,40.306,5320,24,162,71.035,40.306,5320,154,255,229.382,24.072
G80,5320,0,144,49.351,38.032,5320,0,144,49.355,38.030,5320,150,255,223.937,25.522
G81,5320,0,102,28.561,25.271,5320,0,102,28.561,25.271,5320,122,255,223.025,26.326
G82,5320,0,152,92.125,29.032,5320,0,152,92.125,29.032,5320,113,255,228.749,22.581
G83,5320,0,222,71.623,49.870,5320,0,222,71.623,49.870,5320,98,255,217.401,32.426
