Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,116,255,230.816,28.578,5320,0,200,61.725,60.462,5320,0,200,61.725,60.462
G2,5320,42,255,172.440,62.116,5320,0,197,94.873,39.685,5320,0,237,104.072,46.932
G3,5320,28,248,127.128,51.011,5320,0,164,95.735,34.156,5320,0,209,108.222,39.521
G4,5320,1,139,65.798,23.492,5320,1,139,65.798,23.492,5320,43,255,171.789,57.497
G5,5320,0,76,19.115,18.006,5320,0,76,19.115,18.006,5320,89,255,221.242,38.558
G6,5320,0,215,123.417,55.825,5320,0,191,114.982,48.292,5320,64,255,184.059,49.146
G7,5320,43,255,209.099,45.299,5320,42,203,150.740,27.754,5320,45,231,153.784,28.970
G8,5320,46,255,168.541,55.954,5320,46,199,136.216,29.465,5320,59,249,151.080,36.667
G9,5320,35,187,116.527,44.817,5320,35,187,116.527,44.817,5320,160,255,221.410,28.570
G10,5320,47,255,187.445,52.821,5320,39,242,162.426,40.099,5320,39,255,186.680,48.263
G11,5320,63,255,133.773,36.725,5320,53,198,124.309,27.706,5320,54,255,205.005,53.025
G12,5320,0,111,38.829,35.614,5320,0,111,38.829,35.614,5320,48,255,169.114,67.122
G13,5320,0,53,1.645,6.286,5320,0,53,1.645,6.286,5320,45,255,181.369,41.093
G14,5320,0,206,34.693,52.804,5320,0,191,34.450,52.151,5320,170,255,230.019,19.131
G15,5320,69,255,181.340,37.745,5320,69,231,172.179,35.462,5320,119,255,214.244,39.888
G16,5320,97,245,179.580,25.942,5320,97,223,172.579,25.795,5320,112,247,178.875,26.226
G17,5320,6,228,89.741,46.876,5320,6,228,89.728,46.864,5320,55,253,153.946,39.764
G18,5320,0,133,37.802,29.019,5320,0,133,37.802,29.019,5320,81,249,197.136,25.970
G19,5320,15,191,137.860,36.395,5320,15,191,137.860,36.395,5320,135,255,233.662,21.740
G20,5320,0,156,77.708,45.165,5320,0,156,77.708,45.165,5320,99,255,216.292,35.714
G21,5320,0,99,24.394,30.591,5320,0,99,24.394,30.591,5320,41,255,203.214,57.102
G22,5320,0,19,0.098,1.044,5320,0,19,0.098,1.044,5320,28,255,182.460,48.731
G23,5320,0,166,44.986,50.050,5320,0,166,44.986,50.050,5320,22,255,180.128,53.492
G24,5320,82,236,187.687,39.897,5320,82,236,187.686,39.896,5320,122,255,228.525,37.672
G25,5320,44,233,193.128,34.541,5320,44,233,193.125,34.541,5320,49,255,217.687,39.559
G26,5320,57,237,169.848,41.169,5320,57,237,169.241,41.170,5320,63,255,177.384,44.311
G27,5320,0,50,20.461,10.661,5320,0,50,20.461,10.661,5320,97,255,246.232,19.782
G28,5320,0,72,23.499,18.299,5320,0,72,23.499,18.299,5320,62,255,195.968,48.021
G29,5320,0,58,7.299,15.733,5320,0,55,7.090,15.261,5320,22,255,187.423,55.718
G30,5320,0,6,0.017,0.266,5320,0,6,0.017,0.266,5320,130,255,224.543,22.703
G31,5320,0,45,7.938,12.286,5320,0,45,7.938,12.286,5320,138,255,218.581,21.088
G32,5320,0,201,118.106,62.716,5320,0,201,118.101,62.709,5320,134,255,233.583,22.163
G33,5320,40,206,156.195,35.352,5320,36,206,153.652,36.412,5320,36,241,163.903,42.084
G34,5320,56,255,197.453,47.320,5320,56,250,190.319,43.314,5320,64,255,201.363,40.542
G35,5320,28,254,141.672,55.953,5320,28,253,140.567,55.508,5320,59,255,163.340,58.982
G36,5320,0,26,1.245,3.531,5320,0,26,1.245,3.531,5320,76,255,219.756,38.358
G37,5320,0,71,25.275,25.274,5320,0,71,25.275,25.274,5320,78,255,205.894,28.465
G38,5320,0,76,36.349,19.224,5320,0,76,36.349,19.224,5320,106,255,199.889,35.751
G39,5320,0,37,7.818,7.848,5320,0,37,7.818,7.848,5320,150,255,215.979,37.628
G40,5320,1,196,78.072,50.882,5320,1,194,77.957,50.667,5320,59,255,208.368,49.697
G41,5320,0,165,16.332,26.704,5320,0,165,16.332,26.704,5320,58,255,219.360,40.879
G42,5320,0,214,133.057,53.581,5320,0,214,132.920,53.746,5320,38,255,169.267,59.458
G43,5320,46,255,169.029,57.405,5320,44,238,156.650,51.807,5320,44,238,158.850,51.648
G44,5320,23,254,133.391,60.975,5320,23,253,130.135,57.772,5320,57,254,158.475,54.391
G45,5320,0,71,21.185,22.860,5320,0,71,21.185,22.860,5320,41,255,145.167,53.388
G46,5320,0,6,0.152,0.541,5320,0,6,0.152,0.541,5320,127,255,212.355,32.147
G47,5320,0,38,13.239,14.439,5320,0,38,13.239,14.439,5320,113,255,215.211,26.343
G48,5320,0,91,15.613,18.461,5320,0,91,15.613,18.461,5320,121,255,226.639,27.232
G49,5320,2,252,156.078,59.916,5320,2,223,150.671,55.488,5320,67,255,231.786,35.445
G50,5320,0,255,116.192,70.532,5320,0,223,83.520,45.838,5320,44,255,127.549,56.047
G51,5320,22,255,206.548,32.848,5320,22,230,181.211,25.106,5320,80,255,191.216,32.119
G52,5320,66,255,211.953,44.472,5320,60,230,186.430,36.769,5320,60,230,187.173,36.612
G53,5320,35,234,132.630,49.371,5320,35,197,116.911,37.120,5320,39,197,124.537,35.381
G54,5320,1,110,49.189,29.249,5320,1,110,49.189,29.249,5320,85,255,213.451,28.920
G55,5320,0,52,3.933,9.357,5320,0,52,3.933,9.357,5320,107,255,205.659,34.343
G56,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,119,255,242.684,22.265
G57,5320,0,37,4.445,8.467,5320,0,37,4.445,8.467,5320,199,255,236.480,14.874
G58,5320,0,233,78.442,52.655,5320,0,223,78.407,52.560,5320,196,255,246.784,11.109
G59,5320,42,254,178.148,54.573,5320,38,234,158.581,38.319,5320,38,255,204.529,36.801
G60,5320,39,255,192.183,55.522,5320,29,238,149.483,44.249,5320,29,238,149.777,44.249
G61,5320,72,255,169.525,49.008,5320,64,237,157.575,47.646,5320,64,237,160.163,48.850
G62,5320,64,197,141.306,31.782,5320,64,197,140.570,32.904,5320,65,255,188.225,57.193
G63,5320,0,59,29.702,14.736,5320,0,59,29.702,14.736,5320,98,255,227.169,28.661
G64,5320,0,4,0.166,0.568,5320,0,4,0.166,0.568,5320,95,255,194.863,39.312
G65,5320,0,38,5.785,10.270,5320,0,38,5.785,10.270,5320,224,255,249.779,7.982
G66,5320,0,85,31.488,20.332,5320,0,85,31.488,20.332,5320,61,255,195.830,42.657
G67,5320,13,165,80.787,38.510,5320,13,165,80.787,38.508,5320,49,255,187.103,41.413
G68,5320,129,250,195.256,36.089,5320,129,248,193.826,34.429,5320,166,255,222.633,19.430
G69,5320,152,255,234.474,15.877,5320,125,252,224.991,16.904,5320,125,253,226.298,17.407
G70,5320,36,255,161.428,47.525,5320,26,247,146.510,52.118,5320,26,255,163.340,61.773
G71,5320,0,137,11.598,21.572,5320,0,137,11.598,21.572,5320,57,255,180.098,48.844
G72,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,72,255,176.011,42.615
G73,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,83,255,209.181,42.337
G74,5320,0,50,14.507,15.462,5320,0,50,14.507,15.462,5320,72,255,225.497,32.046
G75,5320,14,145,89.289,35.521,5320,14,145,89.289,35.521,5320,75,255,219.364,43.160
G76,5320,93,231,136.309,24.707,5320,93,231,136.309,24.707,5320,145,255,202.364,24.305
G77,5320,85,255,221.862,26.354,5320,83,250,217.084,29.750,5320,83,255,224.476,32.184
G78,5320,0,10,0.234,1.042,5320,0,10,0.234,1.042,5320,98,255,209.190,30.743
G79,5320,0,2,0.002,0.045,5320,0,2,0.002,0.045,5320,109,255,205.936,30.351
G80,5320,0,8,0.102,0.651,5320,0,8,0.102,0.651,5320,85,255,204.308,38.758
G81,5320,0,42,0.774,4.063,5320,0,42,0.774,4.063,5320,163,255,243.198,20.364
G82,5320,0,127,45.602,36.162,5320,0,127,45.602,36.162,5320,160,255,233.520,24.921
G83,5320,49,213,102.393,28.975,5320,49,213,102.393,28.975,5320,130,255,218.450,27.853
G84,5320,57,225,178.026,27.243,5320,57,225,170.529,25.498,5320,59,255,194.949,36.134
G85,5320,0,160,28.390,28.160,5320,0,160,28.390,28.160,5320,94,255,216.202,25.890
G86,5320,0,44,2.456,5.986,5320,0,44,2.456,5.986,5320,73,253,167.217,47.900
G87,5320,0,79,20.532,16.808,5320,0,79,20.532,16.808,5320,152,255,233.680,24.253
G88,5320,0,74,30.638,23.013,5320,0,74,30.638,23.013,5320,172,255,242.603,15.110
G89,5320,0,87,45.305,17.434,5320,0,87,45.305,17.434,5320,189,255,244.183,13.071
G90,5320,23,136,60.136,18.844,5320,23,136,60.136,18.844,5320,98,255,199.526,41.413
G91,5320,84,190,136.486,26.435,5320,84,189,136.391,26.278,5320,124,255,213.324,28.386
G92,5320,61,255,131.046,52.572,5320,61,211,121.799,39.685,5320,74,255,170.584,41.310
G93,5320,7,255,116.751,74.025,5320,7,212,102.950,56.947,5320,62,255,197.625,51.134
G94,5320,55,172,125.034,25.547,5320,55,172,125.006,25.556,5320,64,255,181.573,49.243
G95,5320,52,255,159.130,56.541,5320,44,253,150.320,52.280,5320,44,255,176.198,59.721
G96,5320,0,255,75.257,71.020,5320,0,235,73.826,67.726,5320,89,255,228.416,28.277
G97,5320,14,112,58.937,16.506,5320,14,112,58.937,16.506,5320,129,255,217.777,25.282
G98,5320,8,213,76.375,47.708,5320,8,182,74.681,44.676,5320,57,255,226.574,37.337
G99,5320,0,233,120.150,67.476,5320,0,233,100.536,69.181,5320,6,250,138.764,66.958
G100,5320,11,248,161.979,58.808,5320,11,243,161.134,57.907,5320,45,255,218.950,39.945
