Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,114,255,228.692,28.717,5320,0,206,84.958,67.000,5320,0,206,84.958,67.000
G2,5320,4,255,155.133,83.256,5320,4,189,96.326,50.437,5320,5,245,128.860,43.758
G3,5320,13,253,101.761,62.665,5320,6,189,82.912,47.577,5320,6,215,118.108,39.568
G4,5320,0,121,6.808,17.651,5320,0,121,6.808,17.651,5320,58,255,156.409,44.701
G5,5320,0,10,0.113,0.753,5320,0,10,0.113,0.753,5320,65,255,192.573,52.127
G6,5320,0,239,96.414,73.439,5320,0,230,94.578,70.682,5320,70,255,204.757,49.918
G7,5320,31,255,227.280,39.622,5320,31,230,181.102,28.060,5320,36,233,183.030,25.502
G8,5320,54,255,167.394,55.960,5320,54,194,137.972,30.750,5320,64,248,153.497,36.800
G9,5320,35,192,115.130,44.873,5320,35,192,115.130,44.873,5320,155,255,222.054,28.847
G10,5320,45,255,186.218,64.383,5320,45,254,167.561,50.192,5320,51,255,194.515,45.622
G11,5320,38,255,109.471,47.346,5320,38,190,104.205,37.906,5320,76,255,201.838,48.607
G12,5320,0,121,50.889,33.140,5320,0,121,50.889,33.140,5320,68,255,194.142,48.300
G13,5320,0,106,13.970,25.816,5320,0,106,13.970,25.816,5320,62,251,191.740,54.754
G14,5320,0,219,107.323,55.414,5320,0,217,107.312,55.393,5320,106,255,231.845,32.883
G15,5320,148,255,204.128,26.197,5320,146,242,195.916,25.184,5320,150,255,216.416,33.149
G16,5320,102,249,179.278,23.203,5320,102,223,175.104,21.550,5320,118,243,186.753,23.141
G17,5320,24,218,93.942,43.510,5320,24,218,93.942,43.510,5320,55,253,157.784,42.392
G18,5320,0,129,39.730,33.272,5320,0,129,39.730,33.272,5320,63,247,202.103,28.354
G19,5320,24,165,120.364,21.105,5320,24,165,120.364,21.105,5320,140,255,245.095,12.970
G20,5320,0,104,42.489,24.103,5320,0,104,42.489,24.103,5320,149,255,235.208,21.862
G21,5320,0,121,54.210,34.656,5320,0,121,54.210,34.656,5320,211,255,245.356,10.557
G22,5320,65,209,138.980,30.769,5320,65,209,138.980,30.769,5320,115,255,227.040,35.245
G23,5320,26,204,131.211,48.475,5320,26,204,131.211,48.475,5320,52,255,184.018,67.442
G24,5320,122,241,196.236,22.594,5320,122,241,196.236,22.594,5320,203,255,253.467,4.322
G25,5320,44,217,177.061,28.655,5320,44,217,177.061,28.655,5320,51,255,219.737,38.149
G26,5320,54,233,169.830,39.158,5320,54,233,167.954,38.782,5320,61,255,177.572,43.982
G27,5320,0,53,18.084,15.069,5320,0,53,18.084,15.069,5320,77,255,244.519,20.969
G28,5320,0,107,66.613,25.227,5320,0,107,66.613,25.227,5320,95,255,223.559,30.382
G29,5320,0,88,32.755,16.862,5320,0,88,32.755,16.862,5320,126,255,217.838,34.382
G30,5320,0,172,33.535,39.751,5320,0,172,33.535,39.751,5320,76,255,195.701,43.226
G31,5320,0,216,122.996,54.661,5320,0,216,122.966,54.647,5320,43,255,174.503,61.585
G32,5320,0,178,16.597,30.745,5320,0,178,16.597,30.745,5320,52,255,188.621,52.709
G33,5320,0,184,109.043,62.776,5320,0,184,108.922,62.854,5320,31,255,214.893,45.376
G34,5320,55,255,187.074,53.866,5320,55,249,182.483,49.642,5320,62,255,201.476,43.434
G35,5320,48,255,146.706,55.715,5320,48,253,145.265,55.365,5320,66,255,164.217,59.018
G36,5320,0,45,13.862,15.425,5320,0,45,13.861,15.423,5320,92,255,213.158,40.762
G37,5320,0,78,43.119,16.458,5320,0,78,43.119,16.458,5320,127,255,209.758,33.666
G38,5320,0,53,6.828,11.242,5320,0,53,6.828,11.242,5320,109,255,204.184,32.518
