Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,160,255,236.033,25.092,5320,0,156,43.344,43.873,5320,0,156,43.336,43.862
G2,5320,47,255,174.122,59.755,5320,0,174,85.265,45.415,5320,0,202,95.534,51.625
G3,5320,32,213,131.069,55.483,5320,32,174,107.815,38.504,5320,35,203,121.770,35.145
G4,5320,0,137,35.895,32.413,5320,0,137,35.895,32.413,5320,68,255,154.466,49.202
G5,5320,0,27,2.764,4.442,5320,0,27,2.764,4.442,5320,70,255,209.390,40.058
G6,5320,0,255,135.940,79.286,5320,0,194,119.117,62.329,5320,107,255,199.935,38.033
G7,5320,158,255,239.643,19.251,5320,135,204,169.126,12.090,5320,135,204,169.214,12.044
G8,5320,80,228,176.047,22.800,5320,80,210,158.217,23.399,5320,89,255,179.614,41.403
G9,5320,17,195,122.019,47.893,5320,17,195,122.019,47.893,5320,144,255,224.092,28.738
G10,5320,54,255,179.315,58.196,5320,38,246,143.932,41.678,5320,38,251,165.763,47.609
G11,5320,0,244,85.631,59.425,5320,0,177,75.395,48.078,5320,68,255,193.413,52.662
G12,5320,0,95,8.717,17.483,5320,0,95,8.717,17.483,5320,47,255,182.065,59.240
G13,5320,0,10,0.067,0.592,5320,0,10,0.067,0.592,5320,60,255,219.606,36.034
G14,5320,0,239,28.831,57.329,5320,0,189,27.524,53.424,5320,176,255,238.597,18.501
G15,5320,16,253,159.606,51.762,5320,16,204,147.203,41.352,5320,140,255,209.112,35.147
G16,5320,112,205,176.337,18.866,5320,112,203,168.789,17.460,5320,132,244,188.381,24.616
G17,5320,34,191,106.527,30.344,5320,34,191,106.527,30.345,5320,56,255,155.176,43.851
G18,5320,9,146,58.920,28.732,5320,9,146,58.920,28.732,5320,90,255,197.438,38.500
G19,5320,66,179,127.099,24.667,5320,66,179,127.099,24.667,5320,84,255,209.214,36.489
G20,5320,0,96,12.320,21.536,5320,0,96,12.320,21.536,5320,178,255,212.729,20.179
G21,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,44,255,212.784,39.227
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,47,227,147.689,36.913
G23,5320,0,20,0.242,1.572,5320,0,20,0.242,1.572,5320,78,255,194.351,51.041
G24,5320,0,173,86.312,52.236,5320,0,173,86.312,52.236,5320,189,255,252.010,7.870
G25,5320,39,185,145.315,31.801,5320,39,185,145.315,31.801,5320,59,255,214.750,46.940
G26,5320,53,195,144.901,31.305,5320,53,195,144.890,31.311,5320,69,255,183.209,45.927
G27,5320,3,88,63.643,13.923,5320,3,88,63.643,13.923,5320,116,255,250.354,9.633
G28,5320,22,122,76.519,22.029,5320,22,122,76.519,22.029,5320,74,255,219.655,32.483
G29,5320,0,79,13.017,20.900,5320,0,79,13.017,20.900,5320,124,255,220.102,30.847
G30,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,143,255,225.373,26.333
G31,5320,0,11,0.849,2.192,5320,0,11,0.849,2.192,5320,108,255,209.046,36.036
G32,5320,0,98,30.573,27.215,5320,0,98,30.573,27.215,5320,65,255,192.270,37.587
G33,5320,23,136,102.825,23.017,5320,23,136,102.825,23.017,5320,50,255,224.323,35.589
G34,5320,42,230,149.329,48.429,5320,42,230,149.329,48.429,5320,53,255,199.389,47.090
G35,5320,33,199,100.845,50.342,5320,33,199,100.841,50.338,5320,55,255,160.891,54.831
G36,5320,0,51,14.708,16.244,5320,0,51,14.708,16.244,5320,56,255,215.226,49.735
G37,5320,15,148,74.697,26.606,5320,15,148,74.697,26.606,5320,107,255,218.892,31.486
G38,5320,0,148,21.835,35.336,5320,0,148,21.835,35.336,5320,109,255,208.234,34.617
G39,5320,0,10,0.192,0.853,5320,0,10,0.192,0.853,5320,217,255,246.534,9.700
G40,5320,0,210,49.098,59.919,5320,0,210,49.098,59.919,5320,68,255,213.284,40.464
G41,5320,11,235,120.398,61.718,5320,11,235,120.164,61.344,5320,52,255,186.499,54.251
