Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,108,255,239.805,26.001,5320,0,229,74.762,60.013,5320,0,229,74.765,60.020
G2,5320,117,255,207.796,36.376,5320,1,226,161.379,53.687,5320,1,255,181.394,63.535
G3,5320,74,255,211.664,40.492,5320,12,191,123.859,32.909,5320,12,191,123.859,32.909
G4,5320,53,231,152.577,47.033,5320,53,231,151.795,46.004,5320,113,255,211.678,35.953
G5,5320,19,160,85.637,29.766,5320,19,160,85.637,29.766,5320,32,247,158.493,44.586
G6,5320,12,96,32.172,12.536,5320,12,96,32.172,12.536,5320,97,255,205.486,36.824
G7,5320,0,161,72.063,34.636,5320,0,161,72.063,34.636,5320,47,255,169.052,42.328
G8,5320,10,255,148.018,67.680,5320,10,235,137.216,59.706,5320,51,255,167.152,54.108
G9,5320,33,255,170.517,45.399,5320,4,252,114.155,57.059,5320,4,255,115.576,57.419
G10,5320,63,244,189.086,28.985,5320,61,236,183.602,31.637,5320,61,255,204.757,42.139
G11,5320,110,221,183.649,22.310,5320,110,221,183.231,22.039,5320,144,255,242.628,17.748
G12,5320,7,252,108.183,50.074,5320,7,207,95.723,40.072,5320,18,255,166.326,55.694
G13,5320,39,152,115.922,24.364,5320,39,152,115.922,24.364,5320,106,255,228.611,27.996
G14,5320,0,97,50.937,17.360,5320,0,97,50.937,17.360,5320,136,255,235.176,25.298
G15,5320,0,158,86.639,36.105,5320,0,158,86.639,36.105,5320,128,255,230.142,31.411
G16,5320,54,255,182.346,48.282,5320,54,254,176.730,43.338,5320,129,255,217.786,30.526
G17,5320,51,230,168.739,42.699,5320,0,213,95.932,58.941,5320,0,241,96.385,59.779
G18,5320,33,184,94.599,18.456,5320,33,183,94.598,18.451,5320,53,255,212.056,35.252
G19,5320,44,203,144.606,40.315,5320,44,203,144.606,40.315,5320,64,255,212.369,39.768
G20,5320,44,245,143.209,37.187,5320,44,244,143.197,37.154,5320,59,255,203.867,49.812
G21,5320,1,255,165.135,49.832,5320,0,239,142.074,59.080,5320,0,255,176.284,66.023
G22,5320,30,188,119.979,41.641,5320,30,188,119.968,41.657,5320,72,254,190.090,40.416
G23,5320,0,115,15.931,25.558,5320,0,115,15.931,25.558,5320,53,255,177.928,56.136
G24,5320,0,52,1.363,4.779,5320,0,52,1.363,4.779,5320,58,255,235.385,24.876
G25,5320,0,218,91.694,58.048,5320,0,214,91.543,57.816,5320,42,255,200.583,56.558
G26,5320,52,218,174.628,33.772,5320,47,213,131.961,29.336,5320,47,245,132.777,30.735
G27,5320,93,217,151.635,19.047,5320,93,189,149.727,18.814,5320,106,255,244.931,27.409
G28,5320,120,203,168.553,20.791,5320,120,203,168.553,20.791,5320,172,255,249.030,13.038
G29,5320,101,255,186.197,40.789,5320,101,252,184.531,39.691,5320,110,255,201.521,40.132
G30,5320,105,255,215.553,30.592,5320,97,244,199.035,25.827,5320,98,245,200.435,25.084
G31,5320,98,248,197.051,34.193,5320,98,248,197.000,34.252,5320,101,255,217.737,31.138
G32,5320,0,251,158.396,74.338,5320,0,251,158.396,74.338,5320,47,255,193.394,61.666
G33,5320,0,188,102.781,53.047,5320,0,188,102.781,53.047,5320,50,255,177.955,43.512
G34,5320,43,255,198.684,37.436,5320,43,248,197.399,36.156,5320,126,255,230.650,24.753
G35,5320,56,255,177.107,45.603,5320,48,242,150.752,45.088,5320,48,244,150.917,45.200
G36,5320,69,255,221.941,44.087,5320,57,206,159.422,19.839,5320,57,255,168.928,33.911
G37,5320,124,251,187.720,20.173,5320,124,250,187.692,20.090,5320,140,255,234.292,20.382
G38,5320,117,254,219.756,29.467,5320,117,250,212.731,29.252,5320,117,255,226.946,32.815
G39,5320,140,255,207.903,24.514,5320,137,244,202.288,18.795,5320,137,253,206.083,19.028
G40,5320,116,225,184.742,20.945,5320,116,225,184.742,20.945,5320,123,255,231.300,23.680
G41,5320,117,255,197.314,34.343,5320,117,252,191.708,30.825,5320,141,255,212.324,29.569
G42,5320,102,255,180.535,30.935,5320,102,211,160.641,23.411,5320,117,211,167.996,21.697
G43,5320,147,255,230.533,22.496,5320,147,245,212.885,20.368,5320,166,253,219.467,19.573
G44,5320,38,255,183.818,53.537,5320,25,224,148.480,48.208,5320,25,225,149.315,48.462
G45,5320,29,255,156.190,62.397,5320,27,219,133.720,47.311,5320,28,255,148.385,58.524
G46,5320,69,250,178.207,40.658,5320,69,243,168.052,35.235,5320,81,255,179.598,37.098
G47,5320,226,255,249.090,6.543,5320,160,233,185.958,13.563,5320,160,236,185.992,13.637
G48,5320,165,255,234.356,20.421,5320,165,248,219.069,19.835,5320,189,255,230.480,19.962
G49,5320,112,229,168.166,24.542,5320,112,229,168.166,24.542,5320,175,255,230.340,19.005
G50,5320,109,255,150.728,32.616,5320,109,220,147.989,26.718,5320,157,255,231.371,23.309
G51,5320,112,255,219.719,33.410,5320,53,217,146.784,30.663,5320,53,238,151.587,37.246
G52,5320,65,255,195.317,49.428,5320,34,200,118.410,42.971,5320,34,200,118.410,42.971
G53,5320,128,255,207.189,23.138,5320,37,160,74.330,28.106,5320,37,160,74.330,28.106
