Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,139,255,235.230,27.462,5320,0,229,111.162,57.510,5320,0,232,111.687,58.404
G2,5320,38,255,168.786,60.839,5320,38,243,153.128,51.587,5320,102,247,200.092,34.351
G3,5320,106,255,211.540,34.243,5320,87,212,165.482,25.089,5320,87,224,171.810,30.373
G4,5320,11,155,82.028,37.519,5320,11,155,82.028,37.519,5320,116,255,232.464,24.237
G5,5320,0,85,9.605,17.377,5320,0,85,9.605,17.377,5320,41,240,173.264,45.234
G6,5320,0,6,0.052,0.418,5320,0,6,0.052,0.418,5320,77,255,206.674,47.027
G7,5320,0,177,49.863,45.065,5320,0,177,49.863,45.065,5320,50,255,178.236,49.868
G8,5320,3,255,134.005,69.659,5320,3,251,124.422,62.657,5320,49,255,169.598,53.039
G9,5320,57,255,182.639,36.932,5320,9,245,120.230,58.568,5320,9,255,124.809,63.610
G10,5320,60,217,165.931,23.400,5320,60,211,164.820,23.210,5320,79,255,205.707,34.781
G11,5320,43,191,147.336,27.452,5320,43,191,147.253,27.340,5320,123,255,242.216,20.090
G12,5320,0,127,32.864,39.836,5320,0,127,32.864,39.836,5320,49,255,174.528,51.047
G13,5320,0,9,0.137,0.840,5320,0,9,0.137,0.840,5320,147,255,217.280,22.915
G14,5320,0,19,0.570,2.432,5320,0,19,0.570,2.432,5320,160,255,235.401,23.069
G15,5320,0,175,69.818,43.293,5320,0,175,69.818,43.293,5320,183,255,231.921,21.064
G16,5320,95,255,191.772,41.620,5320,95,251,184.340,36.499,5320,120,255,233.012,23.184
G17,5320,48,237,164.842,48.492,5320,0,223,87.111,59.865,5320,0,240,87.277,60.218
G18,5320,28,148,77.614,17.508,5320,28,148,77.614,17.508,5320,56,255,215.054,32.592
G19,5320,42,178,114.994,35.332,5320,42,178,114.994,35.332,5320,67,255,211.164,38.086
G20,5320,8,156,84.145,36.167,5320,8,156,84.145,36.167,5320,56,255,208.649,49.705
G21,5320,0,112,46.540,32.016,5320,0,112,46.540,32.016,5320,49,255,212.544,38.985
G22,5320,0,106,15.372,26.520,5320,0,106,15.372,26.520,5320,80,248,183.698,37.475
G23,5320,0,15,0.229,1.265,5320,0,15,0.229,1.265,5320,104,255,221.159,30.595
G24,5320,0,94,18.708,25.604,5320,0,94,18.708,25.604,5320,108,255,246.716,13.966
G25,5320,14,226,114.541,44.655,5320,14,223,114.154,43.954,5320,43,255,197.654,56.010
G26,5320,51,227,171.390,34.351,5320,42,222,121.336,30.812,5320,42,241,121.898,31.897
G27,5320,96,203,135.935,22.140,5320,81,179,133.130,21.932,5320,81,255,241.521,33.523
G28,5320,91,156,133.748,17.455,5320,91,156,133.748,17.455,5320,181,255,250.661,11.501
G29,5320,38,156,89.098,29.733,5320,38,156,89.098,29.733,5320,118,255,209.974,37.311
G30,5320,11,113,74.430,20.639,5320,11,113,74.430,20.639,5320,147,255,240.164,18.306
G31,5320,0,111,33.431,33.792,5320,0,111,33.431,33.792,5320,145,255,229.710,22.578
G32,5320,0,23,1.825,4.304,5320,0,23,1.825,4.304,5320,116,255,216.866,22.456
G33,5320,0,49,13.476,15.490,5320,0,49,13.476,15.490,5320,78,255,225.529,28.958
G34,5320,20,255,158.987,68.767,5320,20,250,157.151,66.969,5320,97,255,203.294,38.023
G35,5320,48,255,177.173,46.708,5320,40,241,145.595,45.735,5320,40,241,145.620,45.753
G36,5320,69,255,220.971,43.712,5320,52,204,134.958,23.009,5320,52,255,143.855,41.441
G37,5320,110,209,164.824,21.094,5320,110,209,164.824,21.094,5320,136,255,233.108,22.433
G38,5320,38,196,145.507,41.613,5320,38,196,145.507,41.613,5320,120,255,224.050,34.992
G39,5320,9,224,104.879,61.504,5320,9,224,104.879,61.504,5320,74,255,186.986,42.518
G40,5320,0,217,75.045,73.356,5320,0,217,75.045,73.356,5320,64,255,177.618,58.199
G41,5320,0,249,109.339,85.538,5320,0,241,108.616,84.472,5320,50,255,187.987,56.024
G42,5320,0,250,159.655,81.019,5320,0,236,153.551,76.250,5320,36,248,195.737,46.658
G43,5320,41,255,220.554,43.044,5320,41,234,189.384,35.140,5320,96,246,199.348,26.800
G44,5320,52,255,171.895,53.907,5320,27,204,124.750,44.810,5320,27,204,124.771,44.816
G45,5320,14,255,154.793,59.415,5320,11,209,126.571,48.882,5320,11,255,142.816,63.438
G46,5320,58,247,161.489,36.515,5320,58,243,161.435,36.438,5320,74,255,195.558,41.157
G47,5320,142,255,216.271,26.340,5320,142,249,213.313,23.369,5320,180,255,239.972,16.981
G48,5320,101,255,194.397,33.007,5320,101,235,191.786,31.205,5320,124,255,223.773,27.099
G49,5320,103,226,166.045,22.828,5320,103,226,166.045,22.828,5320,173,255,243.907,14.279
G50,5320,179,255,239.181,17.828,5320,120,251,213.531,27.273,5320,120,255,224.984,32.306
G51,5320,80,255,241.113,23.923,5320,20,213,101.982,46.455,5320,20,213,101.982,46.455
G52,5320,75,255,189.373,46.912,5320,23,166,91.434,39.078,5320,23,166,91.434,39.078
G53,5320,75,255,207.872,30.776,5320,20,121,53.961,23.290,5320,20,121,53.961,23.290
G54,5320,82,255,190.614,31.722,5320,82,248,187.075,27.250,5320,86,255,220.225,28.090
G55,5320,141,255,196.973,24.610,5320,141,246,193.106,22.183,5320,142,255,210.777,25.650
G56,5320,203,255,250.870,10.728,5320,109,248,207.533,27.193,5320,109,251,207.697,27.414
G57,5320,67,255,214.429,43.868,5320,67,235,190.376,37.898,5320,85,255,205.174,40.889
G58,5320,29,228,122.017,46.210,5320,29,228,122.012,46.215,5320,45,255,172.801,54.086
G59,5320,47,255,174.791,53.973,5320,37,250,160.199,52.391,5320,37,255,165.248,53.960
G60,5320,34,253,185.297,57.290,5320,10,192,110.364,48.245,5320,10,192,110.364,48.245
G61,5320,62,255,165.910,45.074,5320,17,156,89.368,33.961,5320,17,156,89.368,33.961
G62,5320,72,255,170.134,53.111,5320,13,124,40.979,20.944,5320,13,124,40.979,20.944
G63,5320,108,255,219.282,27.106,5320,94,249,205.360,29.966,5320,94,255,209.218,32.392
G64,5320,110,255,212.770,37.708,5320,2,190,79.613,43.742,5320,2,190,79.613,43.742
G65,5320,85,255,209.864,45.013,5320,0,224,95.948,62.428,5320,0,235,96.501,63.261
G66,5320,101,240,217.731,16.310,5320,101,240,217.719,16.316,5320,107,255,245.238,17.033
G67,5320,147,255,218.158,33.436,5320,147,254,210.508,28.512,5320,155,255,218.723,23.844
G68,5320,187,255,231.527,18.756,5320,110,249,174.959,35.372,5320,110,250,174.961,35.375
G69,5320,166,255,243.084,19.751,5320,72,163,118.757,14.524,5320,72,163,118.757,14.524
G70,5320,38,255,201.331,45.609,5320,31,178,120.418,27.932,5320,31,243,122.948,32.383
G71,5320,79,255,225.763,29.551,5320,0,236,169.437,56.442,5320,0,236,169.437,56.442
G72,5320,172,255,232.589,18.142,5320,0,213,103.274,59.991,5320,0,213,103.274,59.991
G73,5320,122,255,203.557,32.665,5320,0,211,82.224,67.533,5320,0,225,85.739,72.487
G74,5320,148,217,182.673,15.970,5320,148,217,182.651,15.940,5320,185,255,229.886,18.826
G75,5320,148,252,205.101,18.337,5320,148,247,205.028,18.181,5320,188,255,243.496,14.860
G76,5320,119,255,209.743,37.196,5320,119,250,186.877,27.631,5320,141,252,192.327,27.168
G77,5320,72,255,206.275,41.016,5320,51,199,139.912,31.964,5320,51,199,139.912,31.964
G78,5320,32,255,214.915,40.608,5320,0,251,203.364,52.391,5320,0,254,217.342,50.178
G79,5320,161,255,242.333,12.564,5320,128,249,207.708,22.716,5320,128,249,207.836,22.900
G80,5320,107,255,217.908,42.033,5320,105,253,199.711,37.477,5320,105,255,213.683,31.790
G81,5320,78,206,148.115,28.659,5320,78,206,148.115,28.659,5320,134,255,230.391,21.623
G82,5320,79,197,154.809,23.696,5320,79,197,154.809,23.696,5320,140,255,230.440,23.166
G83,5320,113,245,175.353,26.114,5320,113,244,174.850,25.458,5320,129,255,221.517,24.489
G84,5320,64,255,209.036,32.351,5320,53,248,160.599,35.537,5320,53,254,161.277,36.794
G85,5320,94,235,164.750,28.084,5320,94,233,164.718,28.021,5320,135,255,226.871,27.244
G86,5320,168,255,244.313,16.904,5320,149,251,217.884,21.466,5320,149,254,221.346,21.730
G87,5320,137,255,212.671,25.300,5320,113,241,195.278,31.788,5320,113,255,202.422,38.610
G88,5320,146,231,208.238,17.518,5320,146,231,208.238,17.518,5320,181,255,248.783,11.188
G89,5320,79,208,159.677,25.869,5320,79,208,159.677,25.869,5320,179,255,239.695,16.700
G90,5320,74,229,139.320,26.879,5320,74,228,139.320,26.878,5320,164,255,228.889,16.423
G91,5320,60,241,173.231,31.896,5320,60,240,171.008,31.028,5320,80,255,203.303,37.449
G92,5320,17,211,118.405,49.374,5320,17,211,117.376,48.424,5320,38,241,173.512,40.956
G93,5320,0,207,97.750,68.455,5320,0,200,93.631,64.625,5320,59,253,169.442,36.195
G94,5320,0,111,14.250,24.574,5320,0,111,14.231,24.510,5320,63,255,191.402,64.029
G95,5320,0,107,28.158,30.421,5320,0,107,28.158,30.421,5320,54,246,150.373,46.355
G96,5320,55,227,154.850,33.500,5320,55,227,154.606,33.361,5320,116,255,212.733,31.553
G97,5320,99,255,217.076,32.838,5320,59,239,156.869,45.681,5320,59,239,156.869,45.681
G98,5320,164,255,243.627,15.419,5320,0,221,101.491,74.961,5320,0,221,101.491,74.961
G99,5320,13,255,165.654,61.933,5320,0,147,20.272,37.612,5320,0,170,20.369,37.907
G100,5320,70,246,147.694,44.049,5320,42,220,131.456,43.009,5320,42,255,146.177,54.013
