Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,78,255,218.327,31.014,5320,78,247,198.229,24.076,5320,134,255,217.423,23.167
G2,5320,112,255,233.720,24.598,5320,112,243,204.026,23.246,5320,138,255,213.115,26.496
G3,5320,156,255,225.986,26.242,5320,131,244,204.622,28.524,5320,131,244,204.622,28.524
G4,5320,8,255,132.623,54.940,5320,8,245,131.170,53.242,5320,14,255,201.539,47.676
G5,5320,0,248,131.900,68.075,5320,0,238,129.339,64.781,5320,51,255,205.755,43.140
G6,5320,0,182,78.695,53.006,5320,0,181,75.528,51.681,5320,52,255,196.517,58.917
G7,5320,56,248,162.975,45.507,5320,36,239,138.061,46.988,5320,36,239,148.612,49.999
G8,5320,71,255,224.066,38.460,5320,56,220,165.492,31.433,5320,56,220,165.990,31.675
G9,5320,53,220,166.668,39.703,5320,48,220,162.638,44.261,5320,48,255,186.244,58.717
G10,5320,15,182,109.821,35.849,5320,15,182,109.821,35.849,5320,46,255,206.185,45.438
G11,5320,11,192,102.277,36.707,5320,11,192,102.232,36.617,5320,32,255,219.229,41.434
G12,5320,0,105,22.409,26.336,5320,0,105,22.409,26.336,5320,37,255,214.032,42.674
G13,5320,0,31,0.954,3.389,5320,0,31,0.954,3.389,5320,67,255,201.966,35.832
G14,5320,0,44,0.549,3.103,5320,0,44,0.549,3.103,5320,147,255,216.206,30.255
G15,5320,0,182,76.908,55.742,5320,0,182,76.704,55.547,5320,68,255,216.819,44.123
G16,5320,100,246,178.872,29.438,5320,99,216,170.252,24.036,5320,101,255,185.757,25.359
G17,5320,34,234,150.501,36.893,5320,34,234,146.474,34.640,5320,48,255,161.226,40.375
G18,5320,0,61,15.066,15.396,5320,0,61,15.066,15.396,5320,60,255,220.243,39.151
G19,5320,0,110,75.469,33.585,5320,0,110,75.469,33.585,5320,62,255,221.415,39.840
G20,5320,22,105,82.147,17.323,5320,22,105,82.147,17.323,5320,213,255,251.775,6.828
G21,5320,0,82,13.512,20.107,5320,0,82,13.512,20.107,5320,42,255,171.503,56.906
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,63,255,221.668,41.593
G23,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,187,255,241.179,14.813
G24,5320,0,148,19.311,30.477,5320,0,148,19.311,30.477,5320,245,255,254.635,1.349
G25,5320,31,183,124.710,38.171,5320,31,183,124.710,38.171,5320,47,255,228.488,32.793
G26,5320,31,240,162.920,44.906,5320,31,240,154.791,45.658,5320,44,255,170.329,55.773
G27,5320,19,255,93.828,62.575,5320,9,131,71.317,32.125,5320,9,255,220.769,67.380
G28,5320,25,104,54.878,10.528,5320,25,104,54.878,10.528,5320,116,255,227.044,30.330
G29,5320,0,98,20.643,22.579,5320,0,98,20.643,22.579,5320,113,255,223.670,34.833
G30,5320,0,65,8.713,13.482,5320,0,65,8.713,13.482,5320,60,255,216.836,33.227
G31,5320,0,27,0.739,2.814,5320,0,27,0.739,2.814,5320,50,255,125.744,39.551
G32,5320,0,53,2.330,8.054,5320,0,53,2.330,8.054,5320,51,255,185.158,58.751
G33,5320,0,114,7.993,16.438,5320,0,114,7.993,16.438,5320,43,255,225.359,43.383
G34,5320,15,223,82.386,57.084,5320,15,223,82.383,57.077,5320,43,255,181.893,47.872
G35,5320,62,255,179.735,58.916,5320,51,249,172.374,62.929,5320,51,255,185.409,71.868
G36,5320,14,255,169.165,83.041,5320,0,127,30.764,39.463,5320,0,255,74.857,94.801
G37,5320,27,90,52.968,15.405,5320,27,90,52.968,15.405,5320,127,255,224.609,29.621
G38,5320,0,106,76.593,22.473,5320,0,106,76.593,22.473,5320,48,255,236.216,36.873
G39,5320,0,117,55.769,41.004,5320,0,117,55.769,41.004,5320,51,255,192.619,48.567
G40,5320,7,158,72.116,34.027,5320,7,158,72.116,34.027,5320,96,205,160.767,23.715
G41,5320,0,244,132.100,68.845,5320,0,242,131.955,68.627,5320,27,255,196.050,48.687
G42,5320,0,255,192.868,55.376,5320,0,250,182.311,49.088,5320,47,255,193.931,36.904
G43,5320,78,255,193.056,31.990,5320,78,230,186.387,26.111,5320,114,230,198.479,16.840
G44,5320,47,253,173.155,48.659,5320,41,245,156.467,48.911,5320,41,246,156.666,49.162
G45,5320,32,255,146.065,29.725,5320,0,187,144.424,30.673,5320,0,255,215.288,38.946
G46,5320,27,153,94.564,29.203,5320,27,153,94.564,29.203,5320,87,255,198.345,35.804
G47,5320,0,153,105.867,29.476,5320,0,153,105.867,29.476,5320,83,255,241.682,20.373
G48,5320,0,187,101.438,61.111,5320,0,187,101.438,61.111,5320,41,255,199.620,55.147
G49,5320,99,204,159.252,27.598,5320,99,204,159.252,27.598,5320,124,255,204.685,36.421
G50,5320,88,248,194.524,37.179,5320,88,248,194.399,37.128,5320,98,255,216.420,36.562
G51,5320,203,255,238.052,16.144,5320,151,253,213.733,21.580,5320,151,255,214.447,22.086
G52,5320,134,255,224.890,27.003,5320,82,211,156.351,31.317,5320,82,211,156.351,31.317
G53,5320,128,254,226.229,23.384,5320,81,207,171.306,27.114,5320,81,207,171.306,27.114
G54,5320,79,171,128.384,19.277,5320,79,171,128.377,19.269,5320,133,255,223.191,27.575
G55,5320,53,155,122.406,22.310,5320,53,155,122.406,22.310,5320,84,255,206.505,39.904
G56,5320,56,181,137.729,20.482,5320,56,181,137.729,20.482,5320,85,255,229.835,35.046
G57,5320,75,215,152.218,27.025,5320,75,215,152.218,27.025,5320,110,255,224.926,26.932
G58,5320,56,192,119.002,37.668,5320,56,192,119.002,37.668,5320,92,255,222.513,37.764
G59,5320,50,250,126.902,68.559,5320,50,250,126.889,68.541,5320,91,255,225.331,29.513
G60,5320,16,249,183.602,54.527,5320,16,248,161.948,51.879,5320,20,254,168.643,51.090
G61,5320,45,255,171.410,47.572,5320,31,181,116.659,39.231,5320,31,181,116.659,39.231
G62,5320,76,249,146.144,36.888,5320,51,171,100.709,27.527,5320,51,171,100.709,27.527
G63,5320,0,217,158.373,41.818,5320,0,217,158.373,41.818,5320,111,255,232.630,30.674
G64,5320,58,236,162.377,43.746,5320,57,234,156.506,46.551,5320,57,255,186.128,53.251
G65,5320,141,255,215.544,25.679,5320,57,252,173.880,53.439,5320,57,255,197.051,66.235
G66,5320,18,193,66.997,37.114,5320,18,182,66.838,36.671,5320,119,255,219.707,34.788
G67,5320,21,146,50.427,16.509,5320,21,146,50.427,16.509,5320,66,255,215.440,28.587
G68,5320,43,255,212.988,26.997,5320,43,232,199.800,22.646,5320,83,243,208.865,20.690
G69,5320,210,255,243.005,9.785,5320,113,213,165.203,16.089,5320,113,213,165.203,16.089
G70,5320,47,255,229.256,44.064,5320,3,182,123.845,38.457,5320,3,182,123.845,38.457
G71,5320,1,255,144.045,75.772,5320,1,254,143.885,75.628,5320,73,255,222.922,36.405
G72,5320,131,255,215.625,32.709,5320,58,252,170.262,47.331,5320,58,255,171.727,49.161
G73,5320,115,255,225.668,28.436,5320,62,185,114.292,26.822,5320,62,195,114.682,27.498
G74,5320,19,181,115.787,37.744,5320,19,179,115.490,37.626,5320,108,255,211.140,39.628
G75,5320,20,226,99.870,61.880,5320,20,226,99.870,61.880,5320,95,255,189.709,42.042
G76,5320,40,244,201.141,36.317,5320,40,235,199.957,35.678,5320,113,255,213.914,26.000
G77,5320,170,255,230.099,23.441,5320,111,229,172.711,24.135,5320,111,229,172.712,24.135
G78,5320,32,250,183.438,43.306,5320,32,248,183.416,43.283,5320,92,255,236.921,25.474
G79,5320,183,255,233.258,11.937,5320,113,251,206.419,28.535,5320,113,255,207.861,30.236
G80,5320,180,255,229.973,22.182,5320,113,254,207.258,34.174,5320,113,255,213.186,36.540
G81,5320,130,255,212.241,37.938,5320,130,254,210.750,36.517,5320,172,255,240.106,16.029
G82,5320,159,247,198.981,21.759,5320,159,246,198.834,21.569,5320,175,255,229.338,17.715
G83,5320,158,253,213.352,19.018,5320,157,247,211.943,18.727,5320,157,255,221.467,22.187
G84,5320,57,255,201.334,32.419,5320,40,244,162.624,45.372,5320,40,247,162.726,45.526
G85,5320,74,255,165.732,47.014,5320,74,241,159.084,37.423,5320,108,255,208.065,35.169
G86,5320,117,255,228.058,31.277,5320,117,249,198.741,33.377,5320,129,252,206.212,31.044
G87,5320,171,255,231.437,23.121,5320,117,246,183.281,34.201,5320,117,246,183.281,34.201
G88,5320,60,255,225.013,40.630,5320,33,246,193.391,56.101,5320,33,246,193.410,56.109
G89,5320,109,255,231.471,19.090,5320,92,254,224.876,23.613,5320,92,255,228.184,24.917
G90,5320,88,255,212.016,38.553,5320,76,253,201.592,42.867,5320,76,254,202.551,43.307
G91,5320,112,255,216.758,36.551,5320,84,249,192.691,43.424,5320,84,249,192.743,43.467
G92,5320,27,255,184.265,60.962,5320,27,246,160.677,60.023,5320,30,249,160.950,60.053
G93,5320,34,255,201.833,47.474,5320,32,236,116.750,39.910,5320,32,242,117.000,40.441
G94,5320,82,255,205.142,56.246,5320,63,246,174.011,50.501,5320,63,246,174.037,50.476
