Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,89,255,225.278,23.385,5320,89,249,197.193,23.643,5320,134,255,208.811,28.833
G2,5320,154,255,237.429,21.306,5320,124,239,190.950,24.010,5320,126,254,195.534,28.188
G3,5320,160,255,225.782,26.303,5320,117,228,189.943,25.789,5320,117,228,189.943,25.789
G4,5320,6,255,162.231,53.544,5320,0,233,124.675,61.467,5320,0,252,148.309,70.267
G5,5320,66,249,170.671,38.492,5320,0,243,107.192,55.514,5320,0,255,138.616,80.825
G6,5320,65,246,159.876,41.553,5320,21,244,142.497,52.786,5320,21,255,184.747,73.658
G7,5320,70,255,155.517,43.972,5320,16,170,58.764,31.092,5320,16,218,59.394,33.283
G8,5320,66,255,222.490,38.977,5320,40,171,121.185,22.817,5320,40,171,121.185,22.817
G9,5320,55,247,179.851,49.135,5320,42,246,171.306,57.974,5320,42,255,181.018,64.524
G10,5320,20,203,124.478,39.029,5320,20,203,124.478,39.029,5320,50,255,206.170,46.094
G11,5320,9,210,118.605,38.604,5320,9,210,118.396,38.235,5320,23,255,212.498,42.306
G12,5320,0,151,47.909,35.439,5320,0,151,47.909,35.439,5320,49,255,163.379,53.961
G13,5320,0,107,18.860,26.055,5320,0,107,18.860,26.055,5320,52,245,164.311,45.135
G14,5320,0,158,12.840,27.725,5320,0,156,12.837,27.707,5320,105,255,215.826,26.384
G15,5320,0,233,137.860,60.817,5320,0,232,133.673,61.884,5320,35,255,207.312,56.187
G16,5320,105,246,191.818,29.266,5320,51,227,166.635,31.944,5320,51,255,169.051,35.047
G17,5320,47,252,154.389,39.356,5320,47,250,143.472,40.071,5320,52,254,149.926,43.656
G18,5320,5,72,32.565,15.878,5320,5,72,32.565,15.878,5320,50,255,219.526,38.180
G19,5320,9,128,91.758,32.811,5320,9,128,91.758,32.811,5320,78,255,221.096,38.663
G20,5320,33,123,98.262,18.411,5320,33,123,98.262,18.411,5320,199,255,250.767,8.035
G21,5320,0,97,21.297,27.122,5320,0,97,21.297,27.122,5320,35,255,187.117,57.130
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,58,237,158.701,43.120
G23,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,105,238,184.880,27.153
G24,5320,0,205,48.796,48.672,5320,0,205,48.796,48.672,5320,95,255,238.662,28.407
G25,5320,43,218,160.276,37.227,5320,43,218,160.272,37.226,5320,56,255,230.096,31.969
G26,5320,41,255,170.651,51.265,5320,41,252,158.188,53.593,5320,51,254,164.328,57.510
G27,5320,43,249,109.469,52.067,5320,5,150,86.276,33.417,5320,5,255,221.951,72.235
G28,5320,36,111,81.169,13.780,5320,36,111,81.169,13.780,5320,128,255,225.755,32.102
G29,5320,0,104,18.598,26.332,5320,0,104,18.598,26.332,5320,88,255,188.101,38.401
G30,5320,0,28,0.153,1.483,5320,0,28,0.153,1.483,5320,43,255,196.605,48.189
G31,5320,0,100,24.614,32.597,5320,0,100,24.614,32.597,5320,55,255,187.854,47.078
G32,5320,0,74,6.989,16.665,5320,0,74,6.989,16.665,5320,61,241,146.405,39.729
G33,5320,0,131,16.998,27.544,5320,0,131,16.998,27.544,5320,43,255,226.568,41.972
G34,5320,10,229,107.191,57.056,5320,10,229,107.189,57.051,5320,40,255,182.171,50.949
G35,5320,61,255,183.451,61.163,5320,47,249,172.635,67.175,5320,47,255,179.184,72.476
G36,5320,26,255,180.605,73.651,5320,0,150,31.653,47.893,5320,0,255,60.596,90.259
G37,5320,42,176,91.342,24.027,5320,42,176,91.342,24.027,5320,127,255,227.408,29.644
G38,5320,0,215,116.627,56.055,5320,0,215,116.627,56.055,5320,116,255,239.152,29.127
