Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,74,255,203.440,44.201,5320,74,252,190.696,37.012,5320,128,255,221.530,22.215
G2,5320,55,247,143.166,38.782,5320,55,246,143.130,38.703,5320,124,255,222.544,31.594
G3,5320,113,255,207.861,36.709,5320,98,245,178.520,33.052,5320,98,254,187.957,32.524
G4,5320,25,209,119.845,44.636,5320,25,206,119.426,44.179,5320,43,255,156.958,48.966
G5,5320,36,239,154.460,43.400,5320,36,235,153.345,42.358,5320,140,255,224.042,29.038
G6,5320,22,219,139.195,45.012,5320,22,219,121.108,50.775,5320,36,255,165.281,68.457
G7,5320,61,255,143.504,34.340,5320,31,148,67.142,26.494,5320,31,174,67.287,26.903
G8,5320,86,255,210.318,41.873,5320,36,146,106.790,21.304,5320,36,146,106.790,21.304
G9,5320,63,234,174.542,33.892,5320,55,234,166.507,41.853,5320,55,255,184.948,53.960
G10,5320,38,187,113.331,28.574,5320,38,187,113.331,28.574,5320,59,255,198.709,47.050
G11,5320,21,127,90.341,26.674,5320,21,127,90.341,26.674,5320,56,249,185.150,50.630
G12,5320,0,202,61.124,65.431,5320,0,202,61.124,65.431,5320,17,255,150.983,60.939
G13,5320,0,193,65.597,62.261,5320,0,193,65.597,62.261,5320,37,255,207.094,58.325
G14,5320,0,160,15.473,30.953,5320,0,158,15.428,30.753,5320,119,255,224.849,35.853
G15,5320,0,255,163.456,68.795,5320,0,254,158.370,68.129,5320,100,255,210.486,43.859
G16,5320,96,248,195.348,29.703,5320,69,240,160.091,36.099,5320,69,249,160.770,37.043
G17,5320,51,255,157.281,41.115,5320,51,242,144.637,39.613,5320,53,244,151.007,41.874
G18,5320,0,85,21.971,19.079,5320,0,85,21.971,19.079,5320,82,254,208.181,33.976
G19,5320,10,133,65.070,32.617,5320,10,133,65.070,32.617,5320,86,255,208.850,33.039
G20,5320,17,120,72.256,26.513,5320,17,120,72.256,26.513,5320,134,255,235.542,27.514
G21,5320,0,56,7.217,12.734,5320,0,56,7.217,12.734,5320,78,255,174.995,45.705
