Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,75,255,212.296,36.796,5320,75,242,191.697,29.152,5320,128,255,214.296,25.910
G2,5320,92,255,186.846,35.273,5320,92,248,186.496,34.718,5320,139,255,227.951,26.345
G3,5320,141,255,215.145,30.067,5320,111,248,172.964,30.268,5320,111,249,175.026,30.391
G4,5320,31,232,132.597,35.454,5320,31,230,130.966,34.939,5320,39,233,154.835,45.257
G5,5320,0,253,151.397,66.246,5320,0,250,147.450,63.326,5320,121,255,215.379,32.926
G6,5320,0,243,150.485,54.047,5320,0,235,127.857,61.978,5320,32,255,159.201,73.729
G7,5320,75,255,152.732,42.186,5320,27,181,65.817,25.507,5320,27,204,65.919,25.909
G8,5320,83,255,210.763,44.390,5320,29,113,86.446,14.617,5320,29,113,86.446,14.617
G9,5320,65,239,179.309,36.898,5320,53,239,169.741,47.036,5320,53,255,184.304,56.542
G10,5320,44,201,123.552,38.320,5320,44,201,123.552,38.320,5320,62,255,195.700,49.947
G11,5320,32,159,121.487,34.187,5320,32,159,121.487,34.187,5320,55,251,183.881,48.869
G12,5320,17,168,108.366,34.225,5320,17,168,108.366,34.225,5320,32,238,169.011,44.049
G13,5320,0,149,34.747,40.180,5320,0,149,34.747,40.180,5320,44,255,178.181,54.312
G14,5320,0,202,36.968,49.575,5320,0,200,36.958,49.541,5320,47,255,187.492,55.141
G15,5320,59,255,204.367,43.173,5320,59,235,161.637,32.851,5320,69,246,174.594,35.031
G16,5320,134,240,196.432,23.850,5320,66,165,112.559,20.348,5320,66,165,112.559,20.348
G17,5320,59,255,161.249,40.836,5320,57,210,132.575,33.793,5320,57,242,137.414,39.292
G18,5320,0,89,19.629,18.944,5320,0,89,19.629,18.944,5320,72,253,208.398,32.421
G19,5320,13,156,82.219,37.183,5320,13,156,82.219,37.183,5320,101,255,210.237,30.421
G20,5320,17,157,105.952,46.569,5320,17,157,105.952,46.569,5320,70,255,222.189,39.741
G21,5320,5,128,56.667,19.028,5320,5,128,56.667,19.028,5320,15,255,202.680,49.242
