Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,64,255,213.325,40.003,5320,64,252,197.093,35.561,5320,85,255,203.925,33.484
G2,5320,21,242,126.247,59.817,5320,21,238,124.556,59.419,5320,44,255,159.503,56.127
G3,5320,127,255,211.249,30.013,5320,104,237,185.554,22.363,5320,105,255,195.046,30.295
G4,5320,57,199,115.027,23.618,5320,32,145,85.366,29.532,5320,32,253,111.091,62.647
G5,5320,15,245,141.607,49.682,5320,15,194,112.230,39.634,5320,32,214,133.937,49.911
G6,5320,22,214,132.563,35.332,5320,22,195,113.111,41.752,5320,50,238,143.274,61.765
G7,5320,61,249,166.424,42.153,5320,32,154,99.305,24.198,5320,32,154,99.329,24.198
G8,5320,56,255,211.019,45.063,5320,31,129,92.241,17.117,5320,31,129,92.241,17.117
G9,5320,56,255,169.458,56.017,5320,26,234,112.298,56.595,5320,26,234,112.304,56.605
G10,5320,11,192,113.604,37.386,5320,11,192,113.604,37.386,5320,79,255,204.674,42.197
G11,5320,0,157,55.856,54.574,5320,0,157,55.856,54.574,5320,36,255,171.426,63.415
G12,5320,0,128,20.446,30.081,5320,0,128,20.446,30.081,5320,195,255,246.639,11.406
G13,5320,0,134,40.730,35.880,5320,0,134,40.730,35.880,5320,56,255,180.233,47.896
G14,5320,0,141,31.035,34.050,5320,0,141,31.035,34.050,5320,133,255,218.510,31.128
G15,5320,33,255,177.967,54.876,5320,33,250,165.320,52.941,5320,34,255,204.592,53.111
G16,5320,111,255,220.099,32.210,5320,59,209,131.173,22.419,5320,59,209,131.174,22.423
G17,5320,44,255,177.700,40.757,5320,18,189,91.062,36.357,5320,18,189,91.062,36.357
G18,5320,0,78,11.006,14.116,5320,0,78,11.006,14.116,5320,68,255,207.249,31.254
G19,5320,0,144,113.284,25.001,5320,0,144,113.284,25.001,5320,96,255,221.976,25.525
G20,5320,0,168,62.239,49.190,5320,0,168,62.239,49.190,5320,50,255,173.810,53.568
G21,5320,0,205,77.529,69.026,5320,0,204,77.526,69.020,5320,233,255,250.739,6.073
G22,5320,0,175,77.525,42.416,5320,0,175,77.525,42.416,5320,163,255,237.748,18.754
G23,5320,0,159,36.786,32.125,5320,0,159,36.786,32.125,5320,76,255,193.740,41.724
G24,5320,0,255,127.926,77.633,5320,0,250,127.330,76.753,5320,79,255,239.754,22.988
G25,5320,54,254,211.612,39.914,5320,49,249,195.355,39.999,5320,49,255,203.078,45.376
G26,5320,61,255,178.412,53.867,5320,44,208,115.323,43.364,5320,44,208,115.323,43.364
G27,5320,21,205,103.805,46.445,5320,0,188,98.830,46.894,5320,0,255,241.201,42.831
G28,5320,49,194,142.247,31.281,5320,49,194,142.247,31.281,5320,175,255,244.028,14.829
G29,5320,93,222,172.868,23.338,5320,93,221,172.430,23.202,5320,132,255,218.339,30.646
G30,5320,165,255,236.594,20.696,5320,146,246,197.326,24.548,5320,146,255,209.029,34.766
G31,5320,135,248,208.081,26.911,5320,132,240,185.539,29.806,5320,132,255,201.181,36.945
G32,5320,20,255,194.706,55.463,5320,20,237,160.691,45.746,5320,51,255,190.696,45.360
G33,5320,25,255,169.637,49.950,5320,25,236,149.598,37.222,5320,56,244,160.311,36.109
G34,5320,83,255,199.785,44.925,5320,83,233,179.521,35.878,5320,85,244,183.473,34.972
G35,5320,63,255,171.392,60.848,5320,51,231,153.767,50.307,5320,51,231,155.764,50.672
G36,5320,37,255,216.993,40.553,5320,0,204,32.675,65.165,5320,0,255,39.170,80.467
G37,5320,96,241,159.385,24.963,5320,96,236,159.253,24.824,5320,119,255,225.345,32.475
G38,5320,117,255,216.921,33.008,5320,44,252,204.467,39.246,5320,44,255,218.105,41.037
G39,5320,94,255,216.831,40.680,5320,32,161,119.078,33.150,5320,32,161,119.078,33.150
G40,5320,175,255,226.486,22.303,5320,16,176,109.051,33.439,5320,16,176,109.051,33.439
G41,5320,30,255,225.716,33.664,5320,0,172,41.077,45.602,5320,0,172,41.077,45.602
G42,5320,42,255,172.591,53.859,5320,0,195,115.305,43.251,5320,0,195,115.305,43.251
G43,5320,60,255,177.296,43.085,5320,49,201,140.550,33.138,5320,49,201,140.550,33.138
G44,5320,65,255,174.961,52.140,5320,57,200,141.060,35.299,5320,57,217,141.907,35.593
G45,5320,30,255,187.133,66.126,5320,0,249,126.602,91.251,5320,0,254,127.404,91.466
G46,5320,71,255,216.733,40.460,5320,71,252,209.596,38.867,5320,87,255,218.373,33.033
G47,5320,136,255,233.522,21.871,5320,47,246,147.094,37.231,5320,47,249,147.177,37.421
G48,5320,134,255,202.257,29.380,5320,28,109,58.833,15.667,5320,28,109,58.833,15.667
G49,5320,39,242,128.868,42.760,5320,15,124,72.567,21.075,5320,15,124,72.568,21.075
G50,5320,19,254,167.126,42.412,5320,0,190,105.259,43.881,5320,0,190,105.259,43.881
G51,5320,173,255,231.908,21.363,5320,129,194,171.179,18.062,5320,129,194,171.179,18.062
G52,5320,128,243,199.450,21.683,5320,67,190,119.058,20.829,5320,67,190,119.058,20.829
G53,5320,134,255,220.926,30.470,5320,70,185,137.690,27.175,5320,70,185,137.690,27.175
G54,5320,96,255,192.206,40.675,5320,74,239,178.511,38.836,5320,74,255,195.695,41.649
G55,5320,89,255,200.601,40.242,5320,89,246,184.687,35.185,5320,101,255,202.468,35.885
G56,5320,126,255,234.405,26.133,5320,95,184,155.880,20.129,5320,95,184,155.880,20.129
G57,5320,64,255,191.971,38.743,5320,55,201,120.282,27.768,5320,55,213,120.644,28.338
G58,5320,68,245,195.359,35.469,5320,67,245,188.655,40.086,5320,67,255,195.697,42.716
G59,5320,91,225,153.436,39.647,5320,62,216,130.184,46.188,5320,62,226,131.688,48.318
G60,5320,105,254,203.235,30.299,5320,88,187,150.480,17.554,5320,88,187,150.480,17.554
G61,5320,100,255,207.574,35.274,5320,58,155,124.524,22.077,5320,58,155,124.524,22.077
G62,5320,105,225,163.287,29.344,5320,52,158,102.347,26.574,5320,52,158,102.347,26.574
G63,5320,80,255,187.365,46.977,5320,80,253,185.298,47.629,5320,90,255,210.882,41.822
G64,5320,83,255,185.754,51.586,5320,51,251,137.708,62.721,5320,51,254,137.793,62.874
G65,5320,102,255,187.048,31.878,5320,49,241,157.023,47.444,5320,49,255,178.376,62.672
G66,5320,1,236,96.871,57.256,5320,1,236,96.871,57.256,5320,121,255,236.939,20.852
G67,5320,0,234,69.778,90.354,5320,0,234,69.003,89.216,5320,100,255,224.118,26.185
G68,5320,0,255,198.353,50.086,5320,0,246,187.851,50.502,5320,90,255,214.052,40.840
G69,5320,140,255,226.719,29.236,5320,79,243,154.411,36.978,5320,79,246,154.506,37.185
G70,5320,54,255,225.084,39.946,5320,0,180,123.271,40.808,5320,0,180,123.271,40.808
G71,5320,60,253,182.464,43.314,5320,60,252,180.008,41.537,5320,73,255,220.630,40.889
G72,5320,146,255,234.219,21.703,5320,123,253,201.857,33.952,5320,123,254,202.112,34.246
G73,5320,128,255,228.471,24.226,5320,100,248,193.346,45.510,5320,100,255,205.673,52.152
G74,5320,50,241,146.485,46.061,5320,50,241,143.011,43.937,5320,112,255,232.680,34.803
G75,5320,0,167,89.840,39.933,5320,0,167,89.840,39.933,5320,211,255,251.997,6.239
G76,5320,23,241,120.208,37.056,5320,23,233,120.042,36.593,5320,140,255,229.052,29.276
G77,5320,114,255,223.809,34.510,5320,114,250,196.074,31.843,5320,129,254,205.046,29.958
G78,5320,26,255,190.840,50.887,5320,26,251,168.036,50.822,5320,27,255,200.305,60.606
G79,5320,203,255,238.734,10.742,5320,156,252,221.414,21.921,5320,156,255,226.467,25.963
G80,5320,151,255,247.861,13.705,5320,121,219,172.817,23.562,5320,121,219,172.817,23.562
G81,5320,147,255,247.391,12.516,5320,119,234,192.835,21.832,5320,119,234,192.876,21.779
G82,5320,119,255,205.999,43.246,5320,119,246,200.297,38.198,5320,131,255,226.949,23.188
G83,5320,113,199,148.509,16.050,5320,113,199,148.509,16.050,5320,169,255,230.162,21.331
G84,5320,83,241,172.189,27.854,5320,80,240,166.485,29.200,5320,81,255,200.922,40.374
G85,5320,72,223,164.218,32.694,5320,72,223,164.218,32.694,5320,93,255,219.746,34.481
G86,5320,132,254,219.287,27.198,5320,132,246,216.006,25.170,5320,198,255,244.119,11.238
G87,5320,154,255,233.780,23.092,5320,115,253,199.248,30.148,5320,115,253,199.414,30.277
G88,5320,168,255,234.620,25.161,5320,153,251,216.240,21.047,5320,153,254,220.414,21.587
G89,5320,131,255,214.628,30.139,5320,131,249,212.440,27.759,5320,204,255,244.515,11.263
G90,5320,86,195,126.989,25.882,5320,86,195,126.989,25.882,5320,192,255,243.587,12.904
G91,5320,90,213,165.832,26.255,5320,90,213,165.750,26.265,5320,132,255,240.005,19.442
G92,5320,26,247,155.892,41.105,5320,0,162,50.460,38.282,5320,0,163,50.480,38.327
G93,5320,73,255,202.467,43.190,5320,0,166,48.859,40.322,5320,0,166,48.859,40.322
G94,5320,87,255,195.165,55.283,5320,48,215,131.347,41.712,5320,48,215,131.356,41.723
G95,5320,73,255,185.594,60.556,5320,64,191,140.004,35.214,5320,64,191,140.620,34.592
G96,5320,9,156,51.316,31.624,5320,9,156,51.316,31.624,5320,141,255,241.010,15.965
G97,5320,45,190,152.863,23.396,5320,45,190,152.832,23.360,5320,72,255,218.017,29.420
G98,5320,120,251,186.264,34.015,5320,120,236,181.106,28.550,5320,155,255,239.969,17.722
G99,5320,11,255,164.770,59.602,5320,9,214,100.155,43.545,5320,9,214,100.832,43.705
G100,5320,72,255,196.136,37.520,5320,72,252,188.049,38.562,5320,76,255,201.844,39.962
