Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,55,254,155.552,46.546,5320,55,244,154.266,45.019,5320,66,255,192.795,44.838
G2,5320,30,243,113.654,40.401,5320,30,242,113.654,40.400,5320,69,255,176.615,49.160
G3,5320,102,255,203.890,31.234,5320,66,241,170.071,28.999,5320,66,255,180.480,35.429
G4,5320,19,222,126.757,34.787,5320,17,185,116.640,26.453,5320,17,255,193.020,50.793
G5,5320,43,223,124.961,48.173,5320,42,166,107.573,30.122,5320,42,247,156.347,38.570
G6,5320,48,203,130.146,38.374,5320,48,203,125.903,36.811,5320,64,255,202.878,46.936
G7,5320,83,255,206.160,49.763,5320,51,253,176.873,59.234,5320,51,254,180.319,60.033
G8,5320,38,255,191.537,50.035,5320,24,227,121.179,42.475,5320,24,227,121.181,42.476
G9,5320,54,245,150.855,40.518,5320,32,202,133.777,38.425,5320,32,209,134.174,38.890
G10,5320,58,164,140.224,13.181,5320,58,164,140.224,13.181,5320,160,255,248.675,11.253
G11,5320,5,149,70.844,40.849,5320,5,149,70.844,40.849,5320,81,249,199.762,41.096
G12,5320,11,96,45.946,19.471,5320,11,96,45.946,19.471,5320,88,255,222.139,24.443
G13,5320,0,97,28.220,24.427,5320,0,97,28.220,24.427,5320,156,255,243.123,21.577
G14,5320,0,117,33.533,23.633,5320,0,117,33.533,23.633,5320,81,255,212.715,49.507
G15,5320,1,240,92.997,51.220,5320,1,214,91.557,48.447,5320,103,255,189.375,38.239
G16,5320,17,233,145.901,44.797,5320,17,202,123.831,34.420,5320,83,237,158.666,41.539
G17,5320,61,209,144.610,31.070,5320,37,204,111.692,41.272,5320,37,239,115.646,48.051
G18,5320,0,90,6.279,11.805,5320,0,90,6.279,11.805,5320,92,255,216.428,34.385
G19,5320,14,144,105.203,27.142,5320,14,144,105.203,27.142,5320,129,255,216.236,28.937
G20,5320,12,130,67.021,29.207,5320,12,130,67.021,29.207,5320,79,255,181.680,40.513
G21,5320,17,116,64.778,25.620,5320,17,116,64.778,25.620,5320,74,255,238.277,20.528
G22,5320,0,134,36.208,41.817,5320,0,134,36.208,41.817,5320,46,255,171.754,60.382
G23,5320,0,64,2.307,8.178,5320,0,64,2.307,8.178,5320,62,255,187.160,67.675
G24,5320,0,34,2.182,6.265,5320,0,34,2.182,6.265,5320,120,255,220.699,34.529
G25,5320,0,141,34.364,41.128,5320,0,141,34.364,41.128,5320,64,255,219.742,42.130
G26,5320,34,236,164.260,45.947,5320,34,215,149.919,41.066,5320,57,255,166.620,50.268
G27,5320,12,143,86.767,32.670,5320,12,143,86.767,32.670,5320,127,255,252.167,11.340
G28,5320,45,159,121.646,21.644,5320,45,159,121.646,21.644,5320,173,255,246.218,14.326
G29,5320,98,172,145.653,15.622,5320,98,172,145.653,15.622,5320,182,255,229.469,21.594
G30,5320,39,162,103.449,28.309,5320,39,162,103.449,28.309,5320,97,247,204.755,29.888
G31,5320,43,152,112.967,24.736,5320,43,152,112.967,24.736,5320,107,255,218.507,28.826
G32,5320,0,113,49.224,39.904,5320,0,113,49.224,39.904,5320,49,223,138.928,51.199
G33,5320,0,15,0.150,1.133,5320,0,15,0.150,1.133,5320,41,255,189.112,59.886
G34,5320,0,207,54.478,64.266,5320,0,207,54.478,64.266,5320,55,255,196.563,50.368
G35,5320,63,240,161.876,43.685,5320,63,239,159.718,44.592,5320,63,255,180.819,59.831
G36,5320,48,255,122.779,40.288,5320,48,197,119.764,34.448,5320,82,255,217.304,40.690
G37,5320,45,214,133.193,21.293,5320,45,214,133.193,21.293,5320,86,255,226.255,29.799
G38,5320,98,234,180.470,21.613,5320,98,220,179.401,20.017,5320,161,255,242.757,20.176
G39,5320,39,247,142.661,47.135,5320,39,244,142.585,46.974,5320,98,255,204.597,36.191
G40,5320,101,255,195.725,42.750,5320,101,251,192.543,39.383,5320,193,255,242.921,10.170
G41,5320,15,233,146.012,59.757,5320,15,230,143.090,56.447,5320,108,255,211.308,26.666
G42,5320,1,250,129.004,69.553,5320,1,241,127.279,67.600,5320,52,255,185.366,47.081
G43,5320,3,246,170.464,48.257,5320,3,236,169.572,47.313,5320,55,252,213.051,26.137
