Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,42,229,135.501,50.919,5320,42,226,134.719,49.859,5320,77,255,200.270,42.697
G2,5320,64,192,119.577,33.376,5320,64,192,119.577,33.376,5320,151,255,220.415,28.868
G3,5320,127,255,194.466,28.774,5320,105,243,180.346,27.311,5320,105,255,198.981,35.843
G4,5320,0,239,128.404,69.206,5320,0,239,128.404,69.206,5320,47,255,197.720,59.759
G5,5320,0,16,0.217,1.330,5320,0,16,0.217,1.330,5320,17,255,156.732,69.758
G6,5320,0,179,40.119,52.115,5320,0,179,40.119,52.115,5320,14,255,217.242,49.122
G7,5320,85,255,212.443,39.012,5320,85,242,196.359,32.419,5320,96,255,215.616,34.635
G8,5320,57,255,187.021,49.575,5320,47,198,143.625,34.754,5320,47,198,143.625,34.753
G9,5320,59,255,152.734,46.443,5320,53,210,135.565,37.373,5320,53,217,136.404,37.589
G10,5320,69,144,105.614,17.154,5320,69,144,105.614,17.154,5320,163,255,239.181,14.621
G11,5320,25,97,57.890,16.721,5320,25,97,57.890,16.721,5320,82,255,214.394,42.016
G12,5320,0,112,51.377,25.367,5320,0,112,51.377,25.367,5320,79,255,218.730,32.476
G13,5320,0,43,1.512,5.363,5320,0,43,1.512,5.363,5320,73,248,179.956,37.038
G14,5320,0,87,4.230,11.601,5320,0,87,4.230,11.601,5320,143,255,227.304,21.634
G15,5320,0,210,91.884,37.197,5320,0,210,91.400,36.383,5320,103,255,200.300,33.058
G16,5320,54,221,141.428,37.253,5320,54,182,132.806,28.162,5320,89,255,173.681,36.438
G17,5320,57,237,155.766,40.545,5320,32,227,124.447,48.737,5320,32,255,132.028,60.371
G18,5320,8,81,37.619,15.392,5320,8,81,37.619,15.392,5320,87,255,209.022,34.795
G19,5320,34,146,110.723,22.146,5320,34,146,110.723,22.146,5320,109,255,221.095,23.679
G20,5320,30,171,98.380,33.209,5320,30,171,98.380,33.209,5320,81,255,187.601,44.613
G21,5320,44,180,114.623,34.152,5320,44,180,114.623,34.152,5320,155,255,239.478,16.400
G22,5320,0,158,88.441,42.551,5320,0,158,88.441,42.551,5320,98,255,223.424,32.603
G23,5320,0,92,6.083,16.998,5320,0,92,6.083,16.998,5320,75,255,191.387,53.037
G24,5320,0,63,8.664,15.917,5320,0,63,8.664,15.917,5320,166,255,227.358,27.498
G25,5320,0,175,64.724,44.632,5320,0,175,64.724,44.632,5320,48,255,226.059,43.657
G26,5320,36,245,182.926,46.354,5320,36,223,163.711,41.940,5320,53,255,174.939,47.530
G27,5320,47,200,118.435,34.854,5320,47,200,117.834,34.366,5320,92,255,246.848,23.049
G28,5320,76,154,117.047,17.050,5320,76,154,117.047,17.050,5320,205,255,248.274,12.841
G29,5320,100,176,141.465,17.701,5320,100,176,141.465,17.701,5320,152,255,223.652,27.352
G30,5320,101,182,159.784,14.938,5320,101,182,159.784,14.938,5320,155,255,238.986,18.784
G31,5320,17,168,110.795,38.897,5320,17,168,110.795,38.897,5320,51,255,181.953,51.492
G32,5320,0,102,10.508,16.924,5320,0,102,10.508,16.924,5320,40,255,148.765,55.242
G33,5320,0,37,1.805,4.417,5320,0,37,1.805,4.417,5320,33,255,226.222,37.326
G34,5320,0,253,121.854,85.500,5320,0,240,121.072,84.441,5320,61,255,203.898,48.136
G35,5320,64,255,179.361,48.064,5320,50,249,154.816,50.532,5320,50,255,158.406,54.618
G36,5320,61,255,214.064,41.813,5320,0,210,68.271,72.525,5320,0,255,80.632,92.972
G37,5320,103,196,138.105,17.346,5320,103,196,138.064,17.295,5320,134,255,234.515,23.384
G38,5320,94,184,153.388,20.407,5320,94,184,153.385,20.408,5320,135,255,233.815,27.874
G39,5320,85,255,166.856,41.873,5320,85,226,162.471,35.970,5320,111,255,208.957,37.885
G40,5320,52,200,145.938,37.794,5320,52,200,145.938,37.794,5320,81,255,197.555,50.853
G41,5320,33,224,154.473,45.853,5320,33,223,150.806,42.214,5320,75,255,187.346,35.479
G42,5320,3,255,192.725,58.932,5320,3,215,155.061,44.726,5320,21,228,171.052,38.863
G43,5320,28,255,209.101,32.858,5320,28,230,165.893,33.634,5320,68,230,171.324,31.953
G44,5320,53,255,173.963,48.218,5320,39,212,126.587,34.942,5320,39,213,126.587,34.943
G45,5320,39,255,192.414,56.581,5320,0,216,102.780,87.823,5320,0,255,118.175,103.781
G46,5320,89,204,161.762,26.475,5320,89,204,161.762,26.475,5320,119,255,227.883,31.166
G47,5320,148,235,191.271,22.390,5320,148,235,191.209,22.394,5320,154,255,237.484,18.181
G48,5320,127,255,212.134,24.221,5320,127,240,203.849,19.199,5320,147,255,228.185,23.249
G49,5320,38,186,115.259,37.325,5320,38,186,115.259,37.325,5320,94,255,212.643,41.383
G50,5320,121,222,191.615,18.097,5320,106,206,169.080,21.988,5320,106,255,195.805,42.733
G51,5320,138,255,211.474,30.004,5320,0,147,37.822,42.505,5320,0,147,37.822,42.505
G52,5320,124,255,224.894,36.134,5320,0,115,18.748,30.869,5320,0,115,18.748,30.869
G53,5320,80,255,211.273,40.627,5320,0,137,63.297,37.499,5320,0,137,63.297,37.499
G54,5320,50,234,141.362,43.864,5320,50,205,132.363,39.607,5320,58,255,229.003,44.933
G55,5320,53,191,136.780,33.940,5320,53,191,136.780,33.940,5320,179,255,238.097,19.613
G56,5320,140,237,198.087,16.913,5320,140,237,198.087,16.913,5320,166,255,243.051,16.361
G57,5320,70,241,175.215,44.943,5320,70,241,175.215,44.943,5320,199,255,245.767,10.081
G58,5320,23,142,74.061,19.104,5320,23,142,74.061,19.104,5320,128,255,215.363,28.351
G59,5320,0,229,98.623,65.393,5320,0,215,96.250,61.609,5320,147,255,208.080,24.094
G60,5320,0,255,189.833,46.186,5320,0,237,118.639,70.831,5320,0,255,136.542,84.409
G61,5320,55,252,185.381,46.172,5320,0,146,46.248,38.925,5320,0,146,46.248,38.925
G62,5320,78,255,159.366,40.546,5320,10,157,69.400,32.782,5320,10,157,69.400,32.782
G63,5320,51,234,144.004,42.125,5320,51,230,143.965,42.048,5320,145,255,222.731,25.327
G64,5320,99,254,207.312,36.442,5320,86,233,198.864,32.389,5320,86,252,207.288,28.033
G65,5320,61,255,198.112,47.210,5320,0,242,162.626,76.606,5320,0,255,179.289,77.763
G66,5320,0,237,104.882,60.270,5320,0,237,104.766,60.038,5320,78,255,203.939,43.366
G67,5320,0,106,39.649,36.478,5320,0,106,39.649,36.478,5320,143,255,230.360,25.894
G68,5320,0,255,124.606,86.373,5320,0,243,114.731,75.152,5320,99,253,187.203,31.353
G69,5320,196,255,247.314,9.535,5320,73,245,142.970,37.743,5320,73,248,143.203,38.302
G70,5320,52,255,220.206,48.834,5320,0,157,88.606,41.213,5320,0,157,88.606,41.213
G71,5320,57,255,205.716,36.532,5320,0,248,142.264,90.444,5320,0,248,147.758,93.106
G72,5320,168,255,234.268,19.524,5320,7,245,149.290,58.319,5320,7,245,149.568,58.697
G73,5320,94,255,193.741,40.268,5320,0,206,8.561,24.243,5320,0,210,8.566,24.282
G74,5320,85,255,186.933,43.383,5320,0,236,101.193,83.734,5320,0,255,134.702,108.450
G75,5320,28,154,86.912,29.579,5320,28,154,86.912,29.579,5320,87,252,182.722,36.774
G76,5320,24,208,110.388,36.483,5320,24,205,110.376,36.457,5320,117,255,204.698,31.246
G77,5320,95,255,223.797,36.693,5320,95,248,184.859,30.970,5320,128,252,191.770,28.217
G78,5320,37,255,202.850,35.660,5320,0,252,171.998,71.897,5320,0,255,193.105,84.517
G79,5320,212,255,243.430,11.579,5320,128,253,222.044,21.076,5320,128,255,228.639,25.288
G80,5320,83,255,231.211,39.537,5320,0,242,175.921,68.018,5320,0,243,175.999,68.079
G81,5320,94,255,196.726,40.850,5320,0,249,174.065,67.615,5320,0,255,196.726,72.916
G82,5320,104,193,154.086,20.233,5320,104,193,154.086,20.233,5320,140,255,225.192,21.231
G83,5320,89,183,136.596,25.754,5320,89,183,136.596,25.754,5320,172,255,223.826,23.242
G84,5320,89,255,179.227,43.690,5320,88,242,175.840,41.169,5320,88,255,226.028,30.022
G85,5320,34,221,177.452,21.385,5320,34,221,177.265,21.363,5320,59,255,236.882,19.546
G86,5320,122,255,225.753,24.180,5320,122,253,224.812,23.714,5320,193,255,246.023,10.546
G87,5320,133,255,232.246,24.137,5320,128,254,224.344,24.313,5320,128,255,227.456,25.867
G88,5320,161,255,225.532,20.807,5320,161,248,223.602,18.823,5320,174,255,241.428,17.998
G89,5320,116,219,173.043,22.632,5320,116,219,173.043,22.632,5320,190,255,241.653,17.244
G90,5320,81,161,111.658,14.307,5320,81,161,111.658,14.307,5320,172,255,233.697,18.994
G91,5320,78,213,135.748,30.958,5320,78,213,135.736,30.931,5320,176,255,241.118,18.154
G92,5320,0,255,129.316,85.137,5320,0,232,118.174,76.128,5320,27,255,155.593,61.019
G93,5320,0,136,13.668,25.819,5320,0,136,13.668,25.819,5320,61,255,213.663,47.975
G94,5320,0,96,26.343,24.432,5320,0,96,26.343,24.432,5320,60,255,163.227,47.962
G95,5320,25,250,66.113,44.513,5320,25,196,63.520,36.387,5320,47,198,130.705,34.863
G96,5320,30,217,126.447,43.824,5320,30,217,126.447,43.824,5320,71,255,225.440,32.499
G97,5320,51,215,122.264,34.190,5320,51,175,121.035,33.024,5320,108,255,201.622,41.067
G98,5320,68,255,195.008,50.962,5320,0,175,75.231,59.005,5320,0,255,88.774,75.483
G99,5320,8,245,170.620,48.004,5320,0,158,27.659,45.364,5320,0,158,27.659,45.364
G100,5320,132,255,208.028,29.704,5320,90,243,182.712,28.790,5320,90,255,198.243,37.578
