Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,193,255,242.838,11.503,5320,26,171,69.519,28.565,5320,26,171,69.519,28.565
G2,5320,73,255,224.952,41.039,5320,0,86,23.144,22.659,5320,0,86,23.144,22.659
G3,5320,47,255,225.900,45.006,5320,0,115,65.311,31.820,5320,0,115,65.311,31.820
G4,5320,46,255,161.103,48.641,5320,0,57,10.158,15.875,5320,0,57,10.158,15.875
G5,5320,48,252,133.528,45.795,5320,0,34,7.558,8.154,5320,0,34,7.558,8.154
G6,5320,53,255,213.789,47.365,5320,0,115,63.401,35.327,5320,0,115,63.401,35.327
G7,5320,73,255,198.553,38.961,5320,23,115,76.351,20.752,5320,23,115,76.351,20.752
G8,5320,52,255,189.184,55.189,5320,28,93,52.011,11.986,5320,28,93,52.011,11.986
G9,5320,58,251,170.374,39.587,5320,0,162,59.488,40.387,5320,0,162,59.488,40.387
G10,5320,135,255,234.612,28.552,5320,88,214,163.486,26.076,5320,88,234,166.401,28.869
G11,5320,185,255,233.020,18.226,5320,42,194,123.696,40.303,5320,42,194,123.696,40.303
G12,5320,149,255,245.501,15.903,5320,0,141,71.422,30.734,5320,0,141,71.422,30.734
G13,5320,95,250,191.098,30.916,5320,0,97,26.933,21.049,5320,0,97,26.933,21.049
G14,5320,40,255,195.534,52.070,5320,14,173,83.142,31.925,5320,14,173,83.142,31.925
G15,5320,36,255,194.741,40.672,5320,12,138,68.898,26.683,5320,12,138,68.898,26.683
G16,5320,169,255,230.986,21.991,5320,38,152,76.329,28.533,5320,38,152,76.329,28.533
G17,5320,63,253,159.044,46.457,5320,0,135,50.855,32.775,5320,0,135,50.855,32.775
G18,5320,29,199,130.731,39.827,5320,29,199,130.731,39.827,5320,69,250,205.486,39.621
G19,5320,98,255,207.810,38.966,5320,98,253,194.888,35.546,5320,127,255,209.312,31.747
G20,5320,191,255,238.233,16.836,5320,140,245,199.356,19.736,5320,140,246,199.357,19.737
G21,5320,131,255,220.427,33.957,5320,28,247,149.081,49.617,5320,28,247,149.089,49.628
G22,5320,71,255,168.261,51.921,5320,6,183,70.767,49.275,5320,6,183,70.768,49.275
G23,5320,53,255,185.375,55.053,5320,34,228,163.924,52.315,5320,34,255,176.430,58.896
G24,5320,201,255,248.898,10.349,5320,116,201,177.759,22.354,5320,116,201,177.789,22.365
G25,5320,50,255,216.182,41.121,5320,33,201,145.237,31.818,5320,33,201,145.237,31.818
G26,5320,65,246,166.196,36.975,5320,39,139,73.388,17.824,5320,39,139,73.388,17.824
G27,5320,32,203,151.730,34.064,5320,32,203,151.730,34.064,5320,76,255,227.396,36.553
G28,5320,122,255,216.611,25.020,5320,122,250,213.763,22.680,5320,143,255,238.959,21.441
G29,5320,135,255,224.274,26.824,5320,131,250,215.472,27.192,5320,131,255,219.667,29.183
G30,5320,109,255,193.743,37.221,5320,100,247,184.380,32.036,5320,100,255,199.751,36.868
G31,5320,85,255,191.480,45.873,5320,21,199,105.556,38.737,5320,21,199,105.556,38.737
G32,5320,44,255,166.102,61.856,5320,0,180,49.884,47.190,5320,0,180,49.884,47.190
G33,5320,41,255,206.370,52.256,5320,0,191,96.891,52.528,5320,0,191,96.891,52.528
G34,5320,70,255,212.362,45.656,5320,45,178,138.174,33.318,5320,45,178,138.174,33.318
G35,5320,68,255,170.004,49.080,5320,42,179,112.602,36.058,5320,42,179,112.602,36.058
G36,5320,34,219,140.695,50.802,5320,34,219,140.695,50.802,5320,95,255,226.707,32.178
G37,5320,127,255,207.357,37.966,5320,127,249,201.080,32.761,5320,147,255,219.858,28.382
G38,5320,114,255,217.012,38.304,5320,104,240,182.317,33.425,5320,104,240,184.381,32.160
G39,5320,105,255,202.640,38.379,5320,82,214,149.614,29.968,5320,82,234,153.469,31.277
G40,5320,91,255,224.236,35.076,5320,0,192,125.861,45.871,5320,0,192,125.861,45.871
G41,5320,34,255,170.186,58.646,5320,0,174,85.581,54.211,5320,0,174,85.581,54.211
G42,5320,35,255,173.448,41.940,5320,0,175,112.205,31.738,5320,0,175,112.205,31.738
G43,5320,114,255,223.579,23.576,5320,53,156,125.747,18.136,5320,53,156,125.747,18.136
G44,5320,47,255,149.490,52.039,5320,22,178,98.843,42.556,5320,22,178,98.906,42.558
G45,5320,5,255,162.395,59.528,5320,3,246,156.011,55.463,5320,13,255,177.193,51.029
G46,5320,153,255,232.257,24.885,5320,134,243,181.121,22.487,5320,134,247,182.860,23.583
G47,5320,210,255,249.533,7.122,5320,26,176,116.543,36.024,5320,26,176,116.543,36.024
G48,5320,185,255,239.270,17.004,5320,11,101,50.941,25.128,5320,11,101,50.941,25.128
G49,5320,122,255,243.954,19.327,5320,0,94,24.114,26.765,5320,0,94,24.114,26.765
G50,5320,98,255,240.358,25.278,5320,0,164,37.404,42.643,5320,0,164,37.404,42.643
G51,5320,102,255,217.851,33.624,5320,16,151,46.032,22.718,5320,16,151,46.032,22.718
