Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,222,255,243.577,8.967,5320,53,196,101.178,28.845,5320,53,196,101.178,28.845
G2,5320,62,255,219.457,45.873,5320,0,134,54.621,35.128,5320,0,134,54.621,35.128
G3,5320,54,255,225.536,42.149,5320,0,134,89.499,31.444,5320,0,134,89.499,31.444
G4,5320,43,255,169.895,47.038,5320,0,109,41.199,28.631,5320,0,109,41.199,28.631
G5,5320,35,255,168.626,55.296,5320,0,100,42.622,29.906,5320,0,100,42.622,29.906
G6,5320,57,255,180.727,56.461,5320,0,134,53.778,41.888,5320,0,134,53.778,41.888
G7,5320,81,255,193.438,35.217,5320,35,134,90.298,20.172,5320,35,134,90.298,20.172
G8,5320,61,255,192.353,50.440,5320,34,111,64.161,13.797,5320,34,111,64.161,13.797
G9,5320,54,254,167.881,40.475,5320,0,162,63.859,41.409,5320,0,162,63.859,41.409
G10,5320,129,255,228.227,35.765,5320,128,240,193.077,28.902,5320,129,240,201.263,25.504
G11,5320,126,255,228.669,24.461,5320,76,248,166.041,42.640,5320,76,250,167.695,43.702
G12,5320,118,255,227.302,22.667,5320,27,223,137.970,36.437,5320,27,223,138.103,36.589
G13,5320,47,255,189.947,53.938,5320,4,196,100.101,45.165,5320,4,196,100.101,45.165
G14,5320,62,253,215.517,34.922,5320,29,196,115.762,29.821,5320,29,196,115.762,29.821
G15,5320,47,255,187.018,38.752,5320,20,184,87.620,38.495,5320,20,184,87.620,38.495
G16,5320,164,255,228.029,22.047,5320,52,201,93.487,36.133,5320,52,201,93.487,36.133
G17,5320,62,241,157.702,45.295,5320,0,154,57.363,36.458,5320,0,154,57.363,36.458
G18,5320,22,172,106.710,33.744,5320,22,172,106.710,33.744,5320,66,251,205.849,38.141
G19,5320,75,254,184.727,42.239,5320,75,240,183.202,40.913,5320,119,255,219.650,30.568
G20,5320,147,254,204.007,21.640,5320,147,246,203.693,21.085,5320,165,255,230.166,23.459
G21,5320,169,255,236.279,14.064,5320,165,252,228.601,14.515,5320,165,255,239.689,17.209
G22,5320,54,252,163.372,40.966,5320,45,251,150.378,41.018,5320,45,255,170.450,54.579
G23,5320,159,255,226.506,22.856,5320,128,241,188.991,26.204,5320,128,248,193.989,29.676
G24,5320,202,255,241.288,12.135,5320,147,253,217.044,23.304,5320,147,255,221.154,27.005
