Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,238.328,11.000,5320,93,250,181.937,38.810,5320,93,255,187.167,44.740
G2,5320,51,255,209.715,52.660,5320,37,244,179.280,46.618,5320,37,255,181.736,47.432
G3,5320,49,255,215.267,43.326,5320,32,215,173.989,35.763,5320,32,215,173.989,35.763
G4,5320,48,239,149.490,35.763,5320,41,200,116.625,27.990,5320,41,200,117.351,28.296
G5,5320,57,255,223.429,26.207,5320,45,207,152.701,21.307,5320,45,207,152.701,21.307
G6,5320,84,255,172.434,50.501,5320,0,137,42.619,47.124,5320,0,137,42.619,47.124
G7,5320,53,237,157.986,36.285,5320,0,9,0.075,0.580,5320,0,9,0.075,0.580
G8,5320,40,255,209.260,42.108,5320,0,50,18.569,18.081,5320,0,50,18.569,18.081
G9,5320,38,218,142.549,41.149,5320,30,215,117.321,54.149,5320,30,246,128.565,59.595
G10,5320,55,220,154.630,35.495,5320,55,220,154.629,35.494,5320,129,255,229.961,21.724
G11,5320,61,223,133.479,32.553,5320,61,223,133.440,32.538,5320,102,255,209.616,32.749
G12,5320,76,198,153.152,23.561,5320,63,196,151.620,22.536,5320,63,237,183.563,20.421
G13,5320,40,255,192.152,52.468,5320,0,190,77.276,54.971,5320,0,190,77.383,55.169
G14,5320,34,255,200.654,39.486,5320,0,115,49.868,25.250,5320,0,115,49.868,25.250
G15,5320,132,255,203.027,29.682,5320,0,94,30.957,30.107,5320,0,94,30.957,30.107
G16,5320,189,255,242.086,12.690,5320,0,113,21.573,25.315,5320,0,113,21.573,25.315
G17,5320,37,255,143.461,51.349,5320,37,191,87.962,29.601,5320,38,224,96.912,36.189
G18,5320,3,146,50.361,40.247,5320,3,146,50.361,40.247,5320,47,255,203.874,53.230
G19,5320,8,233,127.396,40.246,5320,8,233,127.396,40.246,5320,74,255,197.244,31.928
G20,5320,84,250,164.498,42.013,5320,84,246,163.437,40.512,5320,161,255,228.865,22.698
G21,5320,128,248,173.539,29.868,5320,128,246,172.243,28.737,5320,140,255,212.576,30.660
G22,5320,64,242,189.508,29.030,5320,4,242,169.775,39.377,5320,4,254,174.354,42.408
G23,5320,26,253,160.513,48.979,5320,4,231,107.588,47.173,5320,4,243,111.817,53.211
G24,5320,62,255,233.766,22.013,5320,42,250,163.267,46.034,5320,42,255,170.750,54.432
G25,5320,56,255,211.469,50.075,5320,30,219,94.729,26.907,5320,30,221,94.790,27.092
G26,5320,73,255,183.697,30.658,5320,36,117,83.652,14.946,5320,36,117,83.652,14.946
G27,5320,16,204,137.451,33.927,5320,16,204,137.451,33.927,5320,119,255,246.481,20.789
G28,5320,120,255,193.378,33.299,5320,120,250,190.645,31.143,5320,165,255,232.366,23.456
G29,5320,138,255,223.476,26.111,5320,10,247,142.698,67.032,5320,10,247,143.127,67.495
G30,5320,136,255,222.026,24.154,5320,13,247,85.837,53.104,5320,13,253,85.984,53.510
G31,5320,133,255,223.611,32.948,5320,76,247,153.892,40.257,5320,76,254,154.176,40.847
G32,5320,96,248,180.638,41.557,5320,42,136,96.540,23.954,5320,42,136,96.540,23.954
G33,5320,33,233,132.508,43.371,5320,33,224,115.366,45.433,5320,46,255,158.199,68.934
G34,5320,38,255,219.579,42.900,5320,38,229,149.965,26.509,5320,41,238,152.665,27.995
G35,5320,76,255,161.296,47.436,5320,28,147,56.450,28.188,5320,28,147,56.450,28.188
G36,5320,2,233,71.931,74.026,5320,2,232,71.900,73.977,5320,65,255,236.095,30.719
G37,5320,48,255,220.413,25.167,5320,31,251,202.080,36.070,5320,31,255,215.820,41.248
G38,5320,144,255,231.750,27.784,5320,0,251,95.594,75.378,5320,0,252,95.619,75.417
G39,5320,181,255,237.753,15.209,5320,0,84,11.049,15.371,5320,0,84,11.049,15.371
G40,5320,117,255,218.962,24.129,5320,0,145,58.402,40.746,5320,0,145,58.402,40.746
G41,5320,124,255,204.089,37.516,5320,0,146,34.825,40.627,5320,0,146,34.825,40.627
G42,5320,111,255,228.107,27.026,5320,0,149,66.971,36.210,5320,0,149,66.971,36.211
G43,5320,154,255,225.684,17.468,5320,23,150,79.892,29.084,5320,23,150,79.892,29.084
G44,5320,34,244,154.145,48.236,5320,12,92,46.798,16.308,5320,12,92,46.798,16.308
G45,5320,3,216,72.299,60.860,5320,3,210,71.790,60.140,5320,20,255,172.640,60.946
G46,5320,50,255,197.821,43.739,5320,0,223,84.223,60.219,5320,0,225,87.104,61.954
G47,5320,204,255,249.412,7.755,5320,0,22,0.287,1.609,5320,0,22,0.287,1.609
G48,5320,217,255,249.607,8.311,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
