Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,176,255,243.387,13.971,5320,43,170,115.989,34.312,5320,43,170,115.989,34.312
G2,5320,186,255,244.413,15.272,5320,131,196,162.055,15.019,5320,131,198,162.085,15.078
G3,5320,159,255,243.115,14.013,5320,76,223,181.205,25.000,5320,76,223,181.205,25.000
G4,5320,36,246,130.566,56.100,5320,36,231,124.574,48.284,5320,48,244,154.478,44.085
G5,5320,33,187,112.258,33.283,5320,33,187,112.258,33.283,5320,62,245,194.188,39.365
G6,5320,67,173,130.368,19.121,5320,62,173,130.240,19.394,5320,62,255,220.135,43.825
G7,5320,50,233,133.484,43.297,5320,38,228,119.257,41.459,5320,38,245,131.167,51.093
G8,5320,53,255,185.984,56.714,5320,34,190,101.572,22.476,5320,34,190,101.588,22.485
G9,5320,52,255,191.728,61.624,5320,24,194,93.710,36.956,5320,24,194,93.710,36.956
G10,5320,112,255,237.147,29.406,5320,102,215,177.312,13.942,5320,102,215,177.312,13.942
G11,5320,193,255,243.979,12.914,5320,130,238,193.174,21.822,5320,130,238,193.255,21.850
G12,5320,171,255,224.644,20.867,5320,124,251,214.893,18.155,5320,124,252,226.736,15.543
G13,5320,98,216,177.599,20.441,5320,0,204,126.196,61.208,5320,0,249,143.205,76.042
G14,5320,92,255,180.552,45.148,5320,0,231,99.910,61.660,5320,0,255,132.233,88.432
G15,5320,89,244,177.445,40.372,5320,89,242,177.196,40.096,5320,119,255,219.001,31.469
G16,5320,128,255,204.534,29.509,5320,100,248,165.498,36.263,5320,100,252,173.577,42.611
G17,5320,43,255,206.583,50.254,5320,11,253,117.071,48.968,5320,11,254,117.085,49.006
G18,5320,44,236,175.223,41.529,5320,44,236,173.319,41.550,5320,48,255,188.150,47.520
G19,5320,97,255,215.813,29.532,5320,87,252,177.973,28.255,5320,87,255,178.935,30.343
G20,5320,220,255,247.470,10.101,5320,159,196,175.409,6.733,5320,159,196,175.409,6.733
G21,5320,145,255,243.623,21.567,5320,90,216,173.131,26.598,5320,90,216,173.131,26.598
G22,5320,64,243,161.804,44.235,5320,0,124,13.746,28.178,5320,0,124,13.746,28.178
G23,5320,26,255,224.135,38.974,5320,0,174,2.924,15.404,5320,0,181,3.115,16.271
G24,5320,26,215,96.249,47.570,5320,0,209,86.170,46.060,5320,0,255,190.825,64.228
G25,5320,38,250,137.047,54.786,5320,38,249,136.864,54.568,5320,55,255,225.080,33.836
G26,5320,42,255,168.551,49.856,5320,42,253,119.921,51.256,5320,49,255,122.253,53.242
G27,5320,98,224,140.643,29.761,5320,98,224,140.643,29.761,5320,209,255,247.164,11.257
G28,5320,101,247,194.709,41.531,5320,81,245,182.910,37.956,5320,81,255,214.015,42.194
G29,5320,63,255,208.617,51.516,5320,34,178,126.963,37.145,5320,34,178,126.963,37.145
G30,5320,128,255,236.493,26.214,5320,0,163,85.498,48.676,5320,0,163,85.498,48.676
G31,5320,53,243,179.848,28.995,5320,0,226,133.576,47.405,5320,0,250,135.887,50.854
G32,5320,32,244,161.805,49.249,5320,0,244,158.363,52.833,5320,0,255,192.282,59.504
G33,5320,17,215,129.896,43.229,5320,17,202,129.711,42.992,5320,48,255,193.505,52.567
G34,5320,20,224,104.828,59.014,5320,20,224,104.828,59.014,5320,51,255,159.813,56.537
G35,5320,61,250,180.349,52.395,5320,42,250,166.761,64.930,5320,42,255,179.741,75.540
G36,5320,0,150,103.803,39.833,5320,0,150,103.803,39.833,5320,25,255,222.320,36.517
G37,5320,60,251,157.654,55.974,5320,60,251,157.482,55.884,5320,114,255,220.367,30.650
G38,5320,74,254,174.547,38.479,5320,26,254,156.267,55.951,5320,26,255,165.801,61.067
G39,5320,91,255,184.260,35.406,5320,0,226,98.718,73.980,5320,0,255,107.999,84.451
G40,5320,108,255,214.011,38.851,5320,79,252,200.588,37.798,5320,79,253,204.176,38.216
G41,5320,35,255,201.084,51.076,5320,0,251,124.356,91.808,5320,0,255,125.630,93.351
G42,5320,61,251,188.194,35.160,5320,0,221,135.481,69.712,5320,0,250,140.596,73.610
G43,5320,29,221,148.185,49.847,5320,29,221,148.136,49.800,5320,46,255,192.821,54.829
G44,5320,50,250,157.730,49.805,5320,46,250,150.339,54.592,5320,46,254,169.616,58.564
G45,5320,0,255,87.865,83.274,5320,0,245,86.252,80.337,5320,0,248,149.309,58.884
G46,5320,71,251,182.357,44.712,5320,71,250,179.916,44.006,5320,102,255,209.166,35.036
G47,5320,143,252,210.183,23.184,5320,143,249,209.125,22.603,5320,196,255,237.370,16.607
G48,5320,88,249,157.198,26.297,5320,88,248,157.173,26.232,5320,130,255,213.642,24.543
G49,5320,146,255,240.011,21.246,5320,37,253,198.205,48.872,5320,37,253,200.570,50.356
G50,5320,38,255,167.426,56.871,5320,0,157,13.256,27.426,5320,0,157,13.256,27.426
G51,5320,32,255,176.360,54.809,5320,0,216,43.521,67.536,5320,0,232,43.682,67.953
G52,5320,24,245,141.434,62.580,5320,24,221,132.515,56.063,5320,50,255,162.739,56.099
G53,5320,16,200,124.585,53.622,5320,16,200,124.585,53.622,5320,25,255,180.466,65.497
G54,5320,132,255,240.396,18.134,5320,132,238,195.535,21.147,5320,139,238,196.332,21.477
G55,5320,91,255,193.572,37.922,5320,51,226,133.657,37.483,5320,51,226,133.683,37.515
G56,5320,182,255,238.566,14.167,5320,100,233,173.156,32.154,5320,100,235,173.754,33.038
G57,5320,165,255,229.395,20.428,5320,165,253,212.884,16.515,5320,177,254,217.902,15.719
G58,5320,165,255,207.534,19.712,5320,76,245,164.828,34.712,5320,76,245,165.460,35.459
G59,5320,39,255,223.760,34.970,5320,0,158,83.642,41.323,5320,0,158,83.642,41.323
G60,5320,32,255,193.919,43.480,5320,0,185,109.127,65.175,5320,0,185,109.127,65.175
G61,5320,136,255,227.290,27.445,5320,96,244,190.528,26.319,5320,96,252,195.006,31.349
G62,5320,69,247,181.680,38.038,5320,0,247,126.339,77.966,5320,0,255,141.389,92.107
G63,5320,106,255,226.218,40.883,5320,57,250,186.512,51.474,5320,57,255,188.338,53.248
G64,5320,117,255,218.309,34.225,5320,68,218,170.620,41.181,5320,68,218,170.675,41.207
G65,5320,193,255,239.088,14.708,5320,122,225,191.824,23.202,5320,122,225,191.824,23.202
G66,5320,181,255,234.873,20.556,5320,127,242,196.747,28.787,5320,127,242,196.748,28.788
G67,5320,44,255,205.561,29.016,5320,34,222,170.668,37.282,5320,34,222,170.669,37.282
