Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,147,255,235.442,23.104,5320,28,180,124.443,41.247,5320,28,180,124.443,41.247
G2,5320,141,255,245.487,16.468,5320,140,246,194.823,20.843,5320,147,247,196.282,21.642
G3,5320,138,255,242.619,19.055,5320,61,247,198.042,36.347,5320,61,248,198.271,36.464
G4,5320,39,215,109.832,32.213,5320,39,215,109.829,32.205,5320,89,249,198.909,33.784
G5,5320,31,108,75.991,20.374,5320,31,108,75.991,20.374,5320,90,252,213.336,36.313
G6,5320,4,114,46.402,29.170,5320,4,114,46.402,29.170,5320,89,251,210.667,30.793
G7,5320,17,248,118.734,56.512,5320,17,244,113.669,54.341,5320,49,255,143.013,53.737
G8,5320,55,255,194.055,59.952,5320,42,188,102.611,22.635,5320,42,199,102.945,23.167
G9,5320,48,255,183.460,61.839,5320,22,212,90.086,45.807,5320,22,212,90.086,45.807
G10,5320,133,255,238.964,22.096,5320,116,224,189.850,15.199,5320,116,224,189.850,15.200
G11,5320,161,255,236.211,18.449,5320,147,253,202.258,20.033,5320,147,255,203.556,20.857
G12,5320,84,243,177.759,41.664,5320,84,243,177.345,41.520,5320,158,255,219.122,26.254
G13,5320,29,242,130.727,55.447,5320,29,242,130.727,55.447,5320,76,255,194.275,34.120
G14,5320,13,218,106.895,70.482,5320,13,218,106.895,70.482,5320,72,253,184.351,38.865
G15,5320,15,255,214.594,52.000,5320,15,248,207.816,49.655,5320,105,255,228.236,26.123
G16,5320,168,255,221.674,24.903,5320,87,218,146.973,32.900,5320,87,218,146.973,32.900
G17,5320,51,255,205.848,49.961,5320,12,194,93.005,35.307,5320,12,194,93.005,35.307
G18,5320,22,239,170.777,39.146,5320,22,236,168.949,37.453,5320,41,255,201.633,28.638
G19,5320,137,255,219.881,30.396,5320,119,232,195.945,25.221,5320,119,255,198.284,27.867
G20,5320,188,255,244.857,12.851,5320,165,227,199.142,10.228,5320,165,227,199.142,10.228
G21,5320,206,255,247.858,9.732,5320,158,253,225.853,20.539,5320,158,255,227.542,21.807
G22,5320,136,255,222.337,27.557,5320,127,251,189.598,30.597,5320,127,255,190.767,31.623
G23,5320,149,255,205.165,29.610,5320,103,235,181.308,30.283,5320,103,236,184.472,32.127
G24,5320,133,254,208.342,31.636,5320,97,248,202.133,35.497,5320,97,255,208.888,37.921
G25,5320,57,255,222.242,34.236,5320,43,244,190.730,36.768,5320,43,251,191.026,37.168
G26,5320,54,255,172.064,45.324,5320,39,196,99.441,37.397,5320,39,196,99.441,37.397
G27,5320,23,186,108.190,20.412,5320,23,186,108.190,20.412,5320,43,255,232.741,30.260
G28,5320,93,243,182.271,41.312,5320,87,242,180.311,40.102,5320,89,255,221.748,39.344
G29,5320,64,255,196.741,54.097,5320,24,217,149.091,47.436,5320,24,217,149.107,47.442
G30,5320,111,255,231.871,22.484,5320,0,205,92.663,65.672,5320,0,205,92.663,65.672
G31,5320,117,255,211.312,38.757,5320,4,185,106.487,41.096,5320,4,185,106.487,41.096
G32,5320,92,255,212.794,45.609,5320,33,187,130.872,41.044,5320,33,187,130.872,41.044
G33,5320,39,255,187.635,53.175,5320,14,204,97.370,43.735,5320,14,204,97.370,43.735
G34,5320,40,255,168.363,54.601,5320,22,202,119.430,43.680,5320,22,213,120.008,44.145
G35,5320,64,255,191.858,59.876,5320,40,217,147.992,55.541,5320,40,217,147.992,55.541
G36,5320,0,149,96.855,34.049,5320,0,149,96.855,34.049,5320,65,255,225.840,30.446
G37,5320,62,254,149.239,65.763,5320,62,253,148.589,64.894,5320,125,255,217.148,29.731
G38,5320,43,255,176.706,52.702,5320,0,249,133.459,73.238,5320,0,249,133.609,73.354
G39,5320,9,255,214.586,49.823,5320,0,187,13.055,40.173,5320,0,187,13.055,40.173
G40,5320,33,255,177.360,44.420,5320,0,221,116.515,67.156,5320,0,221,116.515,67.156
G41,5320,194,255,242.693,12.270,5320,35,222,163.553,41.437,5320,35,222,163.553,41.437
G42,5320,22,255,187.488,45.252,5320,10,217,128.028,51.091,5320,10,217,128.035,51.099
G43,5320,43,242,171.811,57.132,5320,43,242,166.722,57.361,5320,50,255,192.717,59.574
G44,5320,50,255,161.067,49.864,5320,43,205,134.887,40.413,5320,43,206,142.271,43.500
G45,5320,0,255,97.408,68.333,5320,0,251,96.434,66.255,5320,33,252,154.755,47.627
G46,5320,57,255,177.042,55.289,5320,57,247,169.962,51.990,5320,85,255,197.396,42.448
G47,5320,96,255,219.402,40.635,5320,58,253,205.698,42.970,5320,58,255,206.274,43.456
G48,5320,0,255,199.869,37.824,5320,0,193,149.180,34.292,5320,0,193,149.180,34.292
G49,5320,82,251,210.408,37.343,5320,24,195,152.461,39.828,5320,24,195,152.461,39.828
G50,5320,77,255,209.343,37.921,5320,0,140,23.476,22.765,5320,0,140,23.476,22.765
G51,5320,76,255,201.691,39.976,5320,0,202,49.963,54.073,5320,0,202,49.963,54.073
G52,5320,28,234,150.740,50.659,5320,28,225,137.770,50.193,5320,48,255,160.247,56.919
G53,5320,20,209,126.632,57.215,5320,20,209,126.632,57.215,5320,28,255,171.918,71.083
G54,5320,130,255,235.364,26.556,5320,130,247,206.598,22.810,5320,148,247,208.547,21.288
G55,5320,89,255,185.420,38.455,5320,49,210,127.888,35.692,5320,49,210,127.888,35.692
G56,5320,120,255,203.199,32.770,5320,73,214,148.039,32.792,5320,73,214,148.039,32.792
G57,5320,184,255,243.827,14.470,5320,159,239,207.198,19.406,5320,159,239,207.198,19.406
G58,5320,46,255,186.021,56.440,5320,0,230,115.996,80.575,5320,0,230,115.988,80.572
G59,5320,36,255,219.645,40.298,5320,0,163,22.671,41.217,5320,0,163,22.671,41.217
G60,5320,30,255,190.947,45.574,5320,6,186,109.936,57.899,5320,6,186,109.936,57.899
G61,5320,111,255,229.336,28.454,5320,73,245,185.162,30.142,5320,73,254,188.893,35.037
G62,5320,60,246,186.988,33.372,5320,0,242,117.317,76.560,5320,0,255,128.324,89.127
G63,5320,156,255,237.509,23.710,5320,87,248,180.015,41.056,5320,87,255,180.487,41.801
G64,5320,149,255,222.207,28.660,5320,0,217,153.070,44.344,5320,0,217,153.070,44.344
G65,5320,128,255,231.375,24.923,5320,0,240,195.521,40.108,5320,0,240,195.521,40.108
G66,5320,108,250,213.742,25.341,5320,16,229,174.849,42.089,5320,16,229,174.849,42.089
G67,5320,58,255,207.624,36.642,5320,1,211,144.679,49.374,5320,1,211,144.679,49.374
G68,5320,171,255,223.750,14.811,5320,144,211,184.347,14.228,5320,144,211,184.347,14.228
G69,5320,97,255,199.785,39.939,5320,30,198,123.162,47.946,5320,30,198,123.162,47.946
G70,5320,36,255,170.562,58.570,5320,0,106,10.781,18.168,5320,0,106,10.781,18.168
G71,5320,105,255,200.842,35.896,5320,104,243,186.356,32.445,5320,104,255,196.563,37.683
G72,5320,147,255,217.339,32.162,5320,0,223,96.401,73.770,5320,0,223,96.401,73.770
G73,5320,52,255,211.176,41.884,5320,0,117,8.694,18.407,5320,0,117,8.694,18.407
G74,5320,48,255,191.608,47.061,5320,0,234,106.902,83.894,5320,0,234,109.387,85.337
G75,5320,114,239,194.766,27.894,5320,90,239,180.861,32.109,5320,90,255,183.578,33.697
G76,5320,143,255,198.680,32.400,5320,134,241,181.810,28.262,5320,134,255,184.254,30.279
G77,5320,59,255,209.268,36.735,5320,32,227,147.840,46.686,5320,32,227,147.840,46.686
G78,5320,22,255,182.990,33.563,5320,13,243,180.894,35.342,5320,13,255,226.834,32.278
G79,5320,134,255,208.487,29.642,5320,70,248,191.963,40.522,5320,70,255,200.309,46.285
G80,5320,46,219,149.836,32.223,5320,21,218,135.541,39.891,5320,21,255,184.146,60.704
G81,5320,52,200,141.679,24.333,5320,39,200,141.531,24.614,5320,40,255,211.899,41.764
G82,5320,82,233,153.055,43.975,5320,82,233,153.055,43.975,5320,159,255,224.519,21.881
G83,5320,99,254,177.863,40.044,5320,99,252,176.782,38.801,5320,115,255,230.703,23.867
G84,5320,0,255,200.012,33.257,5320,0,255,127.730,51.749,5320,0,255,128.006,52.235
G85,5320,85,194,142.817,17.189,5320,85,194,142.817,17.189,5320,130,255,228.525,20.803
G86,5320,132,255,200.597,32.305,5320,132,252,196.783,28.220,5320,137,255,238.118,17.893
G87,5320,67,255,200.406,45.347,5320,67,249,191.473,39.929,5320,110,255,218.998,26.026
G88,5320,38,193,110.926,36.471,5320,38,193,110.926,36.471,5320,150,255,222.028,18.634
G89,5320,74,137,99.239,13.459,5320,74,137,99.239,13.459,5320,184,255,243.102,16.735
G90,5320,63,237,110.415,40.677,5320,63,235,110.406,40.651,5320,199,255,239.481,14.884
G91,5320,28,255,170.571,46.233,5320,10,255,159.595,49.832,5320,10,255,174.071,57.366
G92,5320,22,238,127.242,65.299,5320,22,234,112.465,53.977,5320,37,242,131.479,46.414
G93,5320,46,254,166.716,63.738,5320,46,238,147.189,47.883,5320,109,249,177.692,28.687
G94,5320,59,185,127.621,31.550,5320,59,185,127.621,31.550,5320,86,255,198.111,48.095
G95,5320,48,234,148.970,48.538,5320,48,234,148.969,48.540,5320,69,255,181.159,51.199
G96,5320,91,255,214.133,41.668,5320,91,248,200.344,36.427,5320,111,255,215.479,29.848
G97,5320,93,255,218.875,34.455,5320,93,248,197.882,27.125,5320,98,255,201.129,26.188
G98,5320,85,245,191.595,24.880,5320,85,245,191.304,24.671,5320,108,255,231.645,26.186
G99,5320,24,245,136.537,52.100,5320,8,233,110.099,62.281,5320,8,255,128.177,80.490
G100,5320,26,225,143.221,39.799,5320,26,225,143.193,39.819,5320,30,255,190.430,47.280
