Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,150,255,240.302,15.045,5320,80,249,197.878,33.760,5320,80,255,201.262,36.929
G2,5320,162,255,228.509,21.141,5320,162,250,222.172,16.322,5320,174,255,234.570,18.162
G3,5320,144,255,227.666,24.155,5320,98,250,202.260,37.845,5320,98,255,205.440,40.417
G4,5320,53,225,179.122,28.953,5320,53,225,179.122,28.953,5320,113,255,240.490,22.381
G5,5320,0,161,47.349,39.921,5320,0,161,47.349,39.921,5320,41,252,151.395,46.729
G6,5320,0,223,110.802,68.402,5320,0,209,104.964,63.367,5320,73,253,193.774,39.278
G7,5320,62,220,152.547,39.131,5320,0,182,67.230,49.829,5320,0,201,68.490,51.069
G8,5320,61,255,196.362,53.458,5320,0,93,10.285,16.619,5320,0,95,10.298,16.678
G9,5320,54,255,177.436,49.502,5320,0,194,64.629,49.135,5320,0,194,64.630,49.137
G10,5320,32,254,173.764,51.891,5320,32,252,173.618,51.704,5320,157,255,231.118,23.316
G11,5320,124,224,182.367,19.701,5320,124,224,182.367,19.701,5320,157,255,232.791,22.641
G12,5320,81,201,164.549,29.078,5320,81,201,164.549,29.078,5320,131,255,220.470,31.298
G13,5320,46,255,154.909,41.798,5320,46,253,154.666,41.467,5320,96,255,195.998,36.962
G14,5320,110,255,229.117,31.876,5320,110,254,210.007,32.799,5320,153,254,218.409,25.895
G15,5320,210,255,245.120,11.785,5320,20,193,112.081,38.219,5320,20,193,112.081,38.219
G16,5320,174,255,227.616,20.583,5320,0,66,12.891,15.555,5320,0,66,12.891,15.555
G17,5320,55,255,174.391,43.633,5320,0,110,33.077,22.139,5320,0,110,33.077,22.139
G18,5320,0,184,38.747,37.626,5320,0,184,38.747,37.626,5320,57,255,187.056,38.821
G19,5320,31,196,132.956,41.536,5320,31,196,132.956,41.536,5320,74,255,188.772,35.814
G20,5320,78,206,137.634,25.701,5320,78,206,137.634,25.701,5320,104,252,185.194,34.746
G21,5320,107,223,182.195,20.887,5320,107,223,182.195,20.887,5320,152,255,232.490,23.118
G22,5320,85,249,147.825,37.113,5320,85,248,147.796,37.074,5320,99,255,195.399,34.301
G23,5320,130,255,221.341,26.637,5320,130,252,216.766,24.389,5320,151,255,236.234,19.064
G24,5320,159,255,240.270,16.047,5320,70,229,169.724,30.989,5320,70,230,169.825,31.142
G25,5320,54,255,228.038,40.195,5320,19,151,75.514,30.772,5320,19,151,75.514,30.772
G26,5320,61,255,176.340,44.745,5320,20,123,50.992,14.629,5320,20,123,50.992,14.629
G27,5320,33,187,116.920,28.851,5320,33,187,116.920,28.851,5320,106,255,232.482,28.893
G28,5320,127,187,159.556,13.571,5320,127,187,159.556,13.571,5320,152,255,227.984,20.493
G29,5320,91,228,160.219,31.782,5320,91,228,160.165,31.850,5320,92,255,180.556,39.229
G30,5320,106,254,219.957,21.914,5320,106,239,217.926,20.540,5320,148,255,239.271,20.610
G31,5320,67,255,145.404,53.810,5320,66,223,125.490,37.003,5320,66,223,145.826,30.791
G32,5320,79,242,165.983,40.199,5320,45,208,136.365,32.316,5320,45,209,146.017,32.700
G33,5320,50,252,206.786,42.307,5320,25,214,137.186,38.765,5320,25,214,137.186,38.765
G34,5320,38,255,205.779,47.861,5320,19,150,94.003,28.572,5320,19,150,94.003,28.572
G35,5320,65,255,184.741,57.964,5320,5,126,66.519,32.752,5320,5,126,66.519,32.752
G36,5320,0,137,55.302,33.476,5320,0,137,55.302,33.476,5320,85,255,231.592,27.581
G37,5320,38,218,133.356,51.526,5320,38,218,133.356,51.526,5320,120,255,224.434,32.083
G38,5320,11,224,139.790,59.854,5320,11,224,139.772,59.870,5320,41,255,163.533,59.906
G39,5320,0,255,118.133,102.558,5320,0,238,112.852,96.837,5320,108,255,211.740,30.396
G40,5320,0,255,230.209,42.235,5320,0,201,95.347,55.209,5320,0,201,99.694,55.355
G41,5320,53,255,198.835,57.651,5320,0,92,28.197,22.774,5320,0,92,28.197,22.774
G42,5320,39,255,206.914,48.523,5320,0,84,43.812,22.714,5320,0,84,43.812,22.714
G43,5320,80,245,198.927,29.717,5320,0,70,13.864,18.533,5320,0,70,13.864,18.533
G44,5320,36,244,142.366,51.883,5320,0,187,30.958,36.976,5320,0,211,31.522,38.943
G45,5320,7,180,102.246,54.917,5320,7,180,102.246,54.917,5320,26,255,192.477,52.093
G46,5320,55,214,161.385,32.921,5320,55,214,161.385,32.921,5320,134,255,234.364,27.339
G47,5320,3,227,152.368,63.952,5320,3,227,152.360,63.952,5320,39,255,192.401,55.914
G48,5320,0,213,46.427,60.507,5320,0,195,42.419,54.370,5320,40,230,134.632,51.204
G49,5320,0,241,194.702,41.720,5320,0,187,111.332,52.309,5320,5,236,117.511,51.411
G50,5320,131,255,196.836,33.962,5320,0,98,10.046,15.798,5320,0,98,10.046,15.798
G51,5320,135,255,219.391,25.170,5320,0,44,4.231,9.288,5320,0,44,4.231,9.288
G52,5320,47,255,215.388,36.955,5320,0,207,13.563,41.087,5320,0,207,13.563,41.087
G53,5320,50,252,216.345,29.267,5320,0,245,211.841,36.423,5320,0,255,232.767,42.531
G54,5320,20,178,109.229,36.505,5320,20,178,109.229,36.505,5320,146,255,236.624,24.739
G55,5320,73,208,160.951,29.882,5320,73,208,160.951,29.882,5320,184,255,236.292,18.511
G56,5320,96,255,192.869,44.378,5320,96,240,177.802,31.481,5320,121,255,193.724,30.708
G57,5320,163,255,245.874,18.157,5320,115,226,192.175,22.520,5320,115,226,192.177,22.519
G58,5320,180,255,239.660,15.157,5320,24,211,138.798,49.361,5320,24,211,138.798,49.361
G59,5320,76,255,230.957,29.430,5320,0,126,36.688,27.382,5320,0,126,36.688,27.382
G60,5320,66,255,209.140,39.823,5320,0,93,11.195,18.120,5320,0,93,11.195,18.120
G61,5320,51,255,204.080,53.810,5320,0,190,73.235,48.609,5320,0,190,73.235,48.609
G62,5320,179,255,235.477,14.862,5320,153,249,224.936,17.384,5320,153,255,241.062,21.795
G63,5320,29,251,124.569,45.454,5320,29,225,123.445,43.804,5320,136,255,206.066,28.501
G64,5320,135,255,212.818,32.114,5320,19,225,133.108,45.261,5320,19,228,135.668,48.589
G65,5320,209,255,243.133,9.847,5320,0,170,42.053,47.589,5320,0,170,42.053,47.589
G66,5320,106,255,221.704,32.998,5320,0,110,26.267,28.400,5320,0,110,26.267,28.400
G67,5320,52,255,203.909,42.188,5320,0,133,10.951,25.706,5320,0,133,10.951,25.706
G68,5320,69,255,218.682,28.371,5320,0,189,130.255,42.176,5320,0,189,130.255,42.176
G69,5320,131,255,230.100,19.218,5320,91,192,139.016,29.122,5320,91,192,139.016,29.122
G70,5320,35,255,164.252,53.156,5320,34,241,133.907,47.050,5320,35,249,136.421,49.420
G71,5320,135,255,212.275,26.670,5320,126,247,187.352,30.315,5320,126,255,214.282,42.752
