Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,193,255,239.064,13.553,5320,85,218,161.139,27.470,5320,85,218,161.139,27.470
G2,5320,112,255,236.580,29.978,5320,112,224,194.185,16.038,5320,122,238,195.637,14.911
G3,5320,125,255,241.003,18.111,5320,124,237,196.515,19.352,5320,128,237,196.641,19.234
G4,5320,32,215,103.743,27.438,5320,32,215,103.723,27.413,5320,47,236,134.714,32.062
G5,5320,0,177,85.341,35.383,5320,0,175,85.334,35.366,5320,51,255,182.648,64.322
G6,5320,0,103,18.455,26.344,5320,0,103,18.455,26.344,5320,26,255,190.720,53.069
G7,5320,8,195,92.636,33.511,5320,8,188,90.843,31.770,5320,35,253,175.555,51.245
G8,5320,32,255,204.361,47.363,5320,32,200,140.283,23.183,5320,36,206,143.602,22.390
G9,5320,49,255,181.143,51.900,5320,31,248,132.917,48.500,5320,31,248,136.426,52.246
G10,5320,76,255,204.870,44.035,5320,68,239,190.492,39.097,5320,68,239,191.413,38.531
G11,5320,175,255,223.486,15.233,5320,175,240,216.936,11.206,5320,196,255,238.122,16.443
G12,5320,100,219,168.214,26.157,5320,100,219,168.214,26.157,5320,147,255,248.046,14.450
G13,5320,41,150,123.893,15.898,5320,41,150,123.893,15.898,5320,76,255,225.617,32.504
G14,5320,30,116,75.010,19.784,5320,30,116,75.010,19.784,5320,58,236,175.322,39.648
G15,5320,88,197,155.439,26.585,5320,72,197,150.599,28.967,5320,72,255,216.584,44.892
G16,5320,151,255,224.850,21.945,5320,119,243,186.696,27.325,5320,119,255,193.202,34.142
G17,5320,55,255,187.450,51.249,5320,34,238,126.739,41.680,5320,34,242,127.331,42.262
G18,5320,0,217,151.393,54.624,5320,0,217,151.001,54.813,5320,35,255,186.937,42.742
G19,5320,102,218,168.147,24.658,5320,102,218,168.098,24.722,5320,108,255,208.573,30.060
G20,5320,111,251,182.629,30.386,5320,111,249,182.583,30.286,5320,133,255,217.252,29.710
G21,5320,74,250,149.895,47.576,5320,74,250,149.878,47.540,5320,166,255,221.259,27.402
G22,5320,0,129,75.787,33.148,5320,0,129,75.787,33.148,5320,87,255,219.181,39.037
G23,5320,2,114,35.898,24.413,5320,2,114,35.898,24.413,5320,68,255,198.563,37.938
G24,5320,48,172,98.965,25.450,5320,48,172,98.965,25.450,5320,206,255,245.709,11.441
G25,5320,92,250,183.014,24.698,5320,91,242,182.526,24.247,5320,97,255,232.664,26.185
G26,5320,55,255,167.762,45.860,5320,50,238,117.837,45.731,5320,50,242,118.237,46.247
G27,5320,3,212,138.408,38.485,5320,3,212,138.408,38.485,5320,92,255,231.627,32.038
G28,5320,61,231,149.317,32.722,5320,61,230,149.291,32.673,5320,107,255,220.720,31.891
G29,5320,157,255,224.371,33.451,5320,157,252,215.556,27.708,5320,201,255,241.891,11.464
G30,5320,133,255,245.816,19.037,5320,133,253,218.868,18.827,5320,188,255,225.502,19.046
G31,5320,3,255,117.775,81.049,5320,3,238,115.657,77.945,5320,68,241,184.795,47.032
G32,5320,5,253,111.235,79.461,5320,5,238,108.590,75.343,5320,134,255,218.148,30.055
G33,5320,57,255,183.674,62.405,5320,57,252,177.760,57.128,5320,139,255,225.955,21.763
G34,5320,86,252,180.763,33.569,5320,86,251,179.261,33.423,5320,92,255,196.757,36.445
G35,5320,69,255,200.719,63.404,5320,49,254,190.020,69.204,5320,49,255,190.762,69.566
G36,5320,23,170,98.088,38.913,5320,23,170,98.088,38.913,5320,89,255,218.390,34.947
G37,5320,81,255,184.681,46.841,5320,81,245,180.382,41.461,5320,124,255,219.489,23.674
G38,5320,127,255,232.913,29.124,5320,23,235,185.727,43.102,5320,23,235,185.727,43.102
G39,5320,137,255,236.924,26.618,5320,24,209,121.865,54.542,5320,24,209,121.865,54.542
G40,5320,109,255,221.571,27.185,5320,95,231,153.351,28.034,5320,95,233,153.964,28.239
G41,5320,94,255,211.879,38.723,5320,73,218,163.717,35.617,5320,73,231,164.108,36.086
G42,5320,28,255,197.445,61.993,5320,24,222,170.645,53.749,5320,24,222,170.645,53.749
G43,5320,43,248,158.669,52.790,5320,40,246,155.123,51.958,5320,40,247,156.781,52.342
G44,5320,82,255,199.929,37.779,5320,76,253,188.992,37.895,5320,76,253,189.664,38.109
G45,5320,21,232,86.141,44.119,5320,21,228,86.051,43.883,5320,30,234,155.112,36.373
G46,5320,92,255,193.508,36.598,5320,87,243,165.685,37.892,5320,87,252,177.203,42.407
G47,5320,140,255,227.882,33.271,5320,0,216,84.977,44.188,5320,0,216,84.977,44.188
G48,5320,163,255,233.630,20.341,5320,0,90,8.682,15.479,5320,0,90,8.682,15.479
G49,5320,130,255,221.929,30.206,5320,0,238,122.699,47.169,5320,0,238,122.807,47.370
G50,5320,90,254,186.274,28.703,5320,69,241,170.252,35.594,5320,69,246,174.500,37.312
G51,5320,80,255,221.456,42.143,5320,64,247,202.523,37.150,5320,64,252,205.048,35.025
G52,5320,97,255,207.720,18.624,5320,97,234,198.411,16.340,5320,100,234,199.587,16.127
G53,5320,85,234,196.524,28.770,5320,85,234,195.430,29.187,5320,103,255,204.456,31.138
G54,5320,77,254,205.591,31.759,5320,77,253,205.363,31.500,5320,146,255,244.491,16.327
G55,5320,131,252,195.362,29.524,5320,45,240,132.361,55.988,5320,45,245,139.891,64.545
G56,5320,191,255,251.110,8.741,5320,0,128,57.603,38.873,5320,0,128,57.603,38.873
G57,5320,52,255,238.016,28.057,5320,0,141,5.464,20.048,5320,0,141,5.464,20.048
G58,5320,43,249,178.714,47.509,5320,0,236,136.394,63.776,5320,0,236,136.411,63.777
G59,5320,59,255,147.516,43.884,5320,59,246,144.713,40.926,5320,59,246,149.375,38.690
G60,5320,112,255,220.829,34.604,5320,112,248,204.326,28.864,5320,129,253,207.305,24.861
G61,5320,141,255,227.476,25.839,5320,133,217,181.547,14.964,5320,133,217,181.547,14.964
G62,5320,49,255,204.385,56.470,5320,49,244,193.883,51.224,5320,58,255,199.734,51.849
G63,5320,50,255,168.331,37.762,5320,30,243,157.059,38.067,5320,30,255,189.956,47.272
G64,5320,43,255,176.702,63.244,5320,0,217,61.723,61.579,5320,0,219,61.724,61.580
G65,5320,69,255,208.432,46.418,5320,0,151,18.419,29.274,5320,0,151,18.419,29.274
G66,5320,93,255,224.659,38.380,5320,18,246,152.012,64.040,5320,18,246,152.012,64.040
G67,5320,84,255,232.926,27.402,5320,84,251,226.142,26.498,5320,84,252,226.330,26.450
G68,5320,145,255,229.779,23.032,5320,141,252,221.189,21.797,5320,141,253,221.513,21.785
G69,5320,171,255,222.149,23.549,5320,123,224,176.033,27.409,5320,123,224,176.033,27.409
G70,5320,30,255,197.184,51.158,5320,0,246,152.178,69.805,5320,0,255,153.269,71.237
G71,5320,0,223,95.313,73.906,5320,0,221,95.300,73.884,5320,183,255,234.880,16.520
G72,5320,15,255,173.159,66.284,5320,15,235,146.456,54.961,5320,41,255,196.802,47.520
G73,5320,93,255,206.586,35.403,5320,30,176,84.364,32.315,5320,30,207,84.714,33.047
G74,5320,114,255,193.329,38.122,5320,68,229,155.234,41.726,5320,68,232,161.527,45.754
G75,5320,129,255,202.484,29.401,5320,129,237,196.569,25.705,5320,132,255,208.423,27.451
G76,5320,139,232,192.189,17.498,5320,139,232,190.628,16.934,5320,156,255,199.031,21.598
G77,5320,104,255,225.515,27.277,5320,75,252,203.605,26.232,5320,75,253,203.791,26.386
G78,5320,0,254,84.720,87.685,5320,0,251,84.365,87.164,5320,81,255,219.745,31.307
G79,5320,8,192,101.945,37.540,5320,8,191,101.430,36.902,5320,88,254,192.724,43.743
G80,5320,14,210,95.281,56.864,5320,14,198,87.366,46.858,5320,61,255,187.308,54.309
G81,5320,37,199,126.718,40.693,5320,37,199,126.718,40.693,5320,170,255,229.778,20.406
G82,5320,88,215,158.884,31.315,5320,88,215,158.884,31.315,5320,146,255,227.822,27.496
G83,5320,119,213,160.647,20.219,5320,119,213,160.647,20.219,5320,134,255,226.033,24.451
G84,5320,58,252,195.971,28.786,5320,45,250,162.106,49.921,5320,45,255,170.680,58.281
G85,5320,46,255,209.003,58.230,5320,46,251,167.709,46.324,5320,84,255,185.243,34.520
G86,5320,42,169,127.991,18.319,5320,42,169,127.991,18.319,5320,99,255,234.405,25.362
G87,5320,16,176,84.216,34.129,5320,16,176,84.216,34.129,5320,47,255,197.089,50.938
G88,5320,70,179,144.146,24.907,5320,56,179,140.361,27.478,5320,56,255,220.594,49.554
G89,5320,56,178,159.419,13.697,5320,30,178,158.590,16.592,5320,30,255,241.975,30.945
G90,5320,74,159,113.199,21.014,5320,74,159,113.199,21.014,5320,191,255,238.585,18.416
G91,5320,120,241,179.676,27.946,5320,95,238,174.985,32.027,5320,95,255,225.940,43.897
G92,5320,34,237,149.725,55.135,5320,34,215,112.437,35.011,5320,37,216,114.809,36.257
G93,5320,56,247,186.281,45.757,5320,19,228,140.395,50.249,5320,19,255,156.884,66.123
G94,5320,44,190,143.243,30.403,5320,33,181,137.303,34.283,5320,33,255,192.604,51.136
G95,5320,42,178,121.033,34.238,5320,42,178,121.018,34.252,5320,62,241,166.667,44.024
G96,5320,0,255,193.638,65.551,5320,0,253,188.267,63.180,5320,66,255,225.854,26.507
G97,5320,53,168,115.888,27.184,5320,50,168,115.870,27.194,5320,55,255,213.160,31.239
G98,5320,64,231,139.905,27.345,5320,64,219,138.264,24.415,5320,117,255,219.161,27.643
G99,5320,38,254,120.375,41.677,5320,16,251,88.742,44.019,5320,16,251,115.653,74.572
G100,5320,34,254,160.913,39.765,5320,26,251,136.510,39.928,5320,26,251,136.563,40.024
