Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,233.171,17.271,5320,98,248,193.557,32.000,5320,98,255,197.689,34.946
G2,5320,36,255,205.886,55.731,5320,36,254,202.367,53.024,5320,48,255,214.977,46.561
G3,5320,34,255,230.840,26.890,5320,34,248,212.719,23.258,5320,46,252,215.957,21.598
G4,5320,18,162,76.007,33.135,5320,18,162,76.007,33.135,5320,48,255,162.763,56.648
G5,5320,48,169,98.711,34.886,5320,48,169,98.711,34.886,5320,163,255,235.022,23.670
G6,5320,56,163,119.462,24.255,5320,55,163,119.075,24.633,5320,62,255,166.489,56.265
G7,5320,50,250,146.936,38.306,5320,38,178,123.114,34.681,5320,38,244,140.014,53.258
G8,5320,49,255,217.237,52.053,5320,40,132,89.081,15.233,5320,40,152,89.119,15.328
G9,5320,58,251,176.629,49.026,5320,37,249,151.390,57.996,5320,37,255,157.028,62.188
G10,5320,67,239,158.223,40.866,5320,67,239,158.223,40.866,5320,82,255,205.968,44.704
G11,5320,66,212,134.316,28.251,5320,66,212,134.316,28.251,5320,118,255,211.265,30.549
G12,5320,14,151,76.606,31.038,5320,14,151,76.606,31.038,5320,34,248,152.684,51.938
G13,5320,17,92,55.001,11.210,5320,17,92,55.001,11.210,5320,45,255,213.330,44.309
G14,5320,35,189,78.166,26.493,5320,35,189,78.166,26.493,5320,105,255,222.834,35.829
G15,5320,135,255,196.409,31.110,5320,72,245,160.569,49.166,5320,72,247,171.525,55.269
G16,5320,149,255,223.557,29.551,5320,63,160,98.502,23.598,5320,63,160,98.502,23.598
G17,5320,45,255,181.281,55.095,5320,31,182,99.769,30.846,5320,31,182,99.771,30.847
G18,5320,1,146,96.235,42.830,5320,1,146,96.235,42.830,5320,72,255,188.393,48.631
G19,5320,44,152,94.770,25.458,5320,44,152,94.770,25.458,5320,116,255,222.682,28.418
G20,5320,24,165,89.560,37.696,5320,24,165,89.560,37.696,5320,125,255,212.467,38.459
G21,5320,49,254,142.648,45.763,5320,49,247,142.393,45.229,5320,71,255,185.309,50.004
G22,5320,23,255,150.925,53.473,5320,23,247,142.568,47.882,5320,43,248,172.352,39.412
G23,5320,17,185,95.921,21.022,5320,17,185,95.677,20.962,5320,36,255,205.650,48.248
G24,5320,82,255,204.447,39.968,5320,82,245,190.405,33.066,5320,150,255,211.933,25.506
G25,5320,54,255,219.989,43.467,5320,38,224,157.705,37.262,5320,38,224,157.705,37.262
G26,5320,60,255,181.679,43.562,5320,36,159,88.704,23.927,5320,36,159,88.704,23.927
G27,5320,19,132,86.185,25.687,5320,19,132,86.185,25.687,5320,100,255,229.037,36.392
G28,5320,43,120,85.843,17.998,5320,43,120,85.843,17.998,5320,100,255,217.978,38.087
G29,5320,4,111,37.399,18.068,5320,4,111,37.399,18.068,5320,50,255,192.949,52.079
