Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,160,255,226.096,23.304,5320,102,246,197.783,29.719,5320,102,255,211.364,35.181
G2,5320,35,255,185.185,56.242,5320,35,251,185.036,56.074,5320,51,255,211.823,48.968
G3,5320,35,255,223.705,31.008,5320,35,250,212.898,26.445,5320,50,253,221.669,24.537
G4,5320,0,139,64.442,38.446,5320,0,139,64.442,38.446,5320,37,255,163.608,54.358
G5,5320,0,151,66.517,46.752,5320,0,151,66.517,46.752,5320,149,255,234.999,25.703
G6,5320,45,177,92.749,23.008,5320,45,177,92.749,23.008,5320,69,255,169.399,59.592
G7,5320,43,239,129.439,43.449,5320,43,201,113.302,29.411,5320,49,255,148.061,55.060
G8,5320,51,255,221.337,48.860,5320,43,141,108.367,17.749,5320,43,155,108.471,17.819
G9,5320,59,246,178.826,48.418,5320,36,244,156.246,56.274,5320,36,255,162.087,61.141
G10,5320,28,216,121.533,39.882,5320,28,216,121.533,39.882,5320,74,255,203.543,53.026
G11,5320,22,168,97.211,20.132,5320,22,168,97.211,20.132,5320,63,255,196.101,32.127
G12,5320,0,149,79.034,49.542,5320,0,149,79.034,49.542,5320,30,255,172.749,57.747
G13,5320,0,137,57.579,32.303,5320,0,137,57.579,32.303,5320,119,255,209.937,23.938
G14,5320,37,217,114.629,55.612,5320,37,217,114.629,55.612,5320,124,255,215.593,29.192
G15,5320,159,255,218.467,21.394,5320,99,247,200.352,36.140,5320,99,255,207.623,40.919
G16,5320,155,255,241.043,20.397,5320,105,228,150.680,29.904,5320,105,228,150.689,29.922
G17,5320,50,255,177.127,55.104,5320,36,189,111.987,36.042,5320,36,189,111.989,36.044
G18,5320,0,132,84.123,40.160,5320,0,132,84.123,40.160,5320,55,255,184.658,51.402
G19,5320,30,117,66.487,23.803,5320,30,117,66.487,23.803,5320,108,255,221.999,30.881
G20,5320,6,132,94.905,29.612,5320,6,132,94.905,29.612,5320,101,255,206.300,37.318
G21,5320,27,119,66.843,22.312,5320,27,119,66.843,22.312,5320,74,243,157.026,45.222
G22,5320,40,213,140.761,39.182,5320,40,213,140.761,39.182,5320,105,255,217.628,34.171
G23,5320,110,213,166.972,16.531,5320,110,213,166.972,16.531,5320,158,255,238.018,16.872
G24,5320,91,238,159.365,36.491,5320,91,238,159.187,36.306,5320,129,255,221.739,27.537
G25,5320,55,255,212.164,40.653,5320,48,251,197.536,40.701,5320,48,255,207.215,44.402
