Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,248.159,8.447,5320,0,163,76.577,39.542,5320,0,163,76.577,39.542
G2,5320,31,255,172.727,65.744,5320,31,198,118.030,32.606,5320,54,250,135.586,39.198
G3,5320,23,234,128.979,51.439,5320,23,181,109.810,37.987,5320,33,215,124.316,36.399
G4,5320,0,116,45.320,35.102,5320,0,116,45.320,35.102,5320,45,255,187.885,60.996
G5,5320,0,100,40.332,36.074,5320,0,100,40.332,36.074,5320,145,255,231.201,19.925
G6,5320,9,192,95.904,34.338,5320,9,192,95.904,34.338,5320,71,254,154.547,38.363
G7,5320,38,255,166.544,44.516,5320,38,199,156.238,33.898,5320,44,255,179.204,42.081
G8,5320,35,255,170.003,72.606,5320,35,197,129.234,40.556,5320,43,197,137.255,34.975
G9,5320,21,163,86.023,32.337,5320,21,163,86.023,32.337,5320,65,255,213.277,42.657
G10,5320,57,255,181.209,56.835,5320,40,211,133.158,31.417,5320,40,211,140.349,30.589
G11,5320,48,216,134.114,43.008,5320,48,201,126.141,41.014,5320,54,250,194.484,48.361
G12,5320,0,123,40.345,34.373,5320,0,123,40.345,34.373,5320,42,255,191.734,54.883
G13,5320,0,80,1.979,9.117,5320,0,80,1.979,9.117,5320,77,255,231.540,23.083
G14,5320,0,158,17.254,28.545,5320,0,158,17.254,28.545,5320,60,255,209.099,45.246
G15,5320,23,255,177.397,60.704,5320,23,230,157.173,45.232,5320,54,255,201.157,42.666
G16,5320,52,255,227.335,45.532,5320,52,237,176.804,33.647,5320,68,237,177.132,32.681
G17,5320,27,251,111.060,46.660,5320,27,242,109.634,44.370,5320,54,255,171.094,59.958
G18,5320,25,140,71.173,24.191,5320,25,140,71.173,24.190,5320,76,247,208.850,22.743
G19,5320,0,160,99.982,40.183,5320,0,160,99.955,40.163,5320,96,255,208.042,36.290
