Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,181,255,248.333,9.239,5320,0,165,76.489,39.889,5320,0,165,76.489,39.889
G2,5320,33,255,172.791,66.976,5320,33,209,116.716,30.771,5320,67,225,130.402,30.167
G3,5320,24,251,126.314,54.439,5320,24,203,104.354,38.036,5320,36,207,119.396,36.070
G4,5320,0,116,30.901,31.243,5320,0,116,30.901,31.243,5320,38,255,181.076,61.879
G5,5320,0,120,46.229,40.679,5320,0,120,46.229,40.679,5320,130,255,220.962,24.182
G6,5320,2,229,113.317,32.574,5320,2,229,113.317,32.574,5320,96,255,150.914,36.377
G7,5320,42,255,179.469,45.480,5320,41,233,163.640,36.977,5320,45,255,170.473,41.796
G8,5320,30,255,170.768,73.843,5320,30,181,122.123,35.657,5320,51,181,128.413,30.030
G9,5320,21,163,83.404,37.321,5320,21,163,83.404,37.321,5320,71,255,210.329,44.190
G10,5320,57,255,184.404,57.095,5320,34,213,135.970,34.735,5320,34,214,141.583,34.801
G11,5320,43,226,143.393,42.009,5320,43,207,131.139,37.828,5320,51,255,192.823,57.908
G12,5320,0,115,40.666,34.188,5320,0,115,40.666,34.188,5320,38,255,201.334,59.782
G13,5320,0,2,0.025,0.160,5320,0,2,0.025,0.160,5320,50,255,205.846,45.203
G14,5320,0,143,28.452,37.109,5320,0,143,28.452,37.109,5320,66,255,215.104,42.424
G15,5320,40,255,195.591,47.247,5320,40,222,163.588,33.451,5320,45,255,188.272,45.059
G16,5320,53,255,226.980,38.445,5320,53,236,162.258,26.108,5320,61,236,162.519,25.461
G17,5320,23,252,97.749,51.869,5320,23,241,95.620,48.324,5320,54,255,168.117,60.788
G18,5320,0,127,58.020,28.059,5320,0,127,58.020,28.059,5320,86,249,209.004,24.976
G19,5320,0,177,116.723,33.885,5320,0,177,116.668,33.854,5320,98,255,206.211,38.660
G20,5320,0,105,17.816,25.002,5320,0,105,17.816,25.002,5320,51,255,193.382,58.377
G21,5320,0,58,8.198,13.009,5320,0,58,8.198,13.009,5320,49,255,223.209,48.311
G22,5320,0,1,0.003,0.055,5320,0,1,0.003,0.055,5320,31,250,180.523,52.138
G23,5320,0,120,12.948,23.459,5320,0,120,12.948,23.459,5320,145,255,229.169,24.880
G24,5320,56,234,154.129,41.786,5320,56,230,153.128,40.451,5320,163,255,248.839,11.758
G25,5320,50,255,196.237,35.486,5320,50,250,192.204,33.875,5320,54,255,216.070,37.303
G26,5320,58,255,171.457,37.867,5320,58,253,164.984,37.873,5320,60,253,166.892,36.768
G27,5320,20,95,70.954,9.604,5320,20,95,70.954,9.604,5320,124,255,250.492,11.544
G28,5320,0,74,45.531,25.880,5320,0,74,45.531,25.880,5320,57,255,217.917,34.262
G29,5320,0,36,1.009,3.734,5320,0,36,1.009,3.734,5320,45,255,218.519,33.899
G30,5320,0,62,22.549,22.336,5320,0,62,22.549,22.336,5320,45,255,233.485,28.368
G31,5320,0,101,24.882,26.221,5320,0,101,24.882,26.221,5320,45,239,165.217,45.643
G32,5320,0,224,130.915,48.383,5320,0,224,130.915,48.383,5320,158,255,208.040,26.390
G33,5320,40,234,168.154,36.866,5320,37,234,167.868,37.601,5320,37,255,221.152,48.966
G34,5320,51,255,183.666,57.821,5320,47,242,167.314,45.551,5320,47,242,180.508,43.836
G35,5320,63,255,161.371,54.252,5320,63,242,151.960,48.188,5320,66,255,155.922,50.996
G36,5320,0,101,44.881,36.703,5320,0,99,44.864,36.684,5320,32,255,231.148,29.827
G37,5320,6,139,82.939,23.136,5320,6,139,82.939,23.136,5320,121,255,228.108,28.383
G38,5320,0,143,87.462,31.537,5320,0,143,87.462,31.537,5320,220,255,245.171,6.792
G39,5320,40,156,86.321,26.962,5320,40,156,86.321,26.962,5320,208,255,247.309,8.740
G40,5320,11,151,61.267,29.507,5320,11,151,61.243,29.490,5320,50,236,134.634,45.608
G41,5320,72,178,132.072,18.830,5320,72,175,131.867,18.759,5320,125,255,203.635,34.858
G42,5320,34,249,162.188,58.965,5320,34,248,160.432,59.287,5320,39,255,185.764,67.721
G43,5320,63,255,172.144,61.731,5320,42,183,117.366,39.295,5320,42,183,117.367,39.295
G44,5320,44,255,151.297,55.648,5320,36,229,117.513,43.238,5320,36,255,120.248,46.529
G45,5320,0,125,81.555,35.760,5320,0,125,81.555,35.760,5320,22,252,186.239,50.529
G46,5320,62,167,127.706,22.080,5320,62,167,127.706,22.080,5320,158,255,232.107,18.989
G47,5320,132,202,167.508,10.985,5320,132,202,167.508,10.985,5320,199,255,245.329,12.162
G48,5320,121,194,172.689,17.042,5320,121,194,172.689,17.042,5320,197,255,239.403,15.680
G49,5320,47,214,133.595,40.220,5320,7,200,120.080,52.331,5320,7,255,141.634,73.524
G50,5320,40,255,133.766,42.066,5320,6,191,73.362,44.245,5320,6,198,74.560,46.170
G51,5320,35,255,209.545,42.175,5320,14,247,112.465,57.709,5320,14,255,113.079,58.936
G52,5320,77,255,223.453,37.526,5320,55,167,134.587,22.175,5320,55,167,134.587,22.175
G53,5320,116,255,208.188,33.231,5320,74,194,133.516,26.440,5320,74,194,133.516,26.440
G54,5320,38,162,120.776,21.930,5320,38,162,120.776,21.930,5320,65,255,215.536,36.090
G55,5320,52,161,130.663,24.574,5320,52,161,130.663,24.574,5320,86,255,216.533,40.816
G56,5320,41,222,165.596,34.320,5320,41,222,165.596,34.320,5320,59,255,229.349,32.943
G57,5320,33,223,160.586,27.961,5320,33,223,160.586,27.961,5320,45,255,211.693,31.653
G58,5320,134,255,212.636,27.449,5320,0,249,183.721,51.789,5320,0,255,205.892,61.720
G59,5320,35,255,213.220,38.130,5320,0,85,15.823,21.435,5320,0,85,15.823,21.435
G60,5320,20,255,189.044,61.662,5320,0,182,52.123,49.268,5320,0,182,52.123,49.268
G61,5320,58,255,189.587,54.066,5320,27,188,124.664,47.133,5320,27,188,124.664,47.133
G62,5320,52,240,163.851,42.520,5320,37,238,149.322,52.135,5320,37,255,163.075,64.409
G63,5320,48,143,111.432,18.256,5320,48,143,111.432,18.256,5320,82,255,219.492,39.988
G64,5320,1,122,86.054,25.390,5320,1,122,86.054,25.390,5320,71,255,209.064,40.050
G65,5320,4,230,161.092,46.075,5320,4,226,160.396,45.471,5320,154,255,232.935,17.859
G66,5320,132,243,204.295,21.287,5320,0,223,65.635,64.105,5320,0,234,66.424,65.662
